CD14_S1	CD14_S2	CD14_S4	CD14_S3	CD19_S2	CD4_S2	CD56_S2	CD56_S1	CD56_S3	CD56_S4	CD4_S4	CD4_S1	CD4_S3	CD19_S4	CD19_S3	CD19_S1
CD14_S1	0	20.2644669738873	26.9778449944574	24.3168887989763	47.2586478115843	48.2949019794226	39.6905703023574	36.3768363419072	38.4901019198966	44.0241046131492	36.167007997474	38.9561125087031	44.0826098804957	43.9637877661501	41.1922896020272	40.1768388790209
CD14_S2	20.2644669738873	0	21.8960751808743	20.1900800726307	41.5342217588988	43.2053462806577	33.1438357335104	31.3389286701756	32.1006075880235	37.0732045623731	29.1092621817215	32.6549154681548	38.6659035721408	37.3213255960341	35.9025731765224	34.8952248272333
CD14_S4	26.9778449944574	21.8960751808743	0	15.3696658747131	41.2021556530438	41.8631864141343	35.3192972982902	35.4877911493946	31.7155720664057	36.3941921958725	24.6124706790003	36.5729052100676	37.2098583793032	35.6557850779465	34.0912865362278	34.7985149327603
CD14_S3	24.3168887989763	20.1900800726307	15.3696658747131	0	42.5618530835592	43.0534789362935	34.9119665826162	35.0946088142352	30.5490014248208	36.0065770595878	26.9060221962614	37.1202297714351	37.3592310220904	37.4544165160414	33.8347224187845	35.2674129870469
CD19_S2	47.2586478115843	41.5342217588988	41.2021556530438	42.5618530835592	0	25.6302439281953	28.1054808386236	33.2144685609813	36.6115870226746	32.6323223567766	32.7395967336389	29.6894814857507	28.0246875816866	28.6338980507493	25.9719357063528	21.2187188288196
CD4_S2	48.2949019794226	43.2053462806577	41.8631864141343	43.0534789362935	25.6302439281953	0	31.492879102681	35.0421629871718	36.59711911596	33.3714160416253	31.0658936121936	28.1297625629589	24.8906015403346	31.0490294609434	28.6620248042284	28.6230891231476
CD56_S2	39.6905703023574	33.1438357335104	35.3192972982902	34.9119665826162	28.1054808386236	31.492879102681	0	18.206623150678	23.2339427579068	22.2957271477311	31.3194825240665	27.1659865491158	31.8318305328366	31.0226424012473	27.7648965239722	26.6080377234082
CD56_S1	36.3768363419072	31.3389286701756	35.4877911493946	35.0946088142352	33.2144685609813	35.0421629871718	18.206623150678	0	24.2525868558833	26.6556526823263	32.0004080186443	26.1670899350521	34.8529693327244	32.9088765154774	32.4725816837345	30.0317356611646
CD56_S3	38.4901019198966	32.1006075880235	31.7155720664057	30.5490014248208	36.6115870226746	36.59711911596	23.2339427579068	24.2525868558833	0	20.1069294105197	27.1577440116747	31.67546469976	29.9131088036271	30.5098777281118	27.5231058840761	31.007778786205
CD56_S4	44.0241046131492	37.0732045623731	36.3941921958725	36.0065770595878	32.6323223567766	33.3714160416253	22.2957271477311	26.6556526823263	20.1069294105197	0	29.2092358531242	32.1688933394455	27.5908161608681	27.8567942878662	23.9945052391762	29.6103728665098
CD4_S4	36.167007997474	29.1092621817215	24.6124706790003	26.9060221962614	32.7395967336389	31.0658936121936	31.3194825240665	32.0004080186443	27.1577440116747	29.2092358531242	0	28.1667993388893	25.5446817836785	25.3738524531265	26.2043010458477	27.7631653136774
CD4_S1	38.9561125087031	32.6549154681548	36.5729052100676	37.1202297714351	29.6894814857507	28.1297625629589	27.1659865491158	26.1670899350521	31.67546469976	32.1688933394455	28.1667993388893	0	28.2853252855424	28.0229797572398	29.593600804763	26.1636010464202
CD4_S3	44.0826098804957	38.6659035721408	37.2098583793032	37.3592310220904	28.0246875816866	24.8906015403346	31.8318305328366	34.8529693327244	29.9131088036271	27.5908161608681	25.5446817836785	28.2853252855424	0	26.2023678973664	22.0393930370477	25.3982093773599
CD19_S4	43.9637877661501	37.3213255960341	35.6557850779465	37.4544165160414	28.6338980507493	31.0490294609434	31.0226424012473	32.9088765154774	30.5098777281118	27.8567942878662	25.3738524531265	28.0229797572398	26.2023678973664	0	23.5075868618683	24.9995552074175
CD19_S3	41.1922896020272	35.9025731765224	34.0912865362278	33.8347224187845	25.9719357063528	28.6620248042284	27.7648965239722	32.4725816837345	27.5231058840761	23.9945052391762	26.2043010458477	29.593600804763	22.0393930370477	23.5075868618683	0	20.3476251389173
CD19_S1	40.1768388790209	34.8952248272333	34.7985149327603	35.2674129870469	21.2187188288196	28.6230891231476	26.6080377234082	30.0317356611646	31.007778786205	29.6103728665098	27.7631653136774	26.1636010464202	25.3982093773599	24.9995552074175	20.3476251389173	0
