CD4_S2	CD14_S1	CD19_S2	CD4_S3	CD4_S4	CD14_S3	CD56_S4	CD56_S1	CD14_S2	CD56_S2	CD19_S1	CD56_S3	CD14_S4	CD19_S3	CD4_S1	CD19_S4
hsa-mir-142	826291.678713012	84680.4700408231	691320.199507184	690698.79410001	560241.606464425	223392.56128446	921297.931932705	586650.67631612	189770.540167985	579744.3121783	619341.144138059	907254.957905727	197504.920264216	654210.420312206	581488.336650508	648022.233469735
hsa-mir-6131	80261.5937255857	152958.712368564	98711.266687396	21584.5687904965	129572.32627053	87991.2813059242	85298.6146917795	140595.158647711	204986.633360944	70126.8750223914	68273.9419915456	62626.1142782334	182306.633021336	55055.8081948037	168586.53876759	80445.8121509337
hsa-mir-101-2	34684.3916886401	26061.522507015	18656.7657777847	27103.7527418833	18376.3774568302	30286.3271588694	26696.03212356	13075.8140918789	24975.2067942276	20700.5072600965	21870.8157626623	18231.1635554998	29385.4752343904	31179.1096038735	25059.9066932396	15269.7483931015
hsa-mir-101-1	34440.1626016035	26077.0311419531	18515.4391653988	26988.5296948815	18354.0737722462	30285.9265301783	26657.3357007954	13069.7551190911	25001.4299129665	20621.3500998377	21706.3970861334	18215.386397409	29394.2313354733	31075.0111291892	24907.0847188964	15163.9878832645
hsa-mir-92a-1	28912.6695092252	2868.72821033168	10354.86038938	40616.1240681386	31380.3548894905	18385.2512619241	19934.0572246411	4651.08783823352	14141.9736822604	8361.54371009766	15456.9214858767	11180.088652089	16236.115644922	25649.605532447	43008.8837935825	48846.4111248421
hsa-mir-92a-2	25264.678521433	2187.82528590748	8409.34667267475	37526.5003649614	26416.8557493605	15370.1197329262	15718.8468937207	3382.55926274184	11600.9020585791	5979.55008299911	12798.5585666328	9017.96061206313	13319.4122894478	22352.722784528	39190.5072592831	41809.8885084019
hsa-let-7f-2	9732.48085179153	4124.18913389041	7258.07198815033	9914.12017274159	5101.96784858894	4928.53415755137	10458.8331481549	6435.17991640008	7545.5738724248	7068.18849966199	7232.85587511543	6677.68216192865	4031.03243013632	10193.245052156	6672.74336314499	5445.51668584823
hsa-mir-140	12548.3553454114	1395.40789121424	7788.66663816087	7408.84192221649	6174.40334900272	4694.5670019661	6871.76474955349	3955.40759904724	2549.29848446216	7194.20305938435	8164.56170877935	4405.11401526717	5585.93164349861	8361.49984233942	9196.11662670703	6788.21533247494
hsa-mir-21	7493.8751093491	5027.01323921425	2478.58778096821	4392.46715606192	8212.4025278653	12358.593862148	2880.63370394457	2324.44228770079	9688.15692703428	5576.03053616251	966.155461127131	2049.71578862901	11017.0185520566	2391.03204585302	7419.47064062273	3179.71271966565
hsa-mir-382	9852.18206441027	2744.28987761424	9044.90319270294	6259.08051749127	7262.6372926635	4136.09060661359	7504.40626591495	5060.3439092671	3409.51961485852	5004.64321843223	8886.43799334922	4196.06667056414	5770.27061366605	8744.91844785344	4339.85436144196	7260.6889144643
hsa-let-7f-1	8932.22032549365	2883.49833884414	6246.47097317698	8625.2680898499	3901.28616181719	3463.835662997	7423.41375315175	4566.26221920368	5221.48570183808	5151.12945753187	6468.70050229526	4635.85495234503	2791.35285576034	8591.68032052322	5166.97613727085	4238.46738879511
hsa-let-7i	5843.15677404226	1908.30060380926	7177.07778923907	3941.45122922626	4284.16608050911	5754.63051853909	5331.10717343569	3436.53920212446	4140.6818667555	7039.5281485338	7977.17661394162	3892.35637731636	4293.71546262491	5478.4246956497	5022.12118528681	5065.00876458672
hsa-mir-25	5201.21075475627	2474.73503226193	2019.89614427686	2563.71279579031	6009.91367519576	5553.51491562161	5920.5526829901	3496.02729858695	5254.39314496143	4655.71481660171	2962.66796183555	6859.11947997278	5891.93433397655	3956.3886123782	4694.74899380287	4008.55323697546
hsa-let-7b	4697.30726292577	2044.92429254947	3555.48003792106	4873.11186641233	2336.31096017352	4138.09375006894	4735.36224622191	3063.08615210997	4685.19721468721	4457.36698974629	3799.37633794942	2934.55140488772	3067.40046358607	4408.99067622275	4531.0628980609	2838.29020421348
hsa-mir-26b	5273.61068174341	1297.55578981922	4539.80749611817	4139.79947442223	1873.50950505561	1734.32160364493	6954.55709593366	4931.45303359838	2058.25773160589	5481.40588481865	3959.0973380061	6400.92451375263	1176.08262966822	4423.215312515	3379.46602978775	2012.89839918097
hsa-let-7a-3	4303.45166011571	2136.12983611389	3423.24461112716	4865.70467053364	2329.80571883652	3063.6076006174	4627.3722292043	2832.84518617184	4196.21317702615	3608.47468490178	3413.12293911956	2841.86060110431	2349.40017478392	4430.32763066113	3502.59273897418	2548.59837292073
hsa-let-7a-1	4448.25151409	2033.10818973951	3628.20952265771	4978.45865224256	2283.33970928653	2964.65231392295	4621.97272835342	2828.98947621594	4055.3281861543	3583.45374344066	3387.02473649592	2789.27007413499	2277.96882384404	4494.98506835321	3494.62571661506	2568.1410758254
hsa-let-7a-2	4051.49991420046	1981.0434867331	3323.24156961427	4697.80823061672	2216.42865553454	2898.94920858736	4486.98520708142	2713.31817753888	3972.54539954712	3456.07440509314	3233.56730506892	2704.46784939697	2209.30255745668	4260.92514390789	3380.91457930759	2457.78228295198
hsa-mir-342	5864.39408595849	229.306245155873	3829.04207710095	4395.75924311911	2864.16482866141	746.771880155727	5496.69186619601	3575.89557624491	693.627199584399	6096.46611855379	3219.47427565216	3891.69899572924	470.064373926952	2730.48359373642	4260.18413785073	3154.42216296549
hsa-mir-875	7301.77396974322	77.5431746903917	4231.53365740489	4951.29893402071	2397.6460927795	380.997885208206	4697.56574026575	2115.13231866612	464.817634117344	1638.18927639073	3287.85156652609	2304.12246284307	693.575375254964	6284.05636929298	5098.89430983835	5629.44800730394
hsa-mir-622	3743.55889141515	1665.70124299218	4504.26922516731	3827.05120398874	1716.45439277664	1849.30203798221	2789.74210628809	1747.73824143948	1573.38712433526	2857.39151485982	4762.40001476172	2162.78542161304	1389.91583506244	4491.7521964686	1639.03378169946	1415.1216044499
hsa-mir-29a	4147.06781782349	1121.05275409538	3219.93264243153	2883.86826210249	2637.41070205745	1465.90038062758	4921.64502557727	3489.9683257991	1680.85049328495	3510.21062389083	2442.26980152018	4171.08617025372	1275.62567355863	2792.55473392081	1956.26612654451	1742.74927079289
hsa-mir-4286	1697.05428857861	1273.92358419929	1759.55764777637	2192.52998009162	2000.82637122259	3093.65475244771	2682.65200607896	2093.09969034668	2221.76658962505	2324.21799863378	1475.59237634057	3459.14191140663	2884.90488312031	2155.03239827693	2532.78883544101	1853.10806366632
hsa-mir-8069-1	2647.90666300974	1409.43951330107	2486.02602372537	1926.69395022315	1804.73981092163	881.783749046542	2626.8571639532	2485.28047443269	1726.09822757956	2616.2806244163	2805.55678204124	1833.43724646771	888.052988781605	3504.43312291059	4354.33985664036	2270.40224921897
hsa-mir-8069-2	2647.90666300974	1409.43951330107	2486.02602372537	1926.69395022315	1804.73981092163	881.783749046542	2626.8571639532	2485.28047443269	1726.09822757956	2616.2806244163	2805.55678204124	1833.43724646771	888.052988781605	3504.43312291059	4354.33985664036	2270.40224921897
hsa-mir-3155a	3364.18327400253	497.753330869753	4215.00422905565	3205.66977194326	1192.31780505275	814.077500255599	2407.27746268408	1519.70053833329	688.999590395178	2131.78421248736	3874.53916150551	1661.20327064321	510.158099938369	3027.26123274306	2429.94181953234	1958.86857350335
hsa-let-7g	4743.64321619754	680.164417998579	2607.51732209227	3399.90290831774	1793.58796862963	1152.20811551924	3149.7088296801	1823.19999343356	1143.53364853647	2707.72079230148	1769.45813788275	2095.73249972716	854.411126726048	1984.33676276985	1964.23314890364	1233.48942451238
hsa-mir-8086	1080.20691064816	1195.27264987047	876.886173927067	1485.55428455907	3101.14147736636	3297.57475620268	1721.54085462229	1427.16349939165	1739.46687634842	1085.90885941257	932.2277977164	2376.43443742588	3373.40315406401	1154.13526280358	1111.76175647754	1531.22825111882
hsa-mir-4785	2450.01352924488	601.882736882564	2409.99065331888	1837.8075996789	1728.53555525964	698.295808536176	2499.96889395752	1691.55503922491	941.975559405944	2262.34803429356	2707.94950422882	1795.30911441496	761.780794216914	3371.88537564183	2542.20440731997	2271.55181997807
hsa-mir-4754	3165.32480787784	313.126724464058	4120.78648746499	2872.3459574023	948.835915010804	524.022327920435	2064.40915865318	1389.15721554061	482.299713276624	2014.86817693267	3722.12565818345	1437.69353102362	312.915401859216	2826.82317589762	2217.72931487571	1792.18081343411
hsa-mir-411	4413.49954913617	240.753094753026	3180.26201439336	3992.47857861277	2544.47868295747	426.268927299192	2856.33595011561	1580.84108191973	400.031105468245	848.437378636134	1213.04445794676	1492.9135843414	729.982321863032	2584.35778455233	1879.49300199297	4987.98752372714
hsa-mir-6887	2094.77122082797	378.115289918863	2072.79031499442	2275.65517828578	1896.74250983061	778.020918059239	2609.75874459208	1090.06428610423	641.180962106557	1522.18309325282	1613.39088619339	2325.1586736308	700.948934061661	2575.30574327544	1166.80663823147	1778.38596432493
hsa-mir-106b	1489.50783121547	526.18582825623	1630.62810665231	861.703787220691	1139.34655416576	965.114516789241	1890.72521461654	1514.74319696142	891.586037123312	1927.06741871456	2576.41456300568	1064.95817112861	1182.53449362408	2228.09530286898	838.710171987615	1127.72891467535
hsa-mir-26a-2	3532.1511046127	730.382854940928	2202.54632753594	2635.31568928429	1081.72870232378	976.33212013922	1377.77263378292	1099.42815313999	1276.70595742629	1192.36159217443	1054.36738599503	1059.69911843168	885.287904229093	1354.57331964902	1347.87532821153	902.413045892096
