CD14_S1	CD14_S2	CD14_S4	CD14_S3	CD56_S3	CD56_S4	CD19_S1	CD4_S1	CD56_S2	CD56_S1	CD19_S2	CD4_S2	CD19_S3	CD4_S3	CD4_S4	CD19_S4
CD14_S1	0	27.2980645494194	42.4729806066217	33.3034367846222	55.0463699579751	64.7131021751903	57.7151779209797	56.502478887116	55.7445520695676	48.9347647956153	70.8087388060085	74.3282468611691	63.7961488404638	71.5560899390176	64.2734706166752	71.0982613326559
CD14_S2	27.2980645494194	0	30.0414131728579	23.6729258658752	42.3321823295613	50.7353081524259	50.8899915779106	47.0141481111531	42.90412828566	40.0537728937557	58.6631659823988	62.5254052050588	52.6340271751497	59.0852786304688	49.9875664348911	58.4819666320805
CD14_S4	42.4729806066217	30.0414131728579	0	20.2042581885491	36.7116023817573	42.7237762966882	47.9165705281546	49.7208173329682	42.2938170414952	43.9986230409388	52.627536465463	56.0019689588709	43.8906898994269	51.3289622467189	37.4023393005558	49.8523532094417
CD14_S3	33.3034367846222	23.6729258658752	20.2042581885491	0	38.7595170001586	46.4312380308659	48.59617895242	50.6240646359772	43.3661221701261	43.9402790065035	57.3066491411311	60.3709832399325	47.3285526948092	55.0549314899102	45.2050112562508	56.6436218698535
CD56_S3	55.0463699579751	42.3321823295613	36.7116023817573	38.7595170001586	0	21.9063295922204	36.2366767672574	36.5414037772692	25.1551285193402	29.4881286457507	39.9111016302198	40.5435786913778	29.4729987296108	35.2297665702812	31.511865988316	36.4618340374841
CD56_S4	64.7131021751903	50.7353081524259	42.7237762966882	46.4312380308659	21.9063295922204	0	37.7782746265592	38.9169749305886	27.6342408874256	35.6563045301211	34.5087333436864	34.4362015804668	24.3395920676506	28.0892580260178	28.9305207896267	31.9792035953844
CD19_S1	57.7151779209797	50.8899915779106	47.9165705281546	48.59617895242	36.2366767672574	37.7782746265592	0	34.848046552759	31.4662489728686	34.1508199615425	29.001940703165	38.7155184267082	28.1512474665539	38.5616659017978	42.567524898961	38.060494439566
CD4_S1	56.502478887116	47.0141481111531	49.7208173329682	50.6240646359772	36.5414037772692	38.9169749305886	34.848046552759	0	28.3079337100907	27.3723636787099	39.3004287540795	37.267962579568	39.7403764939504	41.3767712918296	41.9545902795985	42.7718878447317
CD56_S2	55.7445520695676	42.90412828566	42.2938170414952	43.3661221701261	25.1551285193402	27.6342408874256	31.4662489728686	28.3079337100907	0	22.2239289497175	32.3037900546361	35.4716835221224	32.9733606970905	37.4698150758267	37.1751795818841	39.927418093981
CD56_S1	48.9347647956153	40.0537728937557	43.9986230409388	43.9402790065035	29.4881286457507	35.6563045301211	34.1508199615425	27.3723636787099	22.2239289497175	0	40.8614828704338	43.6553948512589	40.881595723598	45.8291360320424	42.8242898953398	45.0578105906674
CD19_S2	70.8087388060085	58.6631659823988	52.627536465463	57.3066491411311	39.9111016302198	34.5087333436864	29.001940703165	39.3004287540795	32.3037900546361	40.8614828704338	0	27.1151423301879	28.1200943145558	30.4800464881845	36.5804891440282	31.0393406866084
CD4_S2	74.3282468611691	62.5254052050588	56.0019689588709	60.3709832399325	40.5435786913778	34.4362015804668	38.7155184267082	37.267962579568	35.4716835221224	43.6553948512589	27.1151423301879	0	31.8906264738097	25.9473794416287	35.3526877487708	35.479159481641
CD19_S3	63.7961488404638	52.6340271751497	43.8906898994269	47.3285526948092	29.4729987296108	24.3395920676506	28.1512474665539	39.7403764939504	32.9733606970905	40.881595723598	28.1200943145558	31.8906264738097	0	23.9551373875485	30.6426058200211	27.9659392666996
CD4_S3	71.5560899390176	59.0852786304688	51.3289622467189	55.0549314899102	35.2297665702812	28.0892580260178	38.5616659017978	41.3767712918296	37.4698150758267	45.8291360320424	30.4800464881845	25.9473794416287	23.9551373875485	0	31.1806231001426	30.8279208153286
CD4_S4	64.2734706166752	49.9875664348911	37.4023393005558	45.2050112562508	31.511865988316	28.9305207896267	42.567524898961	41.9545902795985	37.1751795818841	42.8242898953398	36.5804891440282	35.3526877487708	30.6426058200211	31.1806231001426	0	28.3032018085538
CD19_S4	71.0982613326559	58.4819666320805	49.8523532094417	56.6436218698535	36.4618340374841	31.9792035953844	38.060494439566	42.7718878447317	39.927418093981	45.0578105906674	31.0393406866084	35.479159481641	27.9659392666996	30.8279208153286	28.3032018085538	0
