CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
hsa-miR-26a-5p	271200.710907876	158182.344901987	299540.63774952	273774.490854166	193917.61974073	139137.23017786	163610.127238311	239585.209538887	161644.873591126	263567.185453297	132963.085342145	191640.049359744	197172.654746175	252193.041504606	295289.213152358	161612.003356368
hsa-miR-21-5p	144514.392661952	71791.5483978314	101865.511714676	58209.771096496	41289.5896371529	28233.9051966317	43911.0792170471	220901.374964656	228629.281809486	290945.802657904	14954.6579636455	215522.503651245	107167.614149602	140367.716275885	70153.1941812768	31099.5712127132
hsa-let-7g-5p	172802.079314585	78739.5358054137	132956.220701546	89996.7410474509	99183.3641716266	66263.5706109678	69698.7532003795	59818.8558119754	52435.6664365506	66996.6525996267	65965.5290824832	58714.1068976308	77665.4745662527	111099.539028885	129272.553474099	66278.7991672709
hsa-let-7i-5p	50813.7452148015	42046.4007872636	37715.2640470398	55896.2971189649	67516.4047406424	35826.0565015119	34376.0995201022	118327.934237582	121965.849187776	112171.433681066	53803.2990428691	114886.207355762	46798.5215866199	66337.8679758043	63979.5577096224	42990.6718054215
hsa-let-7f-5p	60149.1494441647	47704.5215865536	66533.0412655308	76421.0827367114	87877.3030942475	42184.782943509	56675.7101933084	76578.886706474	80047.0114144594	96641.9518950228	56449.7136058198	74528.5764948597	53159.916334756	73482.4119012468	102060.4519785	54812.3807385879
hsa-let-7a-5p	36895.1307027946	35238.9727111369	43486.691034193	43027.017760654	47947.641126367	30974.4722475144	37801.4626634093	43520.25716789	44077.0448963337	59452.1851441881	37288.4372367982	37521.2944059099	35989.635677363	35446.6501924768	58903.5839743968	31715.5035603538
hsa-miR-146b-5p	69430.8402996942	49920.4878252916	59210.6181920984	64128.7624312115	18398.124346673	6777.93448547729	53656.3696227945	9423.14434290779	2177.79926368883	4803.00220219127	2108.24780689935	7015.16971499795	61422.0961943931	47990.4332704621	85187.6287143073	15252.6252631967
hsa-miR-30e-5p	13904.1188510463	17574.6351073827	11758.7079297205	24953.0852195201	15438.5326093729	13110.9860948219	17143.2238198925	38789.130773784	32307.1909143601	44341.1710989907	10932.6022527935	40902.1330892247	12672.3653560153	23126.6359001868	22118.721389384	11229.8618707327
hsa-miR-26b-5p	30319.6606062014	23937.4590994745	26778.0658802947	31159.0222765777	22941.118261823	21674.3543452096	27927.777289191	22732.0564070618	18975.8599243918	26162.1931945107	17509.016944098	18985.4203789149	14808.1351601602	18178.1457623968	34480.0043386111	16924.5346287432
hsa-miR-181a-5p	9168.10841622131	34066.9776615729	13904.6001598455	69265.5966019351	12100.2917936651	10023.071020584	48140.4394248268	12173.5346417538	6183.18827656676	13321.0777065837	14304.9069730149	16059.9936203048	12343.6655539186	14324.987199897	36799.2971365652	11445.848293209
hsa-miR-191-5p	4141.39047939077	14669.6469305221	5025.70678526113	19381.9772280429	6641.64504890131	7543.75276976528	17288.6507739769	31791.1366773199	19105.4918212488	37522.098609641	5993.5465119923	29907.3935821265	7295.676176146	22806.7532024398	17234.4300078607	7382.46539272053
hsa-miR-142-5p	22652.945238248	20068.9078691352	22416.9099039846	28170.674511163	23398.4026136239	18570.9458374745	19622.0328030245	7878.57407218563	4092.76497921927	6913.05873025889	19744.9347250077	6637.06161274923	16199.5954598318	13941.2197181252	28362.726299856	14302.3631187391
hsa-miR-101-3p	34598.6605793694	15088.894092097	27775.411200304	13425.013879218	25689.8836273508	12898.1358298729	8778.2105193201	11932.0103643905	7403.54619126297	8715.31577098715	16899.1134343035	11301.7413732296	22440.8741665431	14256.858722858	20486.3434270678	11665.2196746875
hsa-miR-30d-5p	8153.01500757892	9471.23950928913	7716.56654427169	10566.1689217486	8837.36159824753	6530.92488857977	9346.56725535989	26336.9069805838	20771.7369713078	29565.1056988895	8155.24412675537	25372.4204500189	10810.6077091682	15767.9575191353	13649.5666752736	7588.55731965249
hsa-miR-150-5p	40519.5423697048	21640.3221108317	30290.2466362505	9183.50673986477	11072.178959088	20863.6788820346	13671.2566719946	1242.79528550235	95.3871594548265	906.934514944655	12857.0211006515	1272.33127396528	25524.3718360998	28137.4051003205	25084.5971877561	14762.0665893624
hsa-miR-92a-3p	13144.9830722435	7214.13976663579	15941.1968585453	9225.54126203393	13386.3543439964	8480.73660506948	5388.65821755922	13440.8378863135	4938.13264216836	12253.4289003396	10061.2631463519	16536.9310904177	15753.649282829	15359.3013513071	12851.1024743305	13148.8732434282
hsa-miR-103a-3p	5237.00430610915	4635.4551445889	4160.21453727351	5244.61499679838	3489.6570820304	3769.84748287706	5613.69254762459	15369.2871753061	12656.4813648958	18310.0898008759	2754.6123260708	16899.7112335968	3891.67775168877	9450.93373146444	6392.70201874283	2484.29952603639
hsa-miR-103b	5237.00430610915	4635.4551445889	4160.21453727351	5244.61499679838	3489.6570820304	3769.84748287706	5613.69254762459	15369.2871753061	12656.4813648958	18310.0898008759	2754.6123260708	16899.7112335968	3891.67775168877	9450.93373146444	6392.70201874283	2484.29952603639
hsa-let-7b-5p	6044.78990594429	7541.39658921119	4878.75243083182	6697.50053228629	5333.75542819791	4163.97091974281	7237.59567412071	13064.9227696322	8644.16038699223	13969.0594115989	5282.21818199598	13208.716555389	6887.11765435805	6203.36163153342	8386.36831550139	4921.86057969844
hsa-miR-107	4454.04004353542	4035.08710829999	3551.53847323075	4930.55825128204	3090.84325980221	3237.46359661288	5226.19927786135	14476.9035597291	12325.3243770235	17713.8441414656	2316.34647806466	16152.3487238688	3268.46817430362	8867.02451158986	5898.00021884974	2242.665529583
hsa-miR-30c-5p	3503.0849703765	5979.75334207163	4115.38260512584	7585.86326412566	4913.76501120479	4388.10925766834	5532.8374071298	11493.0002892851	7888.36865533276	13269.9413411703	4115.24011716984	10612.6472422032	4426.74757171449	7661.24222352435	7942.39971885845	4114.80823917336
