miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-6132	4	10	12	8	5	10	12	4	15	12	13	8	8	1	6	11
hsa-miR-6872-5p	1	2	0	1	2	1	0	0	0	2	0	2	1	0	0	0
hsa-miR-6753-5p	3	8	8	4	10	4	1	10	2	8	7	3	4	6	3	5
hsa-miR-296-3p	46	21	22	8	36	37	77	46	51	15	35	63	34	39	31	13
hsa-miR-4672	4	3	2	4	7	0	2	8	1	4	5	3	1	1	2	6
hsa-miR-3937	1	0	3	2	2	1	2	0	0	7	0	2	0	0	1	2
hsa-miR-6809-5p	1	5	2	4	3	2	0	2	2	14	4	2	2	0	0	5
hsa-miR-4753-5p	2	1	0	1	0	1	0	0	2	2	3	1	1	2	2	1
hsa-miR-4704-5p	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1
hsa-miR-7159-5p	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	1
hsa-miR-3130-3p	18	3	23	17	20	19	12	21	17	47	32	13	43	2	5	33
hsa-miR-6791-5p	8	12	10	7	7	6	10	9	6	16	9	14	6	5	4	5
hsa-miR-5689	1	3	2	8	7	1	7	1	6	7	4	1	5	2	1	10
hsa-miR-29a-3p	26719	8712	14866	5475	27086	11075	35816	41719	37689	7099	26741	51804	23849	41454	42447	10594
hsa-miR-4661-3p	0	0	0	2	1	0	0	0	1	0	1	1	1	0	1	5
hsa-miR-6868-5p	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	4
hsa-miR-6511a-5p	5	14	4	15	7	4	5	6	6	10	8	6	9	2	1	13
hsa-miR-6847-5p	4	9	8	10	4	3	4	2	3	14	9	2	4	4	3	11
hsa-miR-6076	4	0	2	6	3	3	3	6	0	2	9	1	2	2	0	3
hsa-miR-1236-5p	0	4	2	1	3	1	0	7	2	1	2	5	2	0	1	5
hsa-miR-12124	4	0	3	5	1	1	1	4	1	2	1	2	1	0	0	4
hsa-miR-8085	4	4	5	6	5	1	2	5	2	7	10	3	1	1	3	7
hsa-miR-4646-5p	7	2	3	5	3	9	6	8	5	2	6	9	5	4	3	9
hsa-miR-12122	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
hsa-miR-342-3p	30945	4399	21796	1922	48344	18232	28557	38446	73060	6524	23754	64794	34522	42509	72193	6089
hsa-miR-1910-3p	8	27	7	27	25	13	16	24	15	37	16	10	15	24	10	32
hsa-miR-2115-3p	1	103	17	79	2	0	2	0	0	85	3	18	2	0	0	122
hsa-miR-3622b-5p	1	1	0	1	2	0	0	0	1	0	0	2	0	0	0	0
hsa-miR-4513	8	31	3	10	18	13	11	34	6	14	10	17	23	20	11	6
hsa-miR-3677-5p	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0
hsa-miR-1273c	33	46	17	33	68	4	31	48	29	52	44	60	34	13	21	72
hsa-miR-4458	14	3	4	5	1	11	42	4	11	3	7	6	3	14	4	5
hsa-miR-4468	3	5	6	17	1	5	28	7	4	11	0	1	6	7	1	13
hsa-miR-3121-3p	14	9	4	10	9	4	12	2	2	9	12	3	8	4	7	19
hsa-miR-3126-5p	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0
hsa-miR-199a-3p	3284	22688	6881	21764	2196	2262	2665	1004	1438	27953	3510	3889	1643	1628	2743	26585
hsa-miR-3138	12	26	8	16	17	3	14	14	9	14	14	33	30	10	9	25
hsa-miR-548t-5p	7	54	11	45	5	5	8	9	2	62	6	13	7	5	8	43
hsa-miR-5693	1	1	1	3	0	0	1	0	1	2	1	1	0	0	1	1
hsa-miR-936	0	2	0	3	0	0	0	3	0	3	0	0	0	1	0	3
hsa-miR-27a-3p	42407	51316	23481	40167	57475	8503	19334	8369	32005	37217	53291	98389	32128	17200	36168	49881
hsa-miR-27b-3p	19817	26191	10026	30906	31112	6600	20625	25828	15195	23894	20273	35454	19702	12833	15135	31333
hsa-miR-550a-3-5p	43	116	39	83	60	8	17	25	20	113	32	31	17	10	10	149
hsa-miR-5190	8	16	9	23	10	5	3	7	6	19	9	16	9	4	4	22
hsa-miR-6831-5p	4	1	13	5	2	5	6	5	4	4	4	3	2	1	0	6
hsa-miR-10399-5p	192	345	157	471	196	70	240	185	214	562	209	273	192	93	192	550
hsa-miR-101-3p	192677	186892	123734	225846	141404	90755	353983	296314	277701	241659	160108	303344	271980	169238	334660	293705
hsa-miR-142-5p	1306858	500432	734864	330040	1405724	690740	1348176	1573519	1086682	554528	1738328	1739244	1020718	1118133	1092690	731276
hsa-miR-363-3p	58796	36673	14445	33678	85157	10674	26293	31487	22079	26078	135108	96053	19014	22362	15552	38489
hsa-miR-144-3p	19	16	8	29	71	18	21	39	4	35	39	67	40	24	7	17
hsa-miR-4318	2	6	4	3	2	4	8	5	2	8	3	6	7	4	7	7
hsa-miR-128-3p	4758	8897	2238	6217	6610	1869	4211	5748	2969	3314	4712	9575	3824	4412	2732	5565
hsa-miR-564	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	0
hsa-miR-5683	2	0	0	4	1	1	0	0	0	0	2	1	0	0	0	0
hsa-miR-544b	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4755-3p	12	15	10	9	16	5	5	16	10	24	16	24	14	7	23	14
hsa-miR-378a-3p	17002	140775	47305	114652	15725	12104	20965	13049	10619	190833	20892	21572	22530	9375	9117	203062
hsa-miR-4717-3p	10	6	9	7	3	4	1	2	3	20	11	13	3	3	3	20
hsa-miR-6767-5p	4	27	13	15	8	3	4	2	3	27	9	10	4	1	1	26
hsa-miR-4535	3	4	4	7	0	3	1	1	5	3	6	4	2	1	0	4
hsa-miR-3690	3	56	31	61	9	0	1	0	0	112	7	13	10	1	0	112
hsa-miR-8073	0	1	0	2	3	0	0	4	1	3	0	3	0	2	1	4
hsa-miR-7150	17	5	7	8	9	6	13	6	10	3	6	6	6	1	3	6
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-10526-3p	4	5	2	8	4	5	2	3	4	14	8	6	4	2	1	7
hsa-miR-140-3p	91349	83029	78605	76021	94461	49367	124377	124692	77442	155424	91346	152018	90111	84473	107598	135072
hsa-miR-378e	40	327	85	239	38	18	53	29	26	371	53	73	57	15	15	447
hsa-miR-4302	3	0	0	2	1	1	0	1	2	0	2	2	2	1	1	7
hsa-miR-652-5p	0	6	0	8	1	0	0	3	2	2	1	2	1	2	1	3
hsa-miR-4508	133	334	129	215	357	138	113	204	46	207	179	367	358	120	58	187
hsa-miR-1260a	15797	26937	12170	22181	29271	11629	17321	21275	11143	45876	20310	41605	18716	20636	7965	43247
hsa-miR-4286	2494	3698	1742	3051	3441	1216	2544	2211	1991	5268	4452	4150	2825	1726	1362	6353
hsa-miR-3685	1	2	0	0	0	0	0	2	0	4	0	2	1	0	0	2
hsa-miR-665	3	5	2	9	6	1	5	9	3	12	7	10	5	1	4	3
hsa-miR-4746-5p	3	17	4	10	4	0	4	1	1	18	3	8	5	0	0	13
hsa-miR-671-5p	33	64	41	52	62	6	17	33	61	159	41	52	36	36	47	91
hsa-miR-7973	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3654	1	6	1	21	6	0	1	4	0	4	5	2	7	1	2	7
hsa-miR-1307-5p	464	1103	302	1879	745	138	340	421	237	1767	590	540	428	90	81	2743
hsa-miR-483-5p	10	8	5	7	6	2	2	11	4	8	6	10	4	11	8	9
hsa-miR-4655-5p	1	4	2	0	2	1	2	4	3	1	1	0	0	0	3	5
hsa-miR-4534	6	4	1	5	6	3	2	4	1	10	6	8	3	5	2	12
hsa-miR-1268a	256	351	382	456	312	247	308	312	292	690	389	294	324	167	114	907
hsa-miR-10397-5p	1	2	1	1	3	1	4	1	1	0	0	2	2	1	0	2
hsa-miR-3610	8	14	14	13	6	9	17	13	17	13	12	25	1	11	9	13
hsa-miR-4669	7	22	19	12	8	3	6	10	4	37	4	8	5	2	3	41
hsa-miR-4743-5p	9	11	12	18	11	7	12	12	19	27	11	15	11	2	5	27
hsa-miR-4726-5p	2	1	2	1	6	1	1	2	6	5	9	3	0	3	0	8
hsa-miR-7108-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
hsa-miR-6126	0	1	0	0	2	0	1	2	0	2	0	0	2	0	0	1
hsa-miR-4539	7	4	4	3	1	6	11	3	1	8	7	5	5	2	2	5
hsa-miR-4664-3p	5	18	16	13	9	4	2	16	5	19	15	12	10	13	7	17
hsa-miR-676-5p	2	2	2	1	2	1	0	1	6	1	4	1	1	1	6	1
hsa-miR-769-5p	3916	5530	3415	6137	4283	1443	3194	2253	2566	10097	4678	5273	3902	1274	2314	10032
hsa-miR-4497	38	7	6	8	202	25	24	68	5	10	95	93	30	26	10	3
hsa-miR-372-5p	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	1
hsa-miR-4429	2	15	13	20	15	6	9	28	2	44	16	10	9	15	7	23
hsa-miR-12136	144	134	126	61	268	250	300	453	258	131	130	437	168	668	373	112
hsa-miR-300	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-374c-5p	2	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0
hsa-miR-338-5p	452	950	171	744	1796	63	55	32	10	604	704	1216	303	70	25	879
hsa-miR-374a-5p	9672	13864	5511	12409	15996	2522	7753	9558	9686	12125	12376	21469	7953	8669	10492	16236
hsa-miR-8485	6	16	11	10	14	3	10	4	7	7	5	7	11	4	6	2
hsa-miR-5580-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-5p	5	13	17	9	18	4	11	15	7	29	12	24	4	3	6	27
hsa-miR-4514	3	9	4	13	1	4	7	5	0	14	2	3	5	0	2	13
hsa-miR-604	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
hsa-miR-642a-3p	237	24	29	14	285	35	75	6	36	13	184	379	126	40	105	14
hsa-miR-942-3p	1	12	2	7	3	0	3	5	6	3	3	10	3	3	6	5
hsa-miR-371a-5p	0	0	0	1	1	0	2	1	0	1	1	1	0	3	1	1
hsa-miR-377-3p	2	4	0	1	3	1	0	0	0	9	0	6	2	0	0	0
hsa-miR-622	2	4	2	3	4	1	4	0	3	3	0	4	5	0	1	4
hsa-miR-4428	6	5	3	3	6	9	12	4	4	2	9	10	0	0	1	7
hsa-miR-4691-3p	4	0	0	3	4	1	8	5	1	7	3	1	0	2	1	4
hsa-miR-148a-3p	30394	53991	21893	43028	13996	13629	29214	5778	42627	40528	15305	24612	44866	7279	26964	125856
hsa-miR-8064	0	0	0	1	1	1	0	5	0	1	4	0	6	1	0	0
hsa-miR-378h	0	3	1	3	2	0	1	3	0	3	2	0	2	0	0	5
hsa-miR-378d	15	72	40	48	20	11	38	43	35	82	14	27	47	25	39	81
hsa-miR-497-3p	1	1	0	3	0	0	2	0	2	0	1	0	2	1	0	1
hsa-miR-106b-3p	9008	14727	7313	13029	12150	3346	9326	11951	4369	23409	8597	17170	6504	5183	4957	22283
hsa-miR-141-3p	578	159	252	91	443	349	1294	1250	1005	135	527	881	370	947	839	278
hsa-miR-200a-3p	1906	1282	528	880	2146	941	4316	5329	575	975	2333	3927	614	4175	578	1940
hsa-miR-6500-3p	2	1	1	8	6	0	1	0	2	2	0	8	4	0	2	3
hsa-miR-505-3p	1735	5552	1280	4649	2593	520	849	840	476	4156	1814	2994	697	774	392	5880
hsa-miR-187-5p	4	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-6165	1	12	5	14	6	4	8	8	9	10	8	11	4	6	2	17
hsa-miR-5585-3p	195	415	260	574	253	108	216	207	171	778	324	213	134	82	92	951
hsa-miR-4487	5	21	10	19	16	8	11	23	4	44	9	13	10	20	5	29
hsa-miR-582-5p	75	2999	352	1721	234	125	335	466	58	2094	134	461	106	343	60	1206
hsa-miR-340-5p	11237	124468	21046	168932	19127	3632	6578	6028	2107	116931	17702	19591	7756	3859	1346	154385
hsa-miR-103a-3p	60276	335839	82417	304795	90046	19082	48213	48671	44095	305411	63303	97198	47576	51037	52721	324194
hsa-miR-3141	28	50	24	35	26	37	31	44	34	59	33	32	24	23	18	58
hsa-miR-4660	5	14	6	19	12	3	4	6	2	11	10	8	1	1	5	15
hsa-miR-329-3p	4	2	2	1	5	5	4	2	0	7	4	5	2	1	0	2
hsa-miR-4442	58	120	82	116	153	78	108	326	49	134	111	231	75	82	75	86
hsa-miR-1286	1	4	0	7	5	0	0	2	5	6	3	7	4	1	1	7
hsa-miR-5581-5p	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-3173-3p	4	13	4	14	5	0	6	4	1	8	4	7	2	3	2	9
hsa-miR-4695-5p	15	9	9	5	11	11	17	12	24	8	22	13	9	13	9	21
hsa-miR-6773-5p	1	1	0	5	0	0	2	3	0	0	3	3	1	0	4	0
hsa-miR-4433a-3p	1	7	0	4	1	5	3	2	1	2	0	4	1	1	3	10
hsa-miR-150-3p	2448	137	1667	16	2127	1670	2058	1897	2631	150	1423	3950	4872	1368	2135	255
hsa-miR-4261	2	7	3	4	5	0	11	2	5	4	6	7	5	3	3	6
hsa-miR-4732-5p	1	5	5	3	4	4	4	7	5	2	3	3	7	1	2	1
hsa-miR-1207-5p	30	20	23	21	28	23	26	33	25	22	39	30	20	13	20	20
hsa-miR-7845-5p	16	33	13	22	19	8	20	27	5	27	17	31	9	12	1	34
hsa-miR-5088-5p	1	1	0	1	1	0	0	1	2	0	1	0	1	1	0	2
hsa-miR-194-5p	2336	583	1280	347	3575	543	1647	1269	3829	620	2590	6169	1943	2602	5393	686
hsa-miR-6876-5p	2	7	2	3	5	1	2	1	2	5	1	6	0	0	0	5
hsa-miR-4298	14	17	16	14	20	19	26	28	25	15	16	13	6	9	20	18
hsa-miR-6817-5p	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	1
hsa-miR-3125	2	18	9	16	5	4	8	6	9	16	14	13	9	5	10	19
hsa-miR-4446-3p	53	3	11	1	48	18	24	22	11	10	45	39	22	9	12	6
hsa-miR-6882-5p	40	52	20	58	48	19	25	21	26	50	49	35	18	10	28	49
hsa-miR-1972	19	17	12	16	7	8	18	12	4	9	21	15	10	4	6	22
hsa-miR-4690-5p	5	3	4	1	10	2	3	6	5	5	13	7	4	3	3	8
hsa-miR-7151-3p	1	8	3	8	4	2	1	9	2	11	5	7	1	0	2	12
hsa-miR-1227-5p	2	4	2	4	3	2	1	2	2	3	2	0	0	3	1	4
hsa-miR-4438	2	3	1	3	2	0	1	1	0	5	3	1	1	2	1	3
hsa-miR-5006-5p	7	22	12	19	10	22	23	23	11	33	11	14	8	8	6	50
hsa-miR-4531	4	3	5	7	4	6	5	5	2	14	3	4	5	0	1	7
hsa-miR-4436b-3p	2	9	6	9	5	2	2	7	5	5	4	5	2	4	3	6
hsa-miR-6860	7	5	3	5	2	5	4	8	3	13	3	6	3	8	3	18
hsa-miR-378f	34	251	87	184	37	22	44	22	14	341	40	46	37	18	15	355
hsa-miR-4726-3p	1	0	1	0	2	0	3	2	3	0	3	1	0	0	1	1
hsa-miR-7850-5p	17	13	9	19	19	11	15	42	12	13	13	30	20	17	21	18
hsa-miR-148b-3p	26540	71224	18254	99398	31845	8526	22173	18121	10235	105912	26508	37715	14771	10369	9018	116296
hsa-miR-30c-5p	73410	240698	65858	187782	87179	30931	66292	71344	42425	189320	89875	123240	52478	58372	34308	239357
hsa-miR-30b-5p	7144	7143	3313	6121	13109	2745	9733	17273	8231	5112	4391	18000	4414	12168	9181	6181
hsa-miR-222-3p	12425	18024	7702	8379	20870	6838	12258	21904	8553	19873	14029	32013	9585	16985	8190	18724
hsa-miR-4526	6	1	4	4	9	1	2	4	2	9	7	5	3	1	9	2
hsa-miR-181b-5p	46683	41264	17499	30216	95087	11211	19862	24645	15747	53207	96984	106135	18205	14757	11085	48219
hsa-miR-6509-5p	11	42	6	15	9	6	10	5	9	23	8	7	10	4	4	33
hsa-miR-181a-5p	345281	243394	124296	148175	769151	87369	166547	252157	146786	288745	832568	711894	149271	135302	91859	255608
hsa-miR-221-3p	29119	54373	22720	52658	41159	22016	38952	56931	22004	60407	32681	61786	24401	35469	23712	62299
hsa-miR-32-5p	1640	4765	998	3914	2557	565	1581	1647	1503	3893	2440	3643	1079	1464	1439	4894
hsa-miR-23b-3p	1269	2332	1037	1999	2418	631	711	829	1216	2079	1332	2399	1270	830	1233	2346
hsa-miR-23a-3p	9431	20373	7727	17027	22179	3532	4246	2476	7700	15504	9170	27658	7792	5576	8547	17676
hsa-miR-3675-3p	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-29b-3p	3841	1109	2920	676	3106	3131	8843	10013	9621	1203	2374	6551	3937	11695	12551	1333
hsa-miR-3065-5p	6	20	1	27	15	1	5	2	6	25	3	13	1	5	2	21
hsa-miR-5699-5p	1	1	0	0	3	0	0	4	3	4	0	0	1	2	0	1
hsa-miR-583	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-646	2	2	1	7	3	0	0	4	0	6	3	2	2	2	0	3
hsa-miR-16-2-3p	2422	4004	2644	2384	3269	1725	3206	4043	2665	4151	2864	5560	3469	2595	2453	3991
hsa-miR-3914	0	2	0	2	0	0	0	1	0	4	0	0	0	0	0	1
hsa-miR-2467-3p	3	6	9	6	4	3	4	3	7	4	11	6	3	3	5	8
hsa-miR-6795-5p	1	6	3	1	4	3	2	2	2	2	2	3	2	2	3	5
hsa-miR-6879-5p	14	21	3	23	12	13	17	10	5	23	11	9	6	5	3	13
hsa-miR-6837-5p	7	17	13	17	18	6	11	11	3	16	16	13	7	5	3	21
hsa-miR-21-5p	660953	5346049	1228923	5513243	704288	239241	571483	264779	1080142	3910717	702220	1513889	1312725	382226	1458004	4682829
hsa-miR-5195-3p	1	0	0	1	4	0	1	1	0	0	0	1	2	3	0	4
hsa-miR-4670-5p	0	1	0	1	0	0	1	0	1	3	2	1	0	1	0	1
hsa-miR-556-3p	0	2	2	7	0	0	0	0	0	11	0	1	0	0	0	1
hsa-miR-30d-5p	127957	541335	137089	499543	149031	57848	121311	143041	80893	457451	126810	197343	130992	87505	81201	554600
hsa-miR-181c-3p	81	119	65	107	56	10	35	5	30	233	60	97	49	13	41	267
hsa-miR-181a-3p	6006	30026	5841	25183	13420	2614	5065	7353	2572	26788	12510	14503	5711	2467	1491	28589
hsa-miR-552-5p	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1
hsa-miR-29c-3p	1960	585	995	424	1605	1346	4761	4246	3348	670	1347	3853	1654	5079	4201	951
hsa-miR-3155b	3	2	4	4	2	3	1	3	0	6	2	1	2	3	4	2
hsa-miR-6784-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6875-5p	5	1	4	3	2	2	4	2	2	7	3	2	4	0	0	4
