DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	CD56_S4
0	0
1	0
2	5
3	5
4	6
5	6
6	6
7	6
8	6
9	6
10	6
11	6
12	12
13	15
14	15
15	17
16	17
17	17
18	29
19	29
20	31
21	31
22	52
23	55
24	58
25	58
26	76
27	76
28	96
29	120
30	120
31	141
32	141
33	141
34	141
35	141
36	158
37	158
38	164
39	183
40	202
41	202
42	214
43	214
44	259
45	293
46	293
47	293
48	293
49	293
50	306
51	324
52	324
53	343
54	361
55	361
56	494
57	500
58	531
59	564
60	590
61	687
62	694
63	714
64	757
65	774
66	808
67	824
68	1010
69	1021
70	1191
71	1220
72	1231
73	1262
74	1304
75	1315
76	1329
77	1389
78	1572
79	1572
80	1574
81	1756
82	1756
83	1835
84	1835
85	1958
86	1958
87	1958
88	1958
89	1958
90	1958
91	1958
92	1958
93	1958
94	2043
95	2101
96	2101
97	2101
98	2210
99	2210
100	2210
101	2210
102	2250
103	2304
104	2304
105	2674
106	2699
107	2800
108	3011
109	3011
110	3257
111	3422
112	3463
113	3543
114	3697
115	3909
116	3988
117	4023
118	4034
119	4062
120	4062
121	4062
122	4294
123	4294
124	4294
125	4294
126	4605
127	4605
128	4605
129	4605
130	4605
131	4605
132	4732
133	4863
134	4863
135	5023
136	5023
137	5023
138	5023
139	5023
140	5023
141	5023
142	5023
143	5023
144	5023
145	5023
146	5023
147	5023
148	5023
149	5023
150	5023
151	5023
152	5023
153	5023
154	5023
155	5023
156	5023
157	5023
158	5023
159	5023
160	5023
161	5023
162	5036
163	5114
164	5312
165	6486
166	6486
167	6486
168	6555
169	6645
170	6645
171	6645
172	7298
173	7401
174	7640
175	7640
176	7640
177	7791
178	8298
179	8298
180	8818
181	9158
182	9268
183	9268
184	9285
185	9301
186	9301
187	9636
188	9865
189	10301
190	10527
191	10790
192	10851
193	10955
194	12339
195	12557
196	12775
197	13172
198	13172
199	13172
200	13855
201	14311
202	14490
203	16856
204	16856
205	16856
206	16856
207	16856
208	18893
209	18975
210	19022
211	19165
212	19165
213	19165
214	19661
215	20144
216	20144
217	21154
218	21154
219	21154
220	21639
221	21675
222	25192
223	25872
224	28144
225	28144
226	28373
227	28373
228	28666
229	28757
230	29526
231	31754
232	31754
233	31754
234	31754
235	31873
236	33353
237	33353
238	33353
239	33353
240	33585
241	33837
242	34002
243	34906
244	35053
245	35366
246	36727
247	36846
248	37804
249	37804
250	38521
251	39014
252	39225
253	40334
254	43850
255	46799
256	47282
257	47282
258	47282
259	47282
260	47282
261	47372
262	48480
263	48511
264	48998
265	49941
266	52528
267	54928
268	57709
269	59673
270	60940
271	62180
272	62180
273	68031
274	71889
275	73553
276	76976
277	77793
278	79423
279	80085
280	81012
281	81012
282	81012
283	81012
284	84472
285	90388
286	90391
287	91482
288	93422
289	98244
290	102862
291	104496
292	104984
293	104984
294	107137
295	107923
296	110267
297	114648
298	114909
299	115970
300	117823
301	117823
302	118591
303	122734
304	122734
305	122960
306	124822
307	124822
308	124822
309	124822
310	129491
311	129682
312	132241
313	134579
314	135299
315	135653
316	136091
317	136455
318	136455
319	136455
320	136455
321	139205
322	140984
323	143798
324	143994
325	144824
326	145257
327	146757
328	146757
329	148660
330	149756
331	151334
332	154624
333	154624
334	157281
335	160029
336	162610
337	163707
338	163707
339	163754
340	165013
341	165069
342	172032
343	172238
344	175863
345	176797
346	177280
347	177413
348	177742
349	177742
350	177742
351	177742
352	181994
353	181994
354	182234
355	186322
356	192912
357	193073
358	200258
359	200258
360	214962
361	215671
362	223375
363	238723
364	240900
365	256266
366	258012
367	258012
368	264849
369	268557
370	270525
371	271743
372	271743
373	272441
374	276592
375	276592
376	276592
377	276592
378	276592
379	276592
380	276592
381	276996
382	277861
383	277861
384	278563
385	280172
386	280172
387	282503
388	289847
389	293453
390	297452
391	300432
392	300743
393	304506
394	315285
395	316203
396	326817
397	332887
398	345215
399	345215
400	352077
401	356915
402	364121
403	379158
404	383079
405	388706
406	389757
407	404138
408	407223
409	417245
410	420448
411	423026
412	426227
413	440854
414	441944
415	450405
416	450976
417	451919
418	452619
419	452619
420	460427
421	469274
422	469274
423	489838
424	492230
425	495656
426	501126
427	501918
428	501918
429	502408
430	504047
431	509398
