Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CD14_S1	(1, 23.868100000000002)	(2, 65.827)	(3, 45.4423)	(4, 44.384299999999996)	(5, 43.7157)	(6, 35.4604)	(7, 32.676500000000004)	(8, 46.7727)	(9, 28.6896)	(10, 42.9574)	(11, 61.594300000000004)	(12, 40.9044)	(13, 32.1604)	(14, 37.3939)	(15, 65.60589999999999)	(16, 19.3529)	(17, 46.7459)	(18, 43.138799999999996)	(19, 33.935700000000004)	(20, 59.5847)
CD14_S2	(1, 24.5125)	(2, 62.027100000000004)	(3, 47.5275)	(4, 42.1545)	(5, 42.3546)	(6, 34.5852)	(7, 32.9662)	(8, 45.576100000000004)	(9, 24.155099999999997)	(10, 43.1441)	(11, 62.4804)	(12, 44.7154)	(13, 29.3184)	(14, 39.6135)	(15, 59.450599999999994)	(16, 22.8848)	(17, 42.8491)	(18, 35.5798)	(19, 39.4944)	(20, 58.076499999999996)
CD14_S3	(1, 22.393)	(2, 62.2069)	(3, 46.0574)	(4, 42.483599999999996)	(5, 44.4469)	(6, 32.3645)	(7, 32.555499999999995)	(8, 45.4671)	(9, 20.9914)	(10, 40.9241)	(11, 64.5249)	(12, 47.119499999999995)	(13, 25.057800000000004)	(14, 40.8136)	(15, 56.7646)	(16, 26.040999999999997)	(17, 41.7979)	(18, 33.0406)	(19, 42.426199999999994)	(20, 59.8237)
CD14_S4	(1, 25.7492)	(2, 60.5935)	(3, 47.1678)	(4, 44.28)	(5, 45.7378)	(6, 29.0414)	(7, 37.2885)	(8, 46.4096)	(9, 19.433600000000002)	(10, 45.1868)	(11, 60.3946)	(12, 42.0604)	(13, 27.613)	(14, 35.1386)	(15, 52.730999999999995)	(16, 28.2418)	(17, 44.0826)	(18, 30.108600000000003)	(19, 40.2213)	(20, 53.014300000000006)
CD19_S1	(1, 28.9404)	(2, 57.1534)	(3, 39.889)	(4, 43.696200000000005)	(5, 42.2501)	(6, 27.4848)	(7, 43.9871)	(8, 39.473200000000006)	(9, 20.7666)	(10, 46.9688)	(11, 54.955200000000005)	(12, 41.8678)	(13, 22.427500000000002)	(14, 28.627999999999997)	(15, 49.2301)	(16, 32.5467)	(17, 35.857299999999995)	(18, 24.6571)	(19, 44.4113)	(20, 44.5306)
CD19_S2	(1, 30.1786)	(2, 54.93130000000001)	(3, 40.7383)	(4, 43.545899999999996)	(5, 37.7299)	(6, 26.5639)	(7, 46.5216)	(8, 37.858999999999995)	(9, 19.9113)	(10, 48.6093)	(11, 53.8012)	(12, 40.1798)	(13, 23.5299)	(14, 28.0678)	(15, 44.7644)	(16, 33.8347)	(17, 31.641000000000002)	(18, 23.365)	(19, 45.7378)	(20, 41.918)
CD19_S3	(1, 28.363500000000002)	(2, 55.6238)	(3, 40.4942)	(4, 45.5946)	(5, 43.7261)	(6, 27.172400000000003)	(7, 42.3437)	(8, 40.8903)	(9, 19.602)	(10, 44.2262)	(11, 55.706999999999994)	(12, 40.0434)	(13, 22.4189)	(14, 28.7089)	(15, 51.5321)	(16, 30.3328)	(17, 35.888799999999996)	(18, 24.43)	(19, 43.702000000000005)	(20, 46.5269)
CD19_S4	(1, 34.096)	(2, 52.66499999999999)	(3, 42.9561)	(4, 48.2431)	(5, 41.1284)	(6, 27.186500000000002)	(7, 49.7254)	(8, 37.5913)	(9, 18.7177)	(10, 49.4163)	(11, 50.015299999999996)	(12, 35.7284)	(13, 25.825300000000002)	(14, 25.172)	(15, 41.653800000000004)	(16, 36.5552)	(17, 36.1651)	(18, 24.418100000000003)	(19, 43.325599999999994)	(20, 39.1618)
CD4_S1	(1, 29.721799999999998)	(2, 59.7716)	(3, 41.706500000000005)	(4, 44.474599999999995)	(5, 41.3474)	(6, 29.3078)	(7, 46.6016)	(8, 38.4176)	(9, 26.5748)	(10, 46.4256)	(11, 53.5203)	(12, 38.0257)	(13, 26.405099999999997)	(14, 32.3149)	(15, 51.2804)	(16, 30.4191)	(17, 37.4187)	(18, 24.8699)	(19, 45.4507)	(20, 44.2782)
CD4_S2	(1, 27.659299999999998)	(2, 56.8111)	(3, 41.1391)	(4, 44.0505)	(5, 39.335300000000004)	(6, 25.722299999999997)	(7, 44.6814)	(8, 37.5011)	(9, 22.949)	(10, 44.4334)	(11, 53.809)	(12, 37.7156)	(13, 22.432199999999998)	(14, 31.2)	(15, 49.782900000000005)	(16, 29.476000000000003)	(17, 31.7714)	(18, 24.520400000000002)	(19, 45.953300000000006)	(20, 46.7393)
