Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CD14_S1	(1, 6.267419999999999e-05)	(2, 0.0101234)	(3, 0.055771100000000004)	(4, 0.0349453)	(5, 4.775179999999999e-05)	(6, 1.19379e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000150087)	(13, 3.9202599999999996e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000346926)
CD14_S2	(1, 8.28402e-05)	(2, 0.0104517)	(3, 0.0552958)	(4, 0.0350359)	(5, 4.69428e-05)	(6, 1.6568e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000185813)	(13, 4.45071e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000242743)
CD14_S3	(1, 7.6456e-05)	(2, 0.0100214)	(3, 0.0548444)	(4, 0.0345723)	(5, 4.5307200000000006e-05)	(6, 2.8317000000000003e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 2.83631e-06)	(12, 0.000170625)	(13, 3.70942e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00023642799999999998)
CD14_S4	(1, 7.59811e-05)	(2, 0.010108200000000001)	(3, 0.0544974)	(4, 0.033844099999999995)	(5, 7.055379999999999e-05)	(6, 8.14083e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 2.7176e-06)	(12, 0.000177042)	(13, 1.91261e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00026983)
CD19_S1	(1, 7.53356e-05)	(2, 0.0100524)	(3, 0.0560989)	(4, 0.0347297)	(5, 4.2581000000000004e-05)	(6, 9.826389999999999e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000197699)	(13, 6.28774e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000299808)
CD19_S2	(1, 5.9777899999999996e-05)	(2, 0.00980006)	(3, 0.054781199999999995)	(4, 0.0352408)	(5, 8.0876e-05)	(6, 3.5163500000000002e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00014146200000000002)	(13, 3.90469e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000251994)
CD19_S3	(1, 2.59513e-05)	(2, 0.00985826)	(3, 0.0551952)	(4, 0.034674199999999995)	(5, 6.48783e-05)	(6, 1.2975699999999998e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 6.50098e-06)	(12, 0.000166299)	(13, 6.21822e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00031261200000000004)
CD19_S4	(1, 7.98033e-05)	(2, 0.0101749)	(3, 0.05475700000000001)	(4, 0.0347543)	(5, 6.38426e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00017226400000000002)	(13, 3.61392e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00028480199999999996)
CD4_S1	(1, 6.71199e-05)	(2, 0.0103435)	(3, 0.0544978)	(4, 0.0349977)	(5, 4.94568e-05)	(6, 3.53263e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 3.5403000000000002e-06)	(12, 0.000156391)	(13, 5.35294e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000252186)
CD4_S2	(1, 5.68568e-05)	(2, 0.00922084)	(3, 0.0499504)	(4, 0.031124100000000002)	(5, 5.35123e-05)	(6, 1.33781e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000121011)	(13, 2.69771e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000202636)
