Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CD14_S1	(1, 39.3055)	(2, 38.6893)	(3, 39.0359)	(4, 39.146)	(5, 39.2474)	(6, 39.383)	(7, 39.2833)	(8, 39.4074)	(9, 39.4499)	(10, 39.4399)	(11, 39.5534)	(12, 39.471)	(13, 39.415)	(14, 39.5441)	(15, 39.4525)	(16, 39.4858)	(17, 39.3111)	(18, 39.6017)	(19, 39.578)	(20, 39.5641)
CD14_S2	(1, 39.3038)	(2, 38.7613)	(3, 39.0876)	(4, 39.1499)	(5, 39.2021)	(6, 39.3574)	(7, 39.3462)	(8, 39.3736)	(9, 39.4399)	(10, 39.4865)	(11, 39.5281)	(12, 39.4738)	(13, 39.4452)	(14, 39.5401)	(15, 39.4613)	(16, 39.5237)	(17, 39.2269)	(18, 39.6274)	(19, 39.5974)	(20, 39.5862)
CD14_S3	(1, 39.3203)	(2, 38.6459)	(3, 39.0244)	(4, 39.0889)	(5, 39.1655)	(6, 39.3557)	(7, 39.3042)	(8, 39.3182)	(9, 39.3903)	(10, 39.4364)	(11, 39.4794)	(12, 39.4075)	(13, 39.4253)	(14, 39.5011)	(15, 39.4086)	(16, 39.4747)	(17, 39.2317)	(18, 39.5959)	(19, 39.5328)	(20, 39.5532)
CD14_S4	(1, 39.3113)	(2, 38.5648)	(3, 39.0032)	(4, 39.142)	(5, 39.1967)	(6, 39.3745)	(7, 39.3604)	(8, 39.3539)	(9, 39.4479)	(10, 39.4795)	(11, 39.473)	(12, 39.4417)	(13, 39.4387)	(14, 39.5268)	(15, 39.4411)	(16, 39.4466)	(17, 39.2339)	(18, 39.5416)	(19, 39.2608)	(20, 39.3452)
CD19_S1	(1, 39.3227)	(2, 38.794)	(3, 39.1037)	(4, 39.1188)	(5, 39.1719)	(6, 39.3813)	(7, 39.3012)	(8, 39.2859)	(9, 39.4483)	(10, 39.4844)	(11, 39.4671)	(12, 39.4968)	(13, 39.4916)	(14, 39.5215)	(15, 39.4621)	(16, 39.5329)	(17, 39.295)	(18, 39.6038)	(19, 39.507)	(20, 39.585)
CD19_S2	(1, 39.3073)	(2, 38.967)	(3, 39.1247)	(4, 39.1206)	(5, 39.1218)	(6, 39.3303)	(7, 39.2853)	(8, 39.2325)	(9, 39.3941)	(10, 39.4493)	(11, 39.3916)	(12, 39.4443)	(13, 39.3985)	(14, 39.4913)	(15, 39.4125)	(16, 39.4937)	(17, 39.3112)	(18, 39.5671)	(19, 39.4937)	(20, 39.5658)
CD19_S3	(1, 39.3094)	(2, 38.7235)	(3, 39.0211)	(4, 39.0857)	(5, 39.1355)	(6, 39.3232)	(7, 39.295)	(8, 39.2884)	(9, 39.4304)	(10, 39.4908)	(11, 39.4558)	(12, 39.4605)	(13, 39.4558)	(14, 39.5471)	(15, 39.4567)	(16, 39.5303)	(17, 39.2446)	(18, 39.5778)	(19, 39.2992)	(20, 39.5373)
CD19_S4	(1, 39.2948)	(2, 38.9816)	(3, 39.1654)	(4, 39.168)	(5, 39.1699)	(6, 39.3538)	(7, 39.3236)	(8, 39.262)	(9, 39.4296)	(10, 39.4872)	(11, 39.4149)	(12, 39.4584)	(13, 39.4796)	(14, 39.5369)	(15, 39.4405)	(16, 39.514)	(17, 39.3371)	(18, 39.5887)	(19, 39.4327)	(20, 39.5699)
CD4_S1	(1, 39.3199)	(2, 38.9331)	(3, 39.1561)	(4, 39.1408)	(5, 39.1568)	(6, 39.3376)	(7, 39.3393)	(8, 39.2884)	(9, 39.4168)	(10, 39.4774)	(11, 39.4289)	(12, 39.4743)	(13, 39.4366)	(14, 39.5179)	(15, 39.4551)	(16, 39.483)	(17, 39.1622)	(18, 39.5535)	(19, 39.4517)	(20, 39.5342)
CD4_S2	(1, 39.3651)	(2, 38.968)	(3, 39.1747)	(4, 39.1708)	(5, 39.1275)	(6, 39.2154)	(7, 39.3898)	(8, 39.3358)	(9, 39.4525)	(10, 39.4965)	(11, 39.4381)	(12, 39.4734)	(13, 39.4922)	(14, 39.5772)	(15, 39.4944)	(16, 39.4924)	(17, 39.1553)	(18, 39.4323)	(19, 38.7031)	(20, 39.1645)
CD4_S3	(1, 39.3339)	(2, 38.8237)	(3, 39.1013)	(4, 39.1385)	(5, 39.1559)	(6, 39.3756)	(7, 39.3487)	(8, 39.3022)	(9, 39.4401)	(10, 39.5043)	(11, 39.4697)	(12, 39.4852)	(13, 39.4906)	(14, 39.5164)	(15, 39.4591)	(16, 39.5392)	(17, 39.2907)	(18, 39.5913)	(19, 39.5128)	(20, 39.6024)
CD4_S4	(1, 39.2917)	(2, 38.8931)	(3, 39.0966)	(4, 39.1137)	(5, 39.1145)	(6, 39.3047)	(7, 39.3331)	(8, 39.2378)	(9, 39.3803)	(10, 39.4552)	(11, 39.4049)	(12, 39.4325)	(13, 39.4427)	(14, 39.4654)	(15, 39.3991)	(16, 39.462)	(17, 39.3181)	(18, 39.5389)	(19, 39.4258)	(20, 39.5291)
CD56_S1	(1, 39.3027)	(2, 38.8559)	(3, 39.1144)	(4, 39.0901)	(5, 39.1497)	(6, 39.3183)	(7, 39.3108)	(8, 39.2714)	(9, 39.3619)	(10, 39.4325)	(11, 39.4375)	(12, 39.4279)	(13, 39.4258)	(14, 39.4469)	(15, 39.3968)	(16, 39.4723)	(17, 39.3099)	(18, 39.5589)	(19, 39.4873)	(20, 39.5416)
CD56_S2	(1, 39.3399)	(2, 38.9229)	(3, 39.1406)	(4, 39.0976)	(5, 39.1259)	(6, 39.3372)	(7, 39.3285)	(8, 39.3136)	(9, 39.4216)	(10, 39.4922)	(11, 39.4963)	(12, 39.5249)	(13, 39.5025)	(14, 39.539)	(15, 39.4724)	(16, 39.5141)	(17, 39.3436)	(18, 39.6075)	(19, 39.5052)	(20, 39.5725)
CD56_S3	(1, 39.3302)	(2, 38.883)	(3, 39.1022)	(4, 39.0618)	(5, 39.1234)	(6, 39.3045)	(7, 39.318)	(8, 39.2538)	(9, 39.3245)	(10, 39.4508)	(11, 39.4459)	(12, 39.4491)	(13, 39.4477)	(14, 39.4931)	(15, 39.4214)	(16, 39.4698)	(17, 39.2898)	(18, 39.5659)	(19, 39.4973)	(20, 39.5481)
CD56_S4	(1, 39.3223)	(2, 38.8961)	(3, 39.1278)	(4, 39.1167)	(5, 39.1399)	(6, 39.3392)	(7, 39.3242)	(8, 39.2717)	(9, 39.3775)	(10, 39.4764)	(11, 39.4377)	(12, 39.4564)	(13, 39.4759)	(14, 39.4999)	(15, 39.4137)	(16, 39.4963)	(17, 39.1737)	(18, 39.5785)	(19, 39.5228)	(20, 39.5773)
