Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
CD14_S1	33506607.0	13964.0	0.0	nan	125567.0	0.0
CD14_S2	36214299.0	17766.0	0.0	nan	97042.0	0.0
CD14_S3	35314440.0	19195.0	0.0	nan	86312.0	0.0
CD14_S4	36851285.0	23028.0	0.0	nan	94134.0	0.0
CD19_S1	30530036.0	13553.0	0.0	nan	129646.0	0.0
CD19_S2	28438609.0	12631.0	0.0	nan	153331.0	0.0
CD19_S3	30826935.0	14692.0	0.0	nan	99365.0	0.0
CD19_S4	25061635.0	9755.0	0.0	nan	83655.0	0.0
CD4_S1	28307539.0	13259.0	0.0	nan	102633.0	0.0
CD4_S2	29899673.0	11838.0	0.0	nan	109482.0	0.0
CD4_S3	31001132.0	14921.0	0.0	nan	100719.0	0.0
CD4_S4	28721890.0	14432.0	0.0	nan	74308.0	0.0
CD56_S1	30737411.0	13656.0	0.0	nan	131579.0	0.0
CD56_S2	32274180.0	13466.0	0.0	nan	159521.0	0.0
CD56_S3	28280824.0	12396.0	0.0	nan	76694.0	0.0
CD56_S4	29943377.0	11702.0	0.0	nan	77594.0	0.0
