Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
CD14_S1	10.48650494512918	69.21077983216861
CD14_S2	11.82263116566194	68.26296430589474
CD14_S3	12.578027571724201	65.93410797396191
CD14_S4	8.474179394287065	70.41543056096958
CD19_S1	6.687460178559894	65.64697139564461
CD19_S2	5.79639812903648	67.23682582365404
CD19_S3	7.566610173862564	67.57724373182089
CD19_S4	4.330236235584789	70.65067781890527
CD4_S1	7.142302267957663	67.73688097718421
CD4_S2	7.682602415083268	68.21706712310868
CD4_S3	8.68659892806495	67.57842262018045
CD4_S4	6.7834846522982994	71.08609844268605
CD56_S1	7.597539688687509	66.17516680243499
CD56_S2	8.84229126812827	62.598340221192295
CD56_S3	10.375482694563638	66.4960858283337
CD56_S4	8.156110782027023	69.31119025085246
