Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CD14_S1	(1, 6.267420631399652e-05)	(2, 0.010123376562717914)	(3, 0.055771090161412046)	(4, 0.034945346749075484)	(5, 4.775177623923545e-05)	(6, 1.1937944059808863e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0001500874424448428)	(13, 3.920260691304802e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0003469261054268505)
CD14_S2	(1, 8.284020629530893e-05)	(2, 0.010451672694258143)	(3, 0.05529583770211872)	(4, 0.03503588458249599)	(5, 4.694278356734173e-05)	(6, 1.6568041259061785e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00018581312363702955)	(13, 4.4507074552493186e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00024274270362797322)
CD14_S3	(1, 7.64559766486457e-05)	(2, 0.010021396346650264)	(3, 0.05484442058262852)	(4, 0.034572259959382054)	(5, 4.530724542141968e-05)	(6, 2.83170283883873e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 2.836314181358183e-06)	(12, 0.0001706248358269158)	(13, 3.709418956614636e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0002364283015976443)
CD14_S4	(1, 7.598106823140631e-05)	(2, 0.010108195684356733)	(3, 0.05449742118897617)	(4, 0.03384413867793213)	(5, 7.055384907202014e-05)	(6, 8.140828739079247e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 2.7176015492285503e-06)	(12, 0.0001770423420729877)	(13, 1.9126142401070234e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00026983049596411915)
CD19_S1	(1, 7.533564650890028e-05)	(2, 0.010052395614600652)	(3, 0.05609885294599719)	(4, 0.034729733040603034)	(5, 4.2581017591987116e-05)	(6, 9.82638867507395e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0001976989750395489)	(13, 6.287736554163506e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0002998083689150545)
CD19_S2	(1, 5.977788857394537e-05)	(2, 0.009800057379740339)	(3, 0.05478116035844088)	(4, 0.03524082348753415)	(5, 8.087596689416138e-05)	(6, 3.516346386702669e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00014146158391423354)	(13, 3.904687293118131e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0002519937595814045)
CD19_S3	(1, 2.5951331197863164e-05)	(2, 0.009858261938788271)	(3, 0.05519523754145523)	(4, 0.03467422239674492)	(5, 6.487832799465792e-05)	(6, 1.2975665598931582e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 6.50098410272101e-06)	(12, 0.00016629879850748458)	(13, 6.218218969213697e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00031261156544772507)
CD19_S4	(1, 7.98032530599061e-05)	(2, 0.01017491476513803)	(3, 0.05475700208705458)	(4, 0.03475431670758911)	(5, 6.384260244792488e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00017226385999963864)	(13, 3.613916904887369e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00028480192633321754)
CD4_S1	(1, 6.711992872287486e-05)	(2, 0.010343534278977766)	(3, 0.05449784949514686)	(4, 0.034997743887237955)	(5, 4.9456789585276206e-05)	(6, 3.532627827519729e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 3.540298724741916e-06)	(12, 0.00015639068497271764)	(13, 5.3529392704043704e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0002521855466410767)
CD4_S2	(1, 5.685680910289554e-05)	(2, 0.009220836629216647)	(3, 0.04995037905598499)	(4, 0.031124086206561524)	(5, 5.351229092037227e-05)	(6, 1.3378072730093068e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00012101130763272773)	(13, 2.697710025240112e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00020263624691328004)
