Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CD14_S1	(1, 39.30549658459897)	(2, 38.689338225144674)	(3, 39.03589880049627)	(4, 39.14602567786108)	(5, 39.247392850013135)	(6, 39.3829868240613)	(7, 39.28326470060069)	(8, 39.407370194182896)	(9, 39.44989673230715)	(10, 39.43989183983923)	(11, 39.55337102626354)	(12, 39.470976165423735)	(13, 39.41502277068344)	(14, 39.544051951152625)	(15, 39.45245744958037)	(16, 39.48583757372121)	(17, 39.31113155459492)	(18, 39.60169808575025)	(19, 39.57800951319456)	(20, 39.564081326417636)
CD14_S2	(1, 39.30383628301075)	(2, 38.761263637879615)	(3, 39.08764496587384)	(4, 39.14991945584809)	(5, 39.20205817044809)	(6, 39.3573587051899)	(7, 39.34615558898434)	(8, 39.37356633632478)	(9, 39.43985984652085)	(10, 39.486460472422785)	(11, 39.52811094128266)	(12, 39.47379709090419)	(13, 39.44518423856504)	(14, 39.540068199692946)	(15, 39.461310590459426)	(16, 39.52367228934478)	(17, 39.22689436756416)	(18, 39.627441035757585)	(19, 39.59736874820139)	(20, 39.58620640045015)
CD14_S3	(1, 39.32031452289772)	(2, 38.645905584231265)	(3, 39.02444257929618)	(4, 39.08889963992067)	(5, 39.16548460063362)	(6, 39.35574464723212)	(7, 39.304173420277934)	(8, 39.318230927631866)	(9, 39.39025797945543)	(10, 39.43642453342032)	(11, 39.47939543963224)	(12, 39.40746948325046)	(13, 39.42527957605336)	(14, 39.501087220763104)	(15, 39.40859698072866)	(16, 39.474684180622724)	(17, 39.23168218576243)	(18, 39.59586857956737)	(19, 39.53276210726075)	(20, 39.55322638197178)
CD14_S4	(1, 39.311339156829945)	(2, 38.56484773868808)	(3, 39.003216875612345)	(4, 39.14204701410005)	(5, 39.196689070679625)	(6, 39.37446203029284)	(7, 39.36035899426574)	(8, 39.35394782027275)	(9, 39.44789113866722)	(10, 39.4794636062216)	(11, 39.473046624014636)	(12, 39.441684145512355)	(13, 39.438739580658236)	(14, 39.526837970671735)	(15, 39.441141982175196)	(16, 39.446587211352984)	(17, 39.233949256205804)	(18, 39.54160143251539)	(19, 39.260845263463324)	(20, 39.34523323538777)
CD19_S1	(1, 39.32271416253816)	(2, 38.794016915014446)	(3, 39.10366299600826)	(4, 39.11879393132717)	(5, 39.17193055389781)	(6, 39.381263389273435)	(7, 39.30122437457984)	(8, 39.28586114343265)	(9, 39.44826858376452)	(10, 39.484419474644575)	(11, 39.46707653620144)	(12, 39.49677343740295)	(13, 39.491613963024335)	(14, 39.521450585527084)	(15, 39.46213141022634)	(16, 39.53294307748143)	(17, 39.29503206390712)	(18, 39.60379803115283)	(19, 39.50696789396553)	(20, 39.585045016048134)
CD19_S2	(1, 39.30734101657363)	(2, 38.96696062033133)	(3, 39.12466432517849)	(4, 39.12056823876301)	(5, 39.12183503771229)	(6, 39.33030173873835)	(7, 39.28533234519311)	(8, 39.2324775448757)	(9, 39.39409297409729)	(10, 39.44931357226368)	(11, 39.39164897170885)	(12, 39.444316193800674)	(13, 39.39846538689949)	(14, 39.49130790173244)	(15, 39.412452505743246)	(16, 39.493698828765)	(17, 39.3111857760226)	(18, 39.56705675004693)	(19, 39.49367017083388)	(20, 39.565771010637896)
CD19_S3	(1, 39.30937928146279)	(2, 38.72350423420298)	(3, 39.02114251708773)	(4, 39.08567828751058)	(5, 39.13554059136921)	(6, 39.32321828297234)	(7, 39.29500947791274)	(8, 39.28837810181259)	(9, 39.430368409963556)	(10, 39.490840299238315)	(11, 39.455756333754415)	(12, 39.460511045990096)	(13, 39.45580641414523)	(14, 39.5470697388843)	(15, 39.45670439552579)	(16, 39.53030630958571)	(17, 39.24461839831934)	(18, 39.57780494403145)	(19, 39.29917292785762)	(20, 39.537348933095366)
CD19_S4	(1, 39.29476572458261)	(2, 38.98157957371895)	(3, 39.16536518866387)	(4, 39.167973039268986)	(5, 39.16988125475453)	(6, 39.35384929993594)	(7, 39.32364747950403)	(8, 39.261958168331795)	(9, 39.42956622742291)	(10, 39.48718680963952)	(11, 39.414949212817355)	(12, 39.458387080659186)	(13, 39.47958769384197)	(14, 39.53692489646235)	(15, 39.440494270285335)	(16, 39.51396179618325)	(17, 39.33708402477645)	(18, 39.588717989288206)	(19, 39.432729389760475)	(20, 39.56993380407462)
CD4_S1	(1, 39.319916824984325)	(2, 38.93314413520723)	(3, 39.15609710897157)	(4, 39.14084304538095)	(5, 39.15681327861105)	(6, 39.33763542637882)	(7, 39.3392922641562)	(8, 39.288375757426316)	(9, 39.41682567318904)	(10, 39.47743436827906)	(11, 39.428918944294246)	(12, 39.47429978558837)	(13, 39.43660660335733)	(14, 39.517940525857206)	(15, 39.45505204035141)	(16, 39.48296589004314)	(17, 39.162220784693204)	(18, 39.55351271596524)	(19, 39.4517213637238)	(20, 39.534249144499334)
CD4_S2	(1, 39.36506415973178)	(2, 38.96795690708724)	(3, 39.174745054904115)	(4, 39.17079056349546)	(5, 39.12749025716769)	(6, 39.21539172017032)	(7, 39.38982325994)	(8, 39.33579156534588)	(9, 39.452454981698295)	(10, 39.49648516222903)	(11, 39.438109574618636)	(12, 39.47341939567894)	(13, 39.49219901505933)	(14, 39.57717727375163)	(15, 39.49436609948955)	(16, 39.492421943171266)	(17, 39.155320508887975)	(18, 39.43230731383802)	(19, 38.70308355694945)	(20, 39.16445509104935)
