Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
CD14_S1	(0.0, 322.0)	(1.0, 322.0)	(2.0, 322.0)	(3.0, 536.5)	(4.0, 767.0)	(5.0, 809.0)	(6.0, 835.0)	(7.0, 835.0)	(8.0, 1430.5)	(9.0, 2040.5)	(10.0, 2079.0)	(11.0, 2173.0)	(12.0, 2371.0)	(13.0, 6701.5)	(14.0, 11225.0)	(15.0, 11885.5)	(16.0, 12296.0)	(17.0, 12442.0)	(18.0, 176742.0)	(19.0, 341658.5)	(20.0, 342350.0)	(21.0, 342890.5)	(22.0, 343860.0)	(23.0, 428809.0)	(24.0, 514401.5)	(25.0, 519243.0)	(26.0, 527092.5)	(27.0, 532116.0)	(28.0, 645165.0)	(29.0, 794106.5)	(30.0, 835518.0)	(31.0, 849442.5)	(32.0, 878459.5)	(33.0, 3990274.5)	(34.0, 7113877.0)	(35.0, 7159462.5)	(36.0, 7179199.5)	(37.0, 7192067.5)	(38.0, 9545688.5)	(39.0, 11850595.0)	(40.0, 11809141.0)	(41.0, 11813360.5)	(42.0, 11810223.0)	(43.0, 8263957.0)	(44.0, 4723792.5)	(45.0, 4714671.0)	(46.0, 4717557.0)	(47.0, 4769313.5)	(48.0, 4688002.0)	(49.0, 4565686.0)	(50.0, 4592133.5)	(51.0, 4618581.0)	(52.0, 4618581.0)	(53.0, 3115345.5)	(54.0, 1624551.0)	(55.0, 1636891.0)	(56.0, 1646975.5)	(57.0, 1656842.0)	(58.0, 1167256.5)	(59.0, 683139.5)	(60.0, 688289.0)	(61.0, 687814.0)	(62.0, 686456.5)	(63.0, 824761.5)	(64.0, 953194.5)	(65.0, 946514.0)	(66.0, 957242.5)	(67.0, 963897.0)	(68.0, 664383.5)	(69.0, 357114.5)	(70.0, 342864.0)	(71.0, 340418.5)	(72.0, 320395.0)	(73.0, 284395.5)	(74.0, 262884.0)	(75.0, 250715.0)	(76.0, 246269.0)	(77.0, 231836.5)	(78.0, 211946.5)	(79.0, 186320.5)	(80.0, 168014.0)	(81.0, 156400.0)	(82.0, 131206.5)	(83.0, 104938.5)	(84.0, 85818.0)	(85.0, 77834.5)	(86.0, 71303.5)	(87.0, 66633.5)	(88.0, 66180.5)	(89.0, 63160.0)	(90.0, 59371.0)	(91.0, 56626.5)	(92.0, 54233.0)	(93.0, 49621.5)	(94.0, 46190.0)	(95.0, 37466.5)	(96.0, 25155.5)	(97.0, 20123.5)	(98.0, 16067.5)	(99.0, 13456.0)	(100.0, 13456.0)
CD14_S2	(0.0, 819.0)	(1.0, 819.0)	(2.0, 819.0)	(3.0, 962.0)	(4.0, 1116.5)	(5.0, 1153.5)	(6.0, 1179.0)	(7.0, 1179.0)	(8.0, 1308.5)	(9.0, 1456.5)	(10.0, 1531.0)	(11.0, 1665.5)	(12.0, 1876.0)	(13.0, 6092.5)	(14.0, 10476.0)	(15.0, 11103.5)	(16.0, 11495.0)	(17.0, 11585.0)	(18.0, 221151.0)	(19.0, 431458.0)	(20.0, 432226.0)	(21.0, 433066.0)	(22.0, 434355.5)	(23.0, 852449.0)	(24.0, 1271149.0)	(25.0, 1277800.0)	(26.0, 1287213.0)	(27.0, 1292327.5)	(28.0, 1161076.5)	(29.0, 1078881.5)	(30.0, 1132880.5)	(31.0, 1146668.0)	(32.0, 1175134.5)	(33.0, 4345260.5)	(34.0, 7538854.5)	(35.0, 7595952.0)	(36.0, 7617966.0)	(37.0, 7630808.5)	(38.0, 10737620.5)	(39.0, 13786230.0)	(40.0, 13734160.0)	(41.0, 13736053.0)	(42.0, 13720076.5)	(43.0, 8994873.5)	(44.0, 4285206.0)	(45.0, 4260735.0)	(46.0, 4247308.0)	(47.0, 4278745.5)	(48.0, 4333930.5)	(49.0, 4366388.0)	(50.0, 4381843.0)	(51.0, 4397298.0)	(52.0, 4397298.0)	(53.0, 2875975.5)	(54.0, 1358359.0)	(55.0, 1359293.0)	(56.0, 1374822.5)	(57.0, 1392645.5)	(58.0, 1064299.0)	(59.0, 742734.0)	(60.0, 749037.0)	(61.0, 756583.5)	(62.0, 767865.0)	(63.0, 901265.5)	(64.0, 1028521.0)	(65.0, 1031445.5)	(66.0, 1048619.5)	(67.0, 1060459.0)	(68.0, 722201.0)	(69.0, 372423.5)	(70.0, 355135.5)	(71.0, 345469.5)	(72.0, 316508.5)	(73.0, 263081.0)	(74.0, 219984.5)	(75.0, 199417.0)	(76.0, 192266.5)	(77.0, 178601.5)	(78.0, 156876.5)	(79.0, 137057.0)	(80.0, 126613.0)	(81.0, 120388.0)	(82.0, 105109.5)	(83.0, 86623.0)	(84.0, 73048.0)	(85.0, 67257.0)	(86.0, 60951.5)	(87.0, 56205.0)	(88.0, 52886.5)	(89.0, 47667.5)	(90.0, 44176.5)	(91.0, 41485.0)	(92.0, 39351.5)	(93.0, 36922.5)	(94.0, 35436.0)	(95.0, 29352.0)	(96.0, 19805.0)	(97.0, 15172.5)	(98.0, 12578.5)	(99.0, 11154.0)	(100.0, 11154.0)
CD14_S3	(0.0, 370.0)	(1.0, 370.0)	(2.0, 370.0)	(3.0, 488.0)	(4.0, 676.5)	(5.0, 828.5)	(6.0, 910.0)	(7.0, 910.0)	(8.0, 1084.5)	(9.0, 1276.0)	(10.0, 1332.0)	(11.0, 1448.5)	(12.0, 1619.0)	(13.0, 6246.5)	(14.0, 11108.5)	(15.0, 11787.5)	(16.0, 12269.0)	(17.0, 12473.0)	(18.0, 279254.5)	(19.0, 547155.0)	(20.0, 548348.0)	(21.0, 549393.0)	(22.0, 551035.5)	(23.0, 818769.0)	(24.0, 1087189.5)	(25.0, 1097169.0)	(26.0, 1110502.5)	(27.0, 1116212.5)	(28.0, 1136572.5)	(29.0, 1208924.0)	(30.0, 1265670.5)	(31.0, 1285749.0)	(32.0, 1324388.5)	(33.0, 4140672.0)	(34.0, 7011891.5)	(35.0, 7106331.5)	(36.0, 7134152.0)	(37.0, 7155086.0)	(38.0, 10774988.5)	(39.0, 14310221.0)	(40.0, 14235924.0)	(41.0, 14239189.0)	(42.0, 14218425.0)	(43.0, 9397578.5)	(44.0, 4599446.5)	(45.0, 4567628.0)	(46.0, 4550098.0)	(47.0, 4588218.5)	(48.0, 3981298.5)	(49.0, 3349232.0)	(50.0, 3372020.5)	(51.0, 3394809.0)	(52.0, 3394809.0)	(53.0, 2296649.0)	(54.0, 1206120.0)	(55.0, 1207240.5)	(56.0, 1222063.0)	(57.0, 1243718.5)	(58.0, 1058776.0)	(59.0, 876536.5)	(60.0, 879562.0)	(61.0, 882218.0)	(62.0, 892736.5)	(63.0, 935559.0)	(64.0, 964403.5)	(65.0, 957728.5)	(66.0, 969962.0)	(67.0, 982755.0)	(68.0, 697050.5)	(69.0, 399327.0)	(70.0, 380342.0)	(71.0, 363680.0)	(72.0, 321996.5)	(73.0, 260609.0)	(74.0, 215560.0)	(75.0, 186722.5)	(76.0, 171813.5)	(77.0, 154819.5)	(78.0, 124411.0)	(79.0, 100084.0)	(80.0, 90892.0)	(81.0, 84696.0)	(82.0, 72153.0)	(83.0, 60389.0)	(84.0, 52609.5)	(85.0, 46039.0)	(86.0, 37143.5)	(87.0, 31980.5)	(88.0, 26864.5)	(89.0, 20661.0)	(90.0, 18061.0)	(91.0, 16094.5)	(92.0, 14817.5)	(93.0, 14046.5)	(94.0, 13623.0)	(95.0, 10040.0)	(96.0, 5013.5)	(97.0, 3100.0)	(98.0, 2436.5)	(99.0, 2243.0)	(100.0, 2243.0)
CD14_S4	(0.0, 882.0)	(1.0, 882.0)	(2.0, 882.0)	(3.0, 978.5)	(4.0, 1133.0)	(5.0, 1260.5)	(6.0, 1330.0)	(7.0, 1330.0)	(8.0, 1493.0)	(9.0, 1688.0)	(10.0, 1835.5)	(11.0, 2024.0)	(12.0, 2185.5)	(13.0, 7449.5)	(14.0, 13037.5)	(15.0, 13891.0)	(16.0, 14425.0)	(17.0, 14525.0)	(18.0, 271553.5)	(19.0, 529553.5)	(20.0, 530532.0)	(21.0, 531818.0)	(22.0, 533604.5)	(23.0, 1091191.0)	(24.0, 1649387.5)	(25.0, 1658326.0)	(26.0, 1670360.5)	(27.0, 1676002.5)	(28.0, 1667139.5)	(29.0, 1697720.5)	(30.0, 1742331.0)	(31.0, 1757488.5)	(32.0, 1788239.0)	(33.0, 5448116.5)	(34.0, 9139616.5)	(35.0, 9202700.5)	(36.0, 9224105.0)	(37.0, 9242133.5)	(38.0, 11085300.0)	(39.0, 12871601.0)	(40.0, 12823497.0)	(41.0, 12824789.5)	(42.0, 12810404.5)	(43.0, 8544130.0)	(44.0, 4286453.0)	(45.0, 4258491.0)	(46.0, 4246806.0)	(47.0, 4278289.0)	(48.0, 3720408.0)	(49.0, 3140241.0)	(50.0, 3161456.0)	(51.0, 3182671.0)	(52.0, 3182671.0)	(53.0, 2253174.5)	(54.0, 1334095.5)	(55.0, 1337336.5)	(56.0, 1354638.5)	(57.0, 1381356.5)	(58.0, 1145034.5)	(59.0, 910556.5)	(60.0, 914640.0)	(61.0, 916859.0)	(62.0, 921007.0)	(63.0, 1018427.0)	(64.0, 1109684.5)	(65.0, 1104290.0)	(66.0, 1112669.5)	(67.0, 1122210.0)	(68.0, 763246.0)	(69.0, 391858.0)	(70.0, 373948.5)	(71.0, 357494.5)	(72.0, 322063.5)	(73.0, 260288.0)	(74.0, 205365.0)	(75.0, 175765.5)	(76.0, 162145.0)	(77.0, 146436.5)	(78.0, 117817.0)	(79.0, 95057.5)	(80.0, 86840.0)	(81.0, 80650.5)	(82.0, 67933.0)	(83.0, 55639.0)	(84.0, 47498.5)	(85.0, 41177.5)	(86.0, 33584.5)	(87.0, 29404.5)	(88.0, 24480.5)	(89.0, 18690.5)	(90.0, 16264.0)	(91.0, 14206.5)	(92.0, 12816.0)	(93.0, 12169.0)	(94.0, 11882.0)	(95.0, 8810.0)	(96.0, 4332.5)	(97.0, 2497.0)	(98.0, 1836.5)	(99.0, 1606.0)	(100.0, 1606.0)
CD19_S1	(0.0, 608.0)	(1.0, 608.0)	(2.0, 608.0)	(3.0, 688.5)	(4.0, 776.0)	(5.0, 815.5)	(6.0, 848.0)	(7.0, 848.0)	(8.0, 1032.5)	(9.0, 1345.5)	(10.0, 1922.5)	(11.0, 2628.0)	(12.0, 3051.5)	(13.0, 13382.0)	(14.0, 24143.0)	(15.0, 25813.5)	(16.0, 27398.5)	(17.0, 27976.5)	(18.0, 517048.5)	(19.0, 1007588.5)	(20.0, 1009123.0)	(21.0, 1011923.5)	(22.0, 1014984.5)	(23.0, 1985950.5)	(24.0, 2958201.0)	(25.0, 2971299.5)	(26.0, 2993733.0)	(27.0, 3008000.0)	(28.0, 2678741.0)	(29.0, 2427590.5)	(30.0, 2513396.5)	(31.0, 2564024.5)	(32.0, 2631409.5)	(33.0, 5281740.5)	(34.0, 7944393.5)	(35.0, 7994283.5)	(36.0, 8018830.0)	(37.0, 8034702.5)	(38.0, 8433048.0)	(39.0, 8761680.0)	(40.0, 8699793.0)	(41.0, 8705779.0)	(42.0, 8665019.0)	(43.0, 5826688.0)	(44.0, 3033722.0)	(45.0, 3008674.5)	(46.0, 2990671.0)	(47.0, 2997917.5)	(48.0, 2451622.5)	(49.0, 1903744.0)	(50.0, 1900013.5)	(51.0, 1896283.0)	(52.0, 1896283.0)	(53.0, 1596798.5)	(54.0, 1287487.5)	(55.0, 1261742.0)	(56.0, 1254950.5)	(57.0, 1267025.0)	(58.0, 937708.0)	(59.0, 600698.0)	(60.0, 595952.0)	(61.0, 602158.0)	(62.0, 604009.0)	(63.0, 585821.0)	(64.0, 572043.0)	(65.0, 575917.5)	(66.0, 581231.5)	(67.0, 582726.0)	(68.0, 435819.5)	(69.0, 281442.5)	(70.0, 271716.5)	(71.0, 261856.5)	(72.0, 240459.0)	(73.0, 202799.0)	(74.0, 168823.0)	(75.0, 150454.5)	(76.0, 141134.0)	(77.0, 131350.5)	(78.0, 113300.0)	(79.0, 97552.0)	(80.0, 91132.0)	(81.0, 84615.5)	(82.0, 73863.5)	(83.0, 64081.5)	(84.0, 56121.0)	(85.0, 51124.5)	(86.0, 44358.0)	(87.0, 39421.5)	(88.0, 33849.0)	(89.0, 27325.0)	(90.0, 24482.0)	(91.0, 22147.5)	(92.0, 20519.0)	(93.0, 19728.5)	(94.0, 19371.0)	(95.0, 15726.0)	(96.0, 9959.5)	(97.0, 7039.5)	(98.0, 5984.0)	(99.0, 5727.0)	(100.0, 5727.0)
CD19_S2	(0.0, 725.0)	(1.0, 725.0)	(2.0, 725.0)	(3.0, 769.5)	(4.0, 822.5)	(5.0, 866.5)	(6.0, 902.0)	(7.0, 902.0)	(8.0, 1030.0)	(9.0, 1374.5)	(10.0, 2487.0)	(11.0, 3829.5)	(12.0, 4504.0)	(13.0, 14113.5)	(14.0, 24293.5)	(15.0, 26551.0)	(16.0, 28218.5)	(17.0, 27945.0)	(18.0, 474166.5)	(19.0, 922174.0)	(20.0, 923478.0)	(21.0, 927544.5)	(22.0, 932035.0)	(23.0, 2225478.0)	(24.0, 3519739.5)	(25.0, 3534277.5)	(26.0, 3555828.5)	(27.0, 3568155.5)	(28.0, 3007064.5)	(29.0, 2492505.5)	(30.0, 2547354.0)	(31.0, 2579751.5)	(32.0, 2626303.0)	(33.0, 5123946.5)	(34.0, 7638867.0)	(35.0, 7683712.5)	(36.0, 7708192.5)	(37.0, 7727770.0)	(38.0, 7677173.0)	(39.0, 7589446.0)	(40.0, 7556583.0)	(41.0, 7558920.0)	(42.0, 7523910.5)	(43.0, 5109647.5)	(44.0, 2730597.0)	(45.0, 2696625.0)	(46.0, 2665921.0)	(47.0, 2662294.5)	(48.0, 2085710.5)	(49.0, 1513887.0)	(50.0, 1501776.5)	(51.0, 1489666.0)	(52.0, 1489666.0)	(53.0, 1325591.5)	(54.0, 1153687.0)	(55.0, 1133624.0)	(56.0, 1128693.0)	(57.0, 1138005.0)	(58.0, 800026.0)	(59.0, 456843.0)	(60.0, 453649.0)	(61.0, 458668.5)	(62.0, 461449.5)	(63.0, 450573.0)	(64.0, 445086.5)	(65.0, 450662.5)	(66.0, 455534.0)	(67.0, 457981.0)	(68.0, 341339.5)	(69.0, 217512.0)	(70.0, 209442.0)	(71.0, 203206.5)	(72.0, 189093.5)	(73.0, 155541.5)	(74.0, 119994.5)	(75.0, 102823.5)	(76.0, 95638.0)	(77.0, 89817.5)	(78.0, 77888.0)	(79.0, 65783.0)	(80.0, 60558.0)	(81.0, 56840.5)	(82.0, 50470.5)	(83.0, 43881.0)	(84.0, 38067.0)	(85.0, 34371.0)	(86.0, 28912.0)	(87.0, 24782.5)	(88.0, 21198.5)	(89.0, 17071.0)	(90.0, 15313.5)	(91.0, 13879.0)	(92.0, 12931.0)	(93.0, 12332.0)	(94.0, 11971.0)	(95.0, 9649.0)	(96.0, 5975.5)	(97.0, 4200.5)	(98.0, 3569.5)	(99.0, 3362.0)	(100.0, 3362.0)
CD19_S3	(0.0, 293.0)	(1.0, 293.0)	(2.0, 293.0)	(3.0, 353.0)	(4.0, 427.5)	(5.0, 467.5)	(6.0, 493.0)	(7.0, 493.0)	(8.0, 690.0)	(9.0, 1000.5)	(10.0, 1657.5)	(11.0, 2427.0)	(12.0, 2789.0)	(13.0, 12306.0)	(14.0, 22231.5)	(15.0, 23710.0)	(16.0, 24950.5)	(17.0, 25019.0)	(18.0, 513782.0)	(19.0, 1004202.5)	(20.0, 1005622.0)	(21.0, 1007894.5)	(22.0, 1010576.5)	(23.0, 1775651.5)	(24.0, 2541952.5)	(25.0, 2557719.0)	(26.0, 2577897.5)	(27.0, 2586680.0)	(28.0, 2475387.0)	(29.0, 2455467.0)	(30.0, 2554427.0)	(31.0, 2603712.0)	(32.0, 2674175.5)	(33.0, 5424223.0)	(34.0, 8172303.5)	(35.0, 8208965.0)	(36.0, 8240942.0)	(37.0, 8267413.0)	(38.0, 9054750.5)	(39.0, 9781512.0)	(40.0, 9728028.0)	(41.0, 9734118.5)	(42.0, 9682220.0)	(43.0, 6321373.5)	(44.0, 3015353.0)	(45.0, 2971637.5)	(46.0, 2937060.5)	(47.0, 2945682.5)	(48.0, 2339350.0)	(49.0, 1730371.0)	(50.0, 1730060.5)	(51.0, 1729750.0)	(52.0, 1729750.0)	(53.0, 1435799.0)	(54.0, 1133326.5)	(55.0, 1113384.0)	(56.0, 1110630.0)	(57.0, 1120785.5)	(58.0, 854468.0)	(59.0, 577507.5)	(60.0, 568353.0)	(61.0, 569982.5)	(62.0, 571321.5)	(63.0, 529725.0)	(64.0, 486359.5)	(65.0, 485024.0)	(66.0, 489600.5)	(67.0, 493453.0)	(68.0, 364832.5)	(69.0, 229925.0)	(70.0, 222434.5)	(71.0, 214148.5)	(72.0, 191131.0)	(73.0, 156760.0)	(74.0, 129741.5)	(75.0, 112745.0)	(76.0, 103355.5)	(77.0, 92901.5)	(78.0, 75151.5)	(79.0, 62813.0)	(80.0, 58746.0)	(81.0, 53265.5)	(82.0, 44980.0)	(83.0, 39159.0)	(84.0, 34727.5)	(85.0, 31282.5)	(86.0, 26702.5)	(87.0, 23572.5)	(88.0, 19571.0)	(89.0, 15218.5)	(90.0, 13658.5)	(91.0, 12286.0)	(92.0, 11342.5)	(93.0, 10905.0)	(94.0, 10668.0)	(95.0, 8305.0)	(96.0, 4882.5)	(97.0, 3411.5)	(98.0, 2779.0)	(99.0, 2558.0)	(100.0, 2558.0)
CD19_S4	(0.0, 214.0)	(1.0, 214.0)	(2.0, 214.0)	(3.0, 271.0)	(4.0, 329.5)	(5.0, 346.5)	(6.0, 362.0)	(7.0, 362.0)	(8.0, 519.0)	(9.0, 785.0)	(10.0, 1243.0)	(11.0, 1752.5)	(12.0, 2030.5)	(13.0, 8963.0)	(14.0, 16201.0)	(15.0, 17326.0)	(16.0, 18103.5)	(17.0, 17964.0)	(18.0, 319786.5)	(19.0, 622454.5)	(20.0, 623085.0)	(21.0, 624925.0)	(22.0, 627033.5)	(23.0, 1498316.0)	(24.0, 2370128.0)	(25.0, 2380702.0)	(26.0, 2394783.0)	(27.0, 2401428.0)	(28.0, 2527583.5)	(29.0, 2681561.0)	(30.0, 2714859.0)	(31.0, 2734043.0)	(32.0, 2759804.5)	(33.0, 4727566.5)	(34.0, 6699841.0)	(35.0, 6716647.5)	(36.0, 6729542.0)	(37.0, 6740828.0)	(38.0, 6958955.0)	(39.0, 7159182.0)	(40.0, 7142254.0)	(41.0, 7145118.5)	(42.0, 7125269.5)	(43.0, 4835425.0)	(44.0, 2566496.5)	(45.0, 2549171.0)	(46.0, 2534234.5)	(47.0, 2534132.5)	(48.0, 1888681.5)	(49.0, 1243924.0)	(50.0, 1242058.0)	(51.0, 1240192.0)	(52.0, 1240192.0)	(53.0, 1084663.5)	(54.0, 928220.5)	(55.0, 921603.5)	(56.0, 921546.5)	(57.0, 928124.0)	(58.0, 659872.0)	(59.0, 388198.5)	(60.0, 385709.0)	(61.0, 391366.5)	(62.0, 397350.5)	(63.0, 366437.5)	(64.0, 337395.0)	(65.0, 341049.5)	(66.0, 345234.5)	(67.0, 347962.0)	(68.0, 260885.5)	(69.0, 168422.0)	(70.0, 163313.0)	(71.0, 160183.0)	(72.0, 148075.5)	(73.0, 122001.0)	(74.0, 96251.5)	(75.0, 82939.0)	(76.0, 77300.5)	(77.0, 71832.0)	(78.0, 60174.5)	(79.0, 49668.0)	(80.0, 46051.0)	(81.0, 43049.0)	(82.0, 38156.0)	(83.0, 32970.5)	(84.0, 28191.0)	(85.0, 25542.5)	(86.0, 22644.5)	(87.0, 20358.5)	(88.0, 17347.5)	(89.0, 13904.0)	(90.0, 12262.5)	(91.0, 10834.0)	(92.0, 9869.5)	(93.0, 9586.0)	(94.0, 9496.0)	(95.0, 7971.5)	(96.0, 5408.5)	(97.0, 3834.0)	(98.0, 3042.0)	(99.0, 2786.0)	(100.0, 2786.0)
CD4_S1	(0.0, 247.0)	(1.0, 247.0)	(2.0, 247.0)	(3.0, 362.0)	(4.0, 486.5)	(5.0, 508.0)	(6.0, 520.0)	(7.0, 520.0)	(8.0, 759.0)	(9.0, 1074.5)	(10.0, 1408.5)	(11.0, 1802.0)	(12.0, 2025.5)	(13.0, 9747.5)	(14.0, 17796.5)	(15.0, 18901.0)	(16.0, 19890.5)	(17.0, 20250.5)	(18.0, 483184.5)	(19.0, 947273.5)	(20.0, 948489.0)	(21.0, 950256.0)	(22.0, 952274.5)	(23.0, 1653380.0)	(24.0, 2355321.0)	(25.0, 2363636.0)	(26.0, 2378526.5)	(27.0, 2388744.5)	(28.0, 2113616.0)	(29.0, 1883347.0)	(30.0, 1934472.0)	(31.0, 1966908.5)	(32.0, 2019727.5)	(33.0, 4436140.5)	(34.0, 6903606.0)	(35.0, 6992369.0)	(36.0, 7079766.0)	(37.0, 7158624.5)	(38.0, 7880293.5)	(39.0, 8611256.5)	(40.0, 8625630.0)	(41.0, 8630102.0)	(42.0, 8538785.5)	(43.0, 5633324.0)	(44.0, 2820947.5)	(45.0, 2702750.0)	(46.0, 2590035.5)	(47.0, 2595069.5)	(48.0, 2299564.5)	(49.0, 2001805.0)	(50.0, 2002789.0)	(51.0, 2003773.0)	(52.0, 2003773.0)	(53.0, 1692128.5)	(54.0, 1374059.5)	(55.0, 1359453.0)	(56.0, 1359546.0)	(57.0, 1370138.0)	(58.0, 986812.5)	(59.0, 597385.5)	(60.0, 593601.0)	(61.0, 611200.5)	(62.0, 622294.5)	(63.0, 638879.5)	(64.0, 663784.5)	(65.0, 671542.0)	(66.0, 682261.5)	(67.0, 687038.0)	(68.0, 485631.0)	(69.0, 276803.5)	(70.0, 266012.0)	(71.0, 263216.5)	(72.0, 246719.5)	(73.0, 208844.5)	(74.0, 177480.0)	(75.0, 164851.0)	(76.0, 161936.5)	(77.0, 161543.0)	(78.0, 152996.0)	(79.0, 134992.0)	(80.0, 125989.0)	(81.0, 121306.0)	(82.0, 108965.0)	(83.0, 92423.5)	(84.0, 80849.5)	(85.0, 78485.0)	(86.0, 71238.5)	(87.0, 63799.5)	(88.0, 60243.5)	(89.0, 54661.0)	(90.0, 51295.5)	(91.0, 47699.0)	(92.0, 44333.0)	(93.0, 42459.5)	(94.0, 41828.0)	(95.0, 37823.5)	(96.0, 30099.0)	(97.0, 24720.0)	(98.0, 20867.0)	(99.0, 18673.0)	(100.0, 18673.0)
CD4_S2	(0.0, 393.0)	(1.0, 393.0)	(2.0, 393.0)	(3.0, 452.0)	(4.0, 521.0)	(5.0, 549.5)	(6.0, 568.0)	(7.0, 568.0)	(8.0, 671.0)	(9.0, 927.5)	(10.0, 1832.5)	(11.0, 2907.5)	(12.0, 3397.0)	(13.0, 11028.5)	(14.0, 19055.5)	(15.0, 20769.5)	(16.0, 22187.5)	(17.0, 22085.5)	(18.0, 481098.0)	(19.0, 941877.5)	(20.0, 943277.0)	(21.0, 946493.5)	(22.0, 950021.5)	(23.0, 2104117.5)	(24.0, 3259199.5)	(25.0, 3279520.0)	(26.0, 3303560.0)	(27.0, 3312960.0)	(28.0, 2685471.5)	(29.0, 2117163.5)	(30.0, 2185106.0)	(31.0, 2211827.0)	(32.0, 2267847.5)	(33.0, 4932725.0)	(34.0, 7639286.0)	(35.0, 7727851.0)	(36.0, 7825130.5)	(37.0, 7915127.0)	(38.0, 8853166.5)	(39.0, 9788233.5)	(40.0, 9791181.0)	(41.0, 9793740.5)	(42.0, 9683945.0)	(43.0, 6247692.0)	(44.0, 2918229.5)	(45.0, 2790909.0)	(46.0, 2669441.5)	(47.0, 2662610.0)	(48.0, 2101112.5)	(49.0, 1546735.0)	(50.0, 1535776.0)	(51.0, 1524817.0)	(52.0, 1524817.0)	(53.0, 1307213.0)	(54.0, 1080867.5)	(55.0, 1060752.5)	(56.0, 1055537.5)	(57.0, 1063522.0)	(58.0, 756460.0)	(59.0, 440310.0)	(60.0, 433048.0)	(61.0, 443134.5)	(62.0, 449710.5)	(63.0, 406816.5)	(64.0, 367579.5)	(65.0, 369605.0)	(66.0, 372685.0)	(67.0, 373886.0)	(68.0, 275529.0)	(69.0, 173050.0)	(70.0, 165675.0)	(71.0, 159876.0)	(72.0, 147159.5)	(73.0, 117692.0)	(74.0, 92277.0)	(75.0, 81041.0)	(76.0, 75467.0)	(77.0, 71081.0)	(78.0, 62362.0)	(79.0, 52601.0)	(80.0, 47629.0)	(81.0, 44170.0)	(82.0, 38424.5)	(83.0, 33399.5)	(84.0, 29568.5)	(85.0, 27290.0)	(86.0, 21833.5)	(87.0, 17238.5)	(88.0, 14595.5)	(89.0, 11589.0)	(90.0, 10467.0)	(91.0, 9594.0)	(92.0, 9009.0)	(93.0, 8540.5)	(94.0, 8218.0)	(95.0, 6174.5)	(96.0, 3330.5)	(97.0, 2294.5)	(98.0, 1830.0)	(99.0, 1601.0)	(100.0, 1601.0)
