Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
CD14_S1	(18.0, 2588.0)	(19.0, 3222.0)	(20.0, 4661.0)	(21.0, 12607.0)	(22.0, 11513.0)	(23.0, 12645.0)	(24.0, 17739.0)	(25.0, 37782.0)	(26.0, 27165.0)	(27.0, 32073.0)	(28.0, 65167.0)	(29.0, 64524.0)	(30.0, 65013.0)	(31.0, 77436.0)	(32.0, 213721.0)	(33.0, 165655.0)	(34.0, 221952.0)	(35.0, 305253.0)	(36.0, 921996.0)	(37.0, 848182.0)	(38.0, 1620216.0)	(39.0, 3704048.0)	(40.0, 25071449.0)	
CD14_S2	(17.0, 1.0)	(18.0, 3527.0)	(19.0, 3979.0)	(20.0, 5655.0)	(21.0, 14543.0)	(22.0, 12995.0)	(23.0, 14103.0)	(24.0, 19740.0)	(25.0, 41177.0)	(26.0, 29200.0)	(27.0, 34236.0)	(28.0, 70273.0)	(29.0, 69647.0)	(30.0, 68315.0)	(31.0, 82157.0)	(32.0, 226084.0)	(33.0, 174231.0)	(34.0, 232085.0)	(35.0, 321429.0)	(36.0, 984267.0)	(37.0, 892396.0)	(38.0, 1701668.0)	(39.0, 3970167.0)	(40.0, 27242424.0)
CD14_S3	(17.0, 1.0)	(18.0, 3803.0)	(19.0, 4354.0)	(20.0, 6172.0)	(21.0, 15496.0)	(22.0, 14232.0)	(23.0, 15182.0)	(24.0, 20809.0)	(25.0, 43848.0)	(26.0, 30725.0)	(27.0, 36705.0)	(28.0, 74043.0)	(29.0, 73052.0)	(30.0, 72599.0)	(31.0, 86533.0)	(32.0, 235318.0)	(33.0, 181432.0)	(34.0, 241745.0)	(35.0, 333918.0)	(36.0, 1009856.0)	(37.0, 924386.0)	(38.0, 1759594.0)	(39.0, 4125635.0)	(40.0, 26005002.0)
CD14_S4	(17.0, 1.0)	(18.0, 5566.0)	(19.0, 5940.0)	(20.0, 7845.0)	(21.0, 18914.0)	(22.0, 15578.0)	(23.0, 16220.0)	(24.0, 22458.0)	(25.0, 44807.0)	(26.0, 31185.0)	(27.0, 36486.0)	(28.0, 73574.0)	(29.0, 72735.0)	(30.0, 70952.0)	(31.0, 85129.0)	(32.0, 231212.0)	(33.0, 179168.0)	(34.0, 240464.0)	(35.0, 332298.0)	(36.0, 1037424.0)	(37.0, 1014601.0)	(38.0, 2120221.0)	(39.0, 4775591.0)	(40.0, 26412916.0)
CD19_S1	(18.0, 2420.0)	(19.0, 2978.0)	(20.0, 4213.0)	(21.0, 11314.0)	(22.0, 10580.0)	(23.0, 11376.0)	(24.0, 16023.0)	(25.0, 34346.0)	(26.0, 24733.0)	(27.0, 28842.0)	(28.0, 58458.0)	(29.0, 59432.0)	(30.0, 58683.0)	(31.0, 69858.0)	(32.0, 193233.0)	(33.0, 150828.0)	(34.0, 202416.0)	(35.0, 282937.0)	(36.0, 850051.0)	(37.0, 777842.0)	(38.0, 1431032.0)	(39.0, 3395890.0)	(40.0, 22852551.0)	
CD19_S2	(18.0, 2088.0)	(19.0, 2625.0)	(20.0, 3702.0)	(21.0, 10284.0)	(22.0, 9938.0)	(23.0, 11006.0)	(24.0, 15291.0)	(25.0, 33776.0)	(26.0, 23873.0)	(27.0, 28110.0)	(28.0, 58200.0)	(29.0, 59386.0)	(30.0, 58232.0)	(31.0, 70025.0)	(32.0, 194804.0)	(33.0, 150515.0)	(34.0, 202016.0)	(35.0, 279972.0)	(36.0, 849151.0)	(37.0, 746536.0)	(38.0, 1315723.0)	(39.0, 3007385.0)	(40.0, 21305971.0)	
CD19_S3	(18.0, 3334.0)	(19.0, 3977.0)	(20.0, 5393.0)	(21.0, 13379.0)	(22.0, 11689.0)	(23.0, 12384.0)	(24.0, 17255.0)	(25.0, 35939.0)	(26.0, 25432.0)	(27.0, 30041.0)	(28.0, 60701.0)	(29.0, 61096.0)	(30.0, 60171.0)	(31.0, 72084.0)	(32.0, 197737.0)	(33.0, 154368.0)	(34.0, 208054.0)	(35.0, 291723.0)	(36.0, 896085.0)	(37.0, 838053.0)	(38.0, 1577105.0)	(39.0, 3792516.0)	(40.0, 22458419.0)	
CD19_S4	(18.0, 1668.0)	(19.0, 1920.0)	(20.0, 2911.0)	(21.0, 8115.0)	(22.0, 7943.0)	(23.0, 8639.0)	(24.0, 12032.0)	(25.0, 27183.0)	(26.0, 19128.0)	(27.0, 22693.0)	(28.0, 47029.0)	(29.0, 48255.0)	(30.0, 46874.0)	(31.0, 57363.0)	(32.0, 160820.0)	(33.0, 124428.0)	(34.0, 167475.0)	(35.0, 232070.0)	(36.0, 726728.0)	(37.0, 639980.0)	(38.0, 1143506.0)	(39.0, 2769272.0)	(40.0, 18785603.0)	
CD4_S1	(18.0, 2374.0)	(19.0, 2900.0)	(20.0, 4256.0)	(21.0, 10828.0)	(22.0, 10232.0)	(23.0, 10954.0)	(24.0, 15518.0)	(25.0, 33451.0)	(26.0, 23752.0)	(27.0, 27942.0)	(28.0, 56024.0)	(29.0, 56958.0)	(30.0, 56995.0)	(31.0, 67563.0)	(32.0, 184860.0)	(33.0, 144984.0)	(34.0, 195209.0)	(35.0, 272145.0)	(36.0, 805706.0)	(37.0, 732061.0)	(38.0, 1339547.0)	(39.0, 3123682.0)	(40.0, 21129598.0)	
CD4_S2	(18.0, 1978.0)	(19.0, 2489.0)	(20.0, 3600.0)	(21.0, 9610.0)	(22.0, 8900.0)	(23.0, 9957.0)	(24.0, 13708.0)	(25.0, 30006.0)	(26.0, 21434.0)	(27.0, 25387.0)	(28.0, 51678.0)	(29.0, 52675.0)	(30.0, 52969.0)	(31.0, 63612.0)	(32.0, 178055.0)	(33.0, 142216.0)	(34.0, 198623.0)	(35.0, 286958.0)	(36.0, 922303.0)	(37.0, 977119.0)	(38.0, 2368752.0)	(39.0, 3415435.0)	(40.0, 21062209.0)	
