Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CD14_S1	(1.0, 3.1617175761234426)	(2.0, 0.8252178907622651)	(3.0, 0.3570496098926597)	(4.0, 0.21342971926416707)	(5.0, 0.15657511279139358)	(6.0, 0.12094720693646313)	(7.0, 0.10079503773035843)	(8.0, 0.0842491882057046)	(9.0, 0.07448533103738622)	('>10', 1.1337401314986346)	('>50', 0.5440852725800269)	('>100', 1.7649719447043162)	('>500', 1.0798685463459903)	('>1k', 3.78929945161256)	('>5k', 1.869065278421502)	('>10k+', 84.72450270209313)
CD14_S2	(1.0, 2.024001537850052)	(2.0, 0.5625234699066848)	(3.0, 0.24272312449451408)	(4.0, 0.1533089629170977)	(5.0, 0.11188135426989512)	(6.0, 0.0950725263910142)	(7.0, 0.0784980921627457)	(8.0, 0.06588356197080147)	(9.0, 0.05870091731044956)	('>10', 1.0231349305712492)	('>50', 0.5456251071240557)	('>100', 1.836728420098192)	('>500', 1.1939284037281515)	('>1k', 3.843186564268715)	('>5k', 2.0331483355768496)	('>10k+', 86.13165469135953)
CD14_S3	(1.0, 2.0064165976318336)	(2.0, 0.6717454325292384)	(3.0, 0.2977826023541798)	(4.0, 0.1879698175082638)	(5.0, 0.13558501983510116)	(6.0, 0.11032270943186626)	(7.0, 0.09120659030556083)	(8.0, 0.08191084819452561)	(9.0, 0.07148001236175397)	('>10', 1.1586318523404173)	('>50', 0.5866510064162557)	('>100', 1.8927485256272611)	('>500', 1.2105706055260734)	('>1k', 4.022552932656622)	('>5k', 2.294682368913201)	('>10k+', 85.17974307836784)
CD14_S4	(1.0, 1.946632807979991)	(2.0, 0.6882763020993377)	(3.0, 0.2973964735630559)	(4.0, 0.17498232817847495)	(5.0, 0.13199138790857726)	(6.0, 0.10292942879279933)	(7.0, 0.08737801485187524)	(8.0, 0.07158990420798376)	(9.0, 0.06641481812990707)	('>10', 1.1115355411339207)	('>50', 0.5884417679201502)	('>100', 2.0016220607079993)	('>500', 1.3188169530311347)	('>1k', 4.336176282892609)	('>5k', 2.2593088719132166)	('>10k+', 84.81650705668896)
CD19_S1	(1.0, 1.760596557723927)	(2.0, 0.5668410455800004)	(3.0, 0.2647956856036504)	(4.0, 0.17953200614683557)	(5.0, 0.13475798178984624)	(6.0, 0.11170311963733989)	(7.0, 0.0955256705818058)	(8.0, 0.08472476890527213)	(9.0, 0.07394218529842936)	('>10', 1.3617797358687862)	('>50', 0.8158719073513565)	('>100', 2.7912381409847047)	('>500', 1.660231119305213)	('>1k', 5.534046950596395)	('>5k', 3.5663269211186495)	('>10k+', 80.9980862035078)
CD19_S2	(1.0, 1.4376663156505458)	(2.0, 0.4037833355939229)	(3.0, 0.20548321036811706)	(4.0, 0.14228933139969976)	(5.0, 0.11966630100086678)	(6.0, 0.09614073876885794)	(7.0, 0.08657448801087309)	(8.0, 0.07527763606537097)	(9.0, 0.07336323840565177)	('>10', 1.3676490116052775)	('>50', 0.8495771158080901)	('>100', 2.9789297236891947)	('>500', 1.805287449198129)	('>1k', 5.77648083096941)	('>5k', 4.169980996524158)	('>10k+', 80.41185027694182)
CD19_S3	(1.0, 1.5565574733287133)	(2.0, 0.43165702455071403)	(3.0, 0.21784179871193313)	(4.0, 0.1474785180948041)	(5.0, 0.11042376947822574)	(6.0, 0.09490825565094126)	(7.0, 0.07868269585018695)	(8.0, 0.0732588347326783)	(9.0, 0.06659515893045459)	('>10', 1.1980318826789496)	('>50', 0.7178973094570419)	('>100', 2.5404525757706393)	('>500', 1.5432667966823845)	('>1k', 5.419147716962493)	('>5k', 3.5468328509473066)	('>10k+', 82.25696733817254)
CD19_S4	(1.0, 1.2742190418218096)	(2.0, 0.41236329590411297)	(3.0, 0.20262751359977285)	(4.0, 0.13666079557791522)	(5.0, 0.10784318754808842)	(6.0, 0.08802287879474614)	(7.0, 0.07660910396379186)	(8.0, 0.06615356548639033)	(9.0, 0.06429119898042189)	('>10', 1.2207462279553256)	('>50', 0.7738122553455643)	('>100', 2.768102429824272)	('>500', 1.687716656500664)	('>1k', 5.742667268952477)	('>5k', 3.8074343738574803)	('>10k+', 81.57073020588716)
CD4_S1	(1.0, 1.8803456647622105)	(2.0, 0.512535032450788)	(3.0, 0.2261827553423396)	(4.0, 0.1445364319669348)	(5.0, 0.11323108172586387)	(6.0, 0.09847161852994603)	(7.0, 0.08151630694327591)	(8.0, 0.07565675028863385)	(9.0, 0.06476779194866027)	('>10', 1.259412135808804)	('>50', 0.8107693194752529)	('>100', 2.867013359670341)	('>500', 1.6567806778651248)	('>1k', 5.455585837435672)	('>5k', 3.738278681897066)	('>10k+', 81.01491655388907)
CD4_S2	(1.0, 1.2034694359539764)	(2.0, 0.3121568040803405)	(3.0, 0.1661587052751507)	(4.0, 0.11678852386528067)	(5.0, 0.09261806240841282)	(6.0, 0.07804792239797702)	(7.0, 0.0679465942334898)	(8.0, 0.05983062775386152)	(9.0, 0.05621647742641017)	('>10', 1.1156606578536215)	('>50', 0.6903036830537678)	('>100', 2.5810908578584013)	('>500', 1.54545017761407)	('>1k', 5.465783955870368)	('>5k', 3.3807027977580617)	('>10k+', 83.06777471659682)
CD4_S3	(1.0, 1.421731232410521)	(2.0, 0.3591276071159625)	(3.0, 0.1847314670937139)	(4.0, 0.12485186204583135)	(5.0, 0.10070079863572917)	(6.0, 0.08367852743506646)	(7.0, 0.07258172765449197)	(8.0, 0.06674715330150481)	(9.0, 0.05387554254057432)	('>10', 1.078869086725613)	('>50', 0.6433387864690163)	('>100', 2.379215333844289)	('>500', 1.4591097967127535)	('>1k', 5.009041375341358)	('>5k', 3.734385190850139)	('>10k+', 83.22801451182343)
CD4_S4	(1.0, 1.4817564509655792)	(2.0, 0.3933919683453434)	(3.0, 0.18524547187820298)	(4.0, 0.12604692239451612)	(5.0, 0.09598082889132745)	(6.0, 0.07801621764138908)	(7.0, 0.0669023067507041)	(8.0, 0.06578994870144142)	(9.0, 0.05553154299443404)	('>10', 1.0403303105552728)	('>50', 0.6559264418765592)	('>100', 2.39646516161464)	('>500', 1.4840226283258047)	('>1k', 4.6708522903620295)	('>5k', 3.4476469856385035)	('>10k+', 83.75609452306426)
CD56_S1	(1.0, 2.3964181056990443)	(2.0, 0.6549824030369736)	(3.0, 0.270579428636307)	(4.0, 0.16939334088840896)	(5.0, 0.1255517494708244)	(6.0, 0.10679022189241166)	(7.0, 0.09260161915329596)	(8.0, 0.08293951817372608)	(9.0, 0.07313412926307596)	('>10', 1.3260867953163487)	('>50', 0.8066648462124644)	('>100', 2.8349037030886466)	('>500', 1.7466961642585457)	('>1k', 5.35283524501261)	('>5k', 3.4255139161551007)	('>10k+', 80.5349088137422)
CD56_S2	(1.0, 1.9028122453109757)	(2.0, 0.6381894877003534)	(3.0, 0.29541567292236354)	(4.0, 0.18330092563993045)	(5.0, 0.14253441372811018)	(6.0, 0.11808765340854228)	(7.0, 0.10224636654847816)	(8.0, 0.08772656886460019)	(9.0, 0.08021003106612577)	('>10', 1.4778307425559387)	('>50', 0.8577578963021564)	('>100', 2.959649011921229)	('>500', 1.8046495647193128)	('>1k', 5.7531450436636655)	('>5k', 3.506062223239449)	('>10k+', 80.09038215240875)
CD56_S3	(1.0, 1.6044079833280183)	(2.0, 0.5048664341519038)	(3.0, 0.2432478622366137)	(4.0, 0.15629373322372506)	(5.0, 0.12156461126970994)	(6.0, 0.09616467376677675)	(7.0, 0.0836307897413731)	(8.0, 0.07269159698451243)	(9.0, 0.06531020304752239)	('>10', 1.1524026544587547)	('>50', 0.687954559816302)	('>100', 2.2976073890989497)	('>500', 1.5151937861113456)	('>1k', 5.060765572015408)	('>5k', 3.163399052242777)	('>10k+', 83.1744990985063)
CD56_S4	(1.0, 1.2806931787895828)	(2.0, 0.38462872380724056)	(3.0, 0.19064434527081375)	(4.0, 0.12448412215689188)	(5.0, 0.09699451928455907)	(6.0, 0.08304642965899166)	(7.0, 0.07013941713403996)	(8.0, 0.06359966606944134)	(9.0, 0.0571020801018676)	('>10', 1.081513535051403)	('>50', 0.6839793378360055)	('>100', 2.3718529873990977)	('>500', 1.490560344724138)	('>1k', 4.94261063811512)	('>5k', 3.6434768604406114)	('>10k+', 83.43467381416019)
