.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
CD14_S1.raw	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
CD14_S2.raw	1	0.5	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
CD14_S3.raw	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
CD14_S4.raw	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
CD19_S1.raw	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	0.25
CD19_S2.raw	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
CD19_S3.raw	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	0.25
CD19_S4.raw	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	0.25
CD4_S1.raw	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
CD4_S2.raw	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	0.25
CD4_S3.raw	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
CD4_S4.raw	1	0.5	0.5	1	0.25	0.5	1	1	0.25	0.25	0.25
CD56_S1.raw	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
CD56_S2.raw	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
CD56_S3.raw	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
CD56_S4.raw	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	0.25
