Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
CD14_S1.raw - illumina_universal_adapter	(1, 0.00518023074244766)	(2, 0.03477348698499699)	(3, 0.03958242825335867)	(4, 0.04298343983598629)	(5, 0.04724287268270071)	(6, 0.0544013337430785)	(7, 0.06933311123292046)	(8, 0.11883342391806395)	(9, 0.21018251580638697)	(10, 0.5008175200156215)	(12, 1.1718014614785388)	(14, 2.2867792966850624)	(16, 3.6989208902131483)	(18, 5.498027799423129)	(20, 8.705891627315427)	(22, 34.11984374713179)	(24, 68.79846775665771)	(26, 73.19629058646925)	(28, 75.52904888646722)	(30, 78.1990078313564)	(32, 81.59733276334953)	(34, 85.014981084732)	(36, 86.03092859141032)	(38, 86.89477365213455)	(40, 87.23341490018521)	(42, 87.42421164997063)	(44, 87.77988023330286)	(46, 88.09554163322338)	(48, 88.20821759250322)	(50, 88.27872694879004)	(52, 88.33991990959309)	(54, 88.38592564574813)	(56, 88.42223775631375)	(58, 88.46870983204823)	(60, 88.68444386807116)	(62, 90.02783453226169)	(64, 91.3514963589572)	(66, 91.6678201392995)	(68, 92.49655161188048)	(70, 93.23018248372696)	(72, 97.42535848889818)	(74, 97.47760337337576)	(76, 97.59119121960394)	(78, 97.66111096820592)	(80, 97.69270770245063)	(82, 97.6997919056162)	(84, 97.7169321128979)	(86, 97.73214310007225)	(88, 97.74188722103017)	(90, 97.75662741315138)	(92, 97.76986611063938)	(94, 97.78801325497483)	(96, 97.79801430824881)	(98, 97.80340543141253)	(100, 97.8080510053123)	(102, 97.81294608573864)	(104, 97.8193783045877)	(106, 97.8251926977519)	(108, 97.83068035617887)	(110, 97.83532890039444)	(112, 97.83960021450432)	(114, 97.84337251556104)	(116, 97.84648540651177)	(118, 97.84948691062029)	(120, 97.8525700984131)	(122, 97.85497308388938)	(124, 97.85757656568167)	(126, 97.86015034431604)	(128, 97.86197560337064)	(130, 97.86358997000397)	(132, 97.86486572063693)	(134, 97.86610285716458)	(136, 97.86734593432382)	(138, 97.86860980369362)
CD14_S1.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0019722896863447513)	(4, 0.0020881320022595787)	(5, 0.0021326867391498966)	(6, 0.002153478949698712)	(7, 0.0021623898970767755)	(8, 0.002195063370796342)	(9, 0.002195063370796342)	(10, 0.002201004002381718)	(12, 0.0022039743181744057)	(14, 0.0022128852655524697)	(16, 0.0022128852655524697)	(18, 0.0022158555813451574)	(20, 0.0022158555813451574)	(22, 0.0022158555813451574)	(24, 0.0022158555813451574)	(26, 0.0022158555813451574)	(28, 0.0022158555813451574)	(30, 0.0022158555813451574)	(32, 0.0022158555813451574)	(34, 0.0022158555813451574)	(36, 0.0022158555813451574)	(38, 0.0022158555813451574)	(40, 0.0022158555813451574)	(42, 0.0022217962129305333)	(44, 0.002224766528723221)	(46, 0.002224766528723221)	(48, 0.0022307071603085964)	(50, 0.0022396181076866604)	(52, 0.002245558739272036)	(54, 0.0022559548445464437)	(56, 0.002273776739302571)	(58, 0.0022856580024733226)	(60, 0.0023524901078087997)	(62, 0.002913879792626809)	(64, 0.003620814951286524)	(66, 0.007234204113091329)	(68, 0.0786569325061677)	(70, 0.15069006079464145)	(72, 0.16112329501645764)	(74, 0.19326656736702952)	(76, 0.20425228032628562)	(78, 0.23024551382809727)	(80, 0.33706846583842776)	(82, 0.6550363159719761)	(84, 1.3575813478900987)	(86, 2.4617888180323355)	(88, 3.898056801586529)	(90, 5.686988894048657)	(92, 8.878224894133488)	(94, 33.648773939779936)	(96, 69.03897125607585)	(98, 73.51763865597488)	(100, 76.08035880464274)	(102, 79.11877948298327)	(104, 83.05799743566698)	(106, 86.21793670340216)	(108, 87.4223923315476)	(110, 88.38085383153212)	(112, 88.78547915975943)	(114, 89.04250207045862)	(116, 89.42949857445635)	(118, 89.7608670042886)	(120, 89.90075551170312)	(122, 89.99053479169501)	(124, 90.0635837679846)	(126, 90.11849896635981)	(128, 90.1642819288304)	(130, 90.22802639089937)	(132, 90.4853968285463)	(134, 91.81802752377783)	(136, 93.12004911476569)	(138, 93.50134409759934)
CD14_S2.raw - illumina_universal_adapter	(1, 0.006887294621988332)	(2, 0.04536702775362442)	(3, 0.05223781927348339)	(4, 0.05701821785695611)	(5, 0.0622304476128139)	(6, 0.06842186142834734)	(7, 0.07993002464655788)	(8, 0.11967499560811194)	(9, 0.1824775507614105)	(10, 0.3918854136809231)	(12, 0.8790858689685046)	(14, 1.705921541336929)	(16, 2.797973066992335)	(18, 4.426500560376585)	(20, 8.001062854787472)	(22, 32.23876600144221)	(24, 64.91788290174375)	(26, 68.8573672914732)	(28, 70.55230739360154)	(30, 72.39438365328127)	(32, 74.29156514622944)	(34, 77.26629331331984)	(36, 78.09640347620243)	(38, 78.85979572295153)	(40, 79.29343398501975)	(42, 79.52801320446207)	(44, 80.06060131638094)	(46, 80.517372801859)	(48, 80.65990871969181)	(50, 80.76538417117612)	(52, 80.86007897119441)	(54, 80.92618214677358)	(56, 80.97805552254171)	(58, 81.0783228700457)	(60, 81.53290494397459)	(62, 85.01886895934547)	(64, 88.27509604049047)	(66, 89.11603498888695)	(68, 90.88389267251539)	(70, 92.43148070150616)	(72, 97.0876521837001)	(74, 97.23163074771072)	(76, 97.51241865311528)	(78, 97.6654024098545)	(80, 97.730082192875)	(82, 97.74297799193059)	(84, 97.77642702942978)	(86, 97.80360763863686)	(88, 97.82695127659883)	(90, 97.85960266416178)	(92, 97.87973919927664)	(94, 97.8964197097539)	(96, 97.90698031985818)	(98, 97.9140766537738)	(100, 97.91982798486589)	(102, 97.92529051167071)	(104, 97.93231258162675)	(106, 97.93871991102847)	(108, 97.94493332898017)	(110, 97.9497439832509)	(112, 97.95451475502479)	(114, 97.95864465633267)	(116, 97.96219832432452)	(118, 97.9653352889876)	(120, 97.96832510099004)	(122, 97.97101098086159)	(124, 97.97379450408742)	(126, 97.97649001076854)	(128, 97.97854189646664)	(130, 97.9803874933881)	(132, 97.98200204687976)	(134, 97.98344194254054)	(136, 97.98476769174493)	(138, 97.9864097504068)
CD14_S2.raw - polya	(1, 0.0004235796213203686)	(2, 0.0005143466830318762)	(3, 0.0006656251192177222)	(4, 0.0010892047405380908)	(5, 0.003561919542921282)	(6, 0.005528539213337279)	(7, 0.00701106788795857)	(8, 0.009965123169114907)	(9, 0.014877546569622558)	(10, 0.032079280022464025)	(12, 0.07182700150103966)	(14, 0.12227148367646537)	(16, 0.16365026174882658)	(18, 0.1790916643078691)	(20, 0.18258757144227294)	(22, 0.1845431890446027)	(24, 0.18611098374689236)	(26, 0.18731295968531445)	(28, 0.18831827365669493)	(30, 0.1892672020291334)	(32, 0.19028351806860017)	(34, 0.19089550810589745)	(36, 0.19147311668042521)	(38, 0.19220337894964962)	(40, 0.1934026043710501)	(42, 0.19368865814129246)	(44, 0.19390182321046343)	(46, 0.19407648104133254)	(48, 0.19420988111687826)	(50, 0.1943735368796611)	(52, 0.1944986854041421)	(54, 0.1945715741052135)	(56, 0.19463621125522018)	(58, 0.19468021952756515)	(60, 0.194775112364809)	(62, 0.19481499486162163)	(64, 0.1948672546850313)	(66, 0.19491676399141938)	(68, 0.19495252071269967)	(70, 0.19499790424355543)	(72, 0.19503916199887883)	(74, 0.1951120506999502)	(76, 0.19519456621059703)	(78, 0.19527708172124386)	(80, 0.1953417188712505)	(82, 0.19538435188508474)	(84, 0.19542423438189735)	(86, 0.1954558653276453)	(88, 0.19551775196063043)	(90, 0.19564840151915455)	(92, 0.1957377933223553)	(94, 0.19577630056065715)	(96, 0.1958134325404482)	(98, 0.19585056452023927)	(100, 0.19589457279258427)	(102, 0.19593583054790767)	(104, 0.19596333571812327)	(106, 0.19599359140536043)	(108, 0.19603484916068387)	(110, 0.19608848424260428)	(112, 0.19611598941281988)	(114, 0.19613111725643848)	(116, 0.19614899561707866)	(118, 0.19617650078729426)	(120, 0.1961998801819775)	(122, 0.1962081317330422)	(124, 0.19622188431815)	(126, 0.196234261644747)	(128, 0.1962493894883656)	(130, 0.1962617668149626)	(132, 0.19627139362453808)	(134, 0.19628377095113514)	(136, 0.1962933977607106)	(138, 0.19630990086283995)
CD14_S2.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.002090392936386235)	(4, 0.0022279187874642767)	(5, 0.002288430161938615)	(6, 0.0023021827470464194)	(7, 0.0023131848151326626)	(8, 0.0023186858491757844)	(9, 0.002326937400240467)	(10, 0.002326937400240467)	(12, 0.0023296879172620276)	(14, 0.00233793946832671)	(16, 0.00233793946832671)	(18, 0.00233793946832671)	(20, 0.00233793946832671)	(22, 0.00233793946832671)	(24, 0.00233793946832671)	(26, 0.002340689985348271)	(28, 0.0023434405023698315)	(30, 0.0023434405023698315)	(32, 0.0023434405023698315)	(34, 0.0023434405023698315)	(36, 0.0023461910193913926)	(38, 0.0023461910193913926)	(40, 0.0023516920534345145)	(42, 0.002524974625792847)	(44, 0.002524974625792847)	(46, 0.0025277251428144076)	(48, 0.0025401024694114314)	(50, 0.002541477727922212)	(52, 0.0025552303130300163)	(54, 0.0025923622928210872)	(56, 0.0026363705651660605)	(58, 0.002705133490705082)	(60, 0.0035701710939859644)	(62, 0.009405392955227276)	(64, 0.020853044798963473)	(66, 0.04277466546080333)	(68, 0.2784678442968621)	(70, 0.4913482349560953)	(72, 0.5136948104977663)	(74, 0.5560390200446954)	(76, 0.5757354724360925)	(78, 0.6010333527418983)	(80, 0.6760619560560348)	(82, 0.881370173354911)	(84, 1.375067349847419)	(86, 2.1692708882720457)	(88, 3.294793455562826)	(90, 4.837823877848878)	(92, 7.742107178241562)	(94, 26.81682170001701)	(96, 62.9350805644314)	(98, 68.54659049898257)	(100, 70.52161162364092)	(102, 72.78560619236)	(104, 75.27551035086942)	(106, 77.85425483391677)	(108, 78.9921698556482)	(110, 79.9291362295599)	(112, 80.43432231565149)	(114, 80.77695834680284)	(116, 81.32351908519124)	(118, 81.79498795837401)	(120, 81.99248058155612)	(122, 82.13113001883747)	(124, 82.24038193019237)	(126, 82.32026244553253)	(128, 82.39882133744385)	(130, 82.54633431582718)	(132, 83.10694607042022)	(134, 86.22540250447227)	(136, 89.57740258830802)	(138, 90.64835214737403)
CD14_S3.raw - illumina_universal_adapter	(1, 0.008834690750281881)	(2, 0.042667155903181264)	(3, 0.05026352314153028)	(4, 0.055851493248908445)	(5, 0.06444359670528092)	(6, 0.0715491477908365)	(7, 0.08216657307310374)	(8, 0.11999890779302091)	(9, 0.17376020121882627)	(10, 0.3584396514460628)	(12, 0.8532105412867212)	(14, 1.7632894679090296)	(16, 3.1050214554357547)	(18, 5.335524178675584)	(20, 10.020506806604558)	(22, 36.188169717230096)	(24, 69.79960540637941)	(26, 73.2559680141319)	(28, 75.00789113900828)	(30, 76.93093844386908)	(32, 77.71401304939111)	(34, 78.3526269213901)	(36, 78.8252250504892)	(38, 79.39746450017032)	(40, 79.88686320976387)	(42, 80.13395529330552)	(44, 80.57486052076835)	(46, 81.02199262557193)	(48, 81.14732845383097)	(50, 81.23991217662973)	(52, 81.3243099886503)	(54, 81.38965482536028)	(56, 81.44030056452884)	(58, 81.54865387182296)	(60, 82.00909160761923)	(62, 85.41166612451227)	(64, 88.40979402759109)	(66, 89.20258622878194)	(68, 90.79984867066112)	(70, 92.07066054489168)	(72, 97.1553607447949)	(74, 97.31669963033082)	(76, 97.54914056963332)	(78, 97.65377890639166)	(80, 97.70246702251401)	(82, 97.71351320673436)	(84, 97.73493846011678)	(86, 97.75190123560428)	(88, 97.77260013749623)	(90, 97.7991084409208)	(92, 97.81511356075384)	(94, 97.83009755732647)	(96, 97.83901264037766)	(98, 97.84552582714088)	(100, 97.85074568513366)	(102, 97.85586963652187)	(104, 97.86204997095157)	(106, 97.86750536428205)	(108, 97.8730566642171)	(110, 97.8776954410175)	(112, 97.8820732954378)	(114, 97.88598995192146)	(116, 97.889541317073)	(118, 97.89279226888962)	(120, 97.89582037888977)	(122, 97.89816162835423)	(124, 97.90095561340792)	(126, 97.9034717513866)	(128, 97.90537295878306)	(130, 97.90705555553674)	(132, 97.90865211842457)	(134, 97.91003007066962)	(136, 97.9113699423511)	(138, 97.91286354667814)
CD14_S3.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.002225597382494382)	(4, 0.002383561201784224)	(5, 0.002439976851530596)	(6, 0.002454080763967189)	(7, 0.002468184676403782)	(8, 0.0024935717187896497)	(9, 0.002499213283764287)	(10, 0.0025062652399825834)	(12, 0.00251331719620088)	(14, 0.002518958761175517)	(16, 0.002518958761175517)	(18, 0.002518958761175517)	(20, 0.002518958761175517)	(22, 0.0025217795436628357)	(24, 0.0025217795436628357)	(26, 0.0025217795436628357)	(28, 0.0025217795436628357)	(30, 0.002523189934906495)	(32, 0.0025246003261501543)	(34, 0.0025260107173938136)	(36, 0.002527421108637473)	(38, 0.002527421108637473)	(40, 0.00253306267361211)	(42, 0.002880018919552299)	(44, 0.0028828397020396177)	(46, 0.002884250093283277)	(48, 0.002902585179450848)	(50, 0.002908226744425485)	(52, 0.0029195098743747595)	(54, 0.0029590008291972203)	(56, 0.0029942606102887027)	(58, 0.003070421737446305)	(60, 0.004085903432881004)	(62, 0.011618803065265346)	(64, 0.025656427113406398)	(66, 0.051982790067550966)	(68, 0.30976846001862396)	(70, 0.5343492889202259)	(72, 0.5556983811754967)	(74, 0.5955320610701665)	(76, 0.6168797429341937)	(78, 0.6403571155761465)	(80, 0.7047471174141684)	(82, 0.8820516318283105)	(84, 1.365016136568297)	(86, 2.2140716652511983)	(88, 3.5498264146872955)	(90, 5.556359008434027)	(92, 9.175030850898064)	(94, 29.340054524597164)	(96, 66.89698496714747)	(98, 72.63109840480237)	(100, 74.70085601721986)	(102, 77.17146233538901)	(104, 78.51927169878466)	(106, 79.23895485946917)	(108, 79.79890698063556)	(110, 80.49962884144031)	(112, 81.04561808929446)	(114, 81.39736543428936)	(116, 81.86508502007663)	(118, 82.32280775272886)	(120, 82.51548271091639)	(122, 82.64098355495094)	(124, 82.74543854084757)	(126, 82.82493242251395)	(128, 82.90182554272701)	(130, 83.04540478172277)	(132, 83.56731441987392)	(134, 86.45297490440086)	(136, 89.6879921207647)	(138, 90.72604571766291)
CD14_S4.raw - illumina_universal_adapter	(1, 0.009706742446713636)	(2, 0.050108568121639635)	(3, 0.05997199943411418)	(4, 0.06946628240182998)	(5, 0.09161252734386692)	(6, 0.09890519896046764)	(7, 0.10849774443721993)	(8, 0.14132804542936056)	(9, 0.19236346802812826)	(10, 0.36082391679725623)	(12, 0.7918298388662164)	(14, 1.5361404595110792)	(16, 2.6584722639063294)	(18, 4.603505597337925)	(20, 7.958147819691695)	(22, 27.09361620613286)	(24, 53.626960831687505)	(26, 56.80291400923014)	(28, 58.30618034798154)	(30, 59.923647640309504)	(32, 60.74947365155886)	(34, 61.654481982758966)	(36, 62.1882611941779)	(38, 62.80598978510759)	(40, 63.31021986661316)	(42, 63.59996944832692)	(44, 64.07873891701809)	(46, 64.61451259179611)	(48, 64.79581887181413)	(50, 64.94128987708396)	(52, 65.0792743414626)	(54, 65.19106387995254)	(56, 65.29176568938227)	(58, 65.51629286678718)	(60, 66.3811131596631)	(62, 72.47316696534486)	(64, 77.82073088769633)	(66, 79.67523258138347)	(68, 83.5427214449879)	(70, 86.75619496652158)	(72, 94.0017683002437)	(74, 94.41092940425645)	(76, 95.14566208601374)	(78, 95.43148647885303)	(80, 95.54692899250998)	(82, 95.57160483312384)	(84, 95.60910791478219)	(86, 95.6332393279811)	(88, 95.68773120072882)	(90, 95.7590087001891)	(92, 95.7884343380303)	(94, 95.81044381218274)	(96, 95.82424039960017)	(98, 95.83669052506943)	(100, 95.84456347663806)	(102, 95.85124798299603)	(104, 95.85859111373888)	(106, 95.86558501421314)	(108, 95.87225358611019)	(110, 95.87762217157011)	(112, 95.88281282221638)	(114, 95.88850673625353)	(116, 95.89332823855503)	(118, 95.89712462387037)	(120, 95.90061294294117)	(122, 95.90358471990365)	(124, 95.9071049078963)	(126, 95.9103900625903)	(128, 95.91288114998156)	(130, 95.91523812232668)	(132, 95.91731756947738)	(134, 95.9194620823435)	(136, 95.9216052673379)	(138, 95.92433669951475)
CD14_S4.raw - polya	(1, 0.00042491895799567214)	(2, 0.0005205257235446984)	(3, 0.0006294112065310894)	(4, 0.0009959038078023565)	(5, 0.003255941515641838)	(6, 0.005096371752460593)	(7, 0.006187882325811976)	(8, 0.008068148714942824)	(9, 0.010811531737502383)	(10, 0.020657700717308346)	(12, 0.04327666800011547)	(14, 0.07199056658667302)	(16, 0.09781501625886)	(18, 0.10874871219678614)	(20, 0.1119767684058095)	(22, 0.11358614895921812)	(24, 0.11474803673498753)	(26, 0.11558725167702898)	(28, 0.11626313839459085)	(30, 0.11695495957307755)	(32, 0.11759764949704601)	(34, 0.1181287981945406)	(36, 0.11863073371367298)	(38, 0.12000508096844023)	(40, 0.12301403833974708)	(42, 0.1232291535622324)	(44, 0.12339646540194318)	(46, 0.12353058044806058)	(48, 0.12365805613545927)	(50, 0.12377358097716434)	(52, 0.12385856476876347)	(54, 0.1239608108930312)	(56, 0.12403517171068043)	(58, 0.12410687678484221)	(60, 0.12423169672875344)	(62, 0.1242887952137341)	(64, 0.12437776262056445)	(66, 0.12443884472077632)	(68, 0.12451054979493809)	(70, 0.12456632040817503)	(72, 0.12463669761059307)	(74, 0.12473097650439835)	(76, 0.12483056688517857)	(78, 0.12492617365072761)	(80, 0.12503638700545774)	(82, 0.12515191184716282)	(84, 0.12524486286922437)	(86, 0.12535640409569823)	(88, 0.12565650310978266)	(90, 0.12594996276514844)	(92, 0.12611860247660298)	(94, 0.1262288158313331)	(96, 0.12631512749467597)	(98, 0.12640276702976255)	(100, 0.12647712784741183)	(102, 0.12653289846064875)	(104, 0.12662053799573536)	(106, 0.1267161447612844)	(108, 0.12679316132242108)	(110, 0.1268954074466888)	(112, 0.12696180103387564)	(114, 0.1270188995188563)	(116, 0.12709060459301807)	(118, 0.1271397358475363)	(120, 0.12720214581949194)	(122, 0.12727119515016622)	(124, 0.12732165427642822)	(126, 0.12739601509407744)	(128, 0.12745311357905814)	(130, 0.12751021206403879)	(132, 0.12756199906204452)	(134, 0.12761909754702516)	(136, 0.12764963859713113)	(138, 0.12769345836467444)
CD14_S4.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0016412494752582837)	(4, 0.0017607579321945665)	(5, 0.0018165285454314983)	(6, 0.0018218400324064444)	(7, 0.0018510532107686467)	(8, 0.0018722991586684304)	(9, 0.0018802663891308493)	(10, 0.0018922172348244774)	(12, 0.00189885659354316)	(14, 0.0019068238240055788)	(16, 0.0019068238240055788)	(18, 0.001910807439236788)	(20, 0.0019121353109805247)	(22, 0.0019121353109805247)	(24, 0.0019121353109805247)	(26, 0.0019121353109805247)	(28, 0.0019121353109805247)	(30, 0.0019121353109805247)	(32, 0.0019121353109805247)	(34, 0.0019121353109805247)	(36, 0.0019134631827242613)	(38, 0.0019147910544679977)	(40, 0.00192143041318668)	(42, 0.002071479920228902)	(44, 0.002075463535460111)	(46, 0.0020767914072038476)	(48, 0.0020767914072038476)	(50, 0.002078119278947584)	(52, 0.002086086509410003)	(54, 0.002103348842078577)	(56, 0.002113971816028469)	(58, 0.002125922661722097)	(60, 0.002175053916240347)	(62, 0.0024525791106812704)	(64, 0.004407206317461362)	(66, 0.11073255258192842)	(68, 1.6123523303710905)	(70, 1.804739700090606)	(72, 1.8288379164959356)	(74, 1.88326605139995)	(76, 1.9141988236702911)	(78, 1.9445699061930317)	(80, 2.0099065074718414)	(82, 2.180065304201208)	(84, 2.6051874265736723)	(86, 3.317826978258676)	(88, 4.447662585877781)	(90, 6.3259066263429204)	(92, 9.226298531753622)	(94, 25.87891498749981)	(96, 54.45382922225569)	(98, 58.55134530802761)	(100, 60.16024251612149)	(102, 62.108587561681965)	(104, 63.30300819517292)	(106, 64.23313720402103)	(108, 64.82104179558641)	(110, 65.53556559727578)	(112, 66.08542799125485)	(114, 66.44239444063655)	(116, 66.94141660916318)	(118, 67.4935390408501)	(120, 67.73132103400098)	(122, 67.90287675180477)	(124, 68.06077132510897)	(126, 68.18473479174548)	(128, 68.30320485297817)	(130, 68.5566052735789)	(132, 69.46303177180131)	(134, 74.99041077420262)	(136, 80.69141697432791)	(138, 82.78622627322252)
