Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
CD14_S1.raw	8.62775450007298	60.55068347857484
CD14_S2.raw	10.142242712718316	59.688903872483166
CD14_S3.raw	11.095959748110893	57.4561038291671
CD14_S4.raw	7.528977016372579	61.78292701653059
CD19_S1.raw	5.704024124754955	55.9487046743876
CD19_S2.raw	5.279601887150174	57.37669482001686
CD19_S3.raw	6.48359312267733	57.903564151088055
CD19_S4.raw	3.8649881475443992	63.383161019352876
CD4_S1.raw	6.62069785270848	57.597611839724586
CD4_S2.raw	5.5030903299544205	53.93535365171756
CD4_S3.raw	7.427490891126746	59.68863736545472
CD4_S4.raw	5.877355711673799	63.500384831754275
CD56_S1.raw	6.336340939978352	56.00587465482997
CD56_S2.raw	7.382123062932422	52.02636623941602
CD56_S3.raw	9.30144940149765	58.36352743748384
CD56_S4.raw	7.287467235246522	61.00021280500748
