Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CD14_S1.raw	(1, 6.237663164644545e-05)	(2, 0.010128776853065666)	(3, 0.05579144153405642)	(4, 0.03493388403780214)	(5, 4.752505268300605e-05)	(6, 1.1881263170751513e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.742597898786727e-05)	(15, 0.0)	(20, 7.366383165865938e-05)	(25, 1.128720001221394e-05)	(30, 0.002037042570625347)	(35, 2.0198147390277574e-05)	(40, 5.584193690253212e-05)	(45, 0.0001592089264880703)	(50, 4.811911584154364e-05)	(55, 0.0005304984005740551)	(60, 0.00015802080017099512)	(65, 0.00012118888434166545)	(70, 0.0002423777686833309)	(75, 0.0008685203377819357)	(80, 0.0009600060641967223)	(85, 0.0007734702324159236)	(90, 0.0022871431603696665)	(95, 0.00043544829520804297)	(100, 0.0004758445899885982)	(105, 0.001093670274867677)	(110, 0.0004259432846714418)	(115, 0.0001615851791222206)	(120, 0.0002946553266346375)	(125, 0.0008299062324769932)	(130, 6.178256848790788e-05)	(135, 4.752505268300605e-05)	(140, 0.0009813923379040751)	(145, 0.0007651533481963975)	(150, 0.0)
CD14_S2.raw	(1, 8.251551064682506e-05)	(2, 0.010451964681931174)	(3, 0.05525788696315718)	(4, 0.035014081684469435)	(5, 4.67587893665342e-05)	(6, 1.650310212936501e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.67587893665342e-05)	(15, 0.0)	(20, 5.611054723984104e-05)	(25, 1.4302688512116343e-05)	(30, 0.001969370187437558)	(35, 2.090392936386235e-05)	(40, 5.2809926813968035e-05)	(45, 0.00014797781575997296)	(50, 6.931302894333305e-05)	(55, 0.0005539541281423523)	(60, 0.00014137657490822695)	(65, 0.00010782026724518474)	(70, 0.0002321436366197345)	(75, 0.0008944681354115836)	(80, 0.0009659815779721654)	(85, 0.0008213043826380655)	(90, 0.0023159353321542233)	(95, 0.00045218499834460133)	(100, 0.0005077454421801303)	(105, 0.0011073581528803923)	(110, 0.00042688024174624166)	(115, 0.00017768339959282998)	(120, 0.0002855036668380147)	(125, 0.0008389076915760548)	(130, 7.206354596489389e-05)	(135, 5.1159616601031534e-05)	(140, 0.0009962372652093346)	(145, 0.000787197971570711)	(150, 0.0)
CD14_S3.raw	(1, 7.616112715760242e-05)	(2, 0.010019419394955697)	(3, 0.05481908685854983)	(4, 0.03457433094706418)	(5, 4.513251979709773e-05)	(6, 2.8207824873186083e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.2875893807242844e-05)	(15, 0.0)	(20, 4.9081615279343784e-05)	(25, 2.030963390869398e-05)	(30, 0.0020078329744733854)	(35, 2.538704238586747e-05)	(40, 6.374968421340055e-05)	(45, 0.00017150357522897138)	(50, 5.697980624383588e-05)	(55, 0.0005438468635550276)	(60, 0.00014724484583803133)	(65, 0.00011339545599020804)	(70, 0.00027079511878258636)	(75, 0.0009212675603582573)	(80, 0.0009912229660437588)	(85, 0.0008112570433528318)	(90, 0.002362687411378066)	(95, 0.0004541459804582959)	(100, 0.0005139465691894504)	(105, 0.0011164657084807052)	(110, 0.00043101556406228335)	(115, 0.00017432435771628997)	(120, 0.0002662818668028766)	(125, 0.0008558254066524658)	(130, 6.713462319818288e-05)	(135, 5.697980624383588e-05)	(140, 0.000987273870561513)	(145, 0.0008270534252818159)	(150, 0.0)
CD14_S4.raw	(1, 7.436081764924262e-05)	(2, 0.01009713673937216)	(3, 0.05435510195810889)	(4, 0.033727942290906476)	(5, 6.904933067429672e-05)	(6, 7.967230462418853e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.983615231209426e-05)	(15, 0.0)	(20, 5.7895208026910334e-05)	(25, 1.6996758319826886e-05)	(30, 0.0019992436973696372)	(35, 2.0714799202289016e-05)	(40, 4.567878798453475e-05)	(45, 0.00016040690664336624)	(50, 6.373784369935082e-05)	(55, 0.0005178699800572254)	(60, 0.00013703636395360425)	(65, 0.00011738386214630442)	(70, 0.00026663664614228426)	(75, 0.000865772376916182)	(80, 0.0009502250198178218)	(85, 0.0007552934478373073)	(90, 0.002275441020066824)	(95, 0.0004541321363578746)	(100, 0.0004875945043000338)	(105, 0.0010984155064188126)	(110, 0.00045678787984534757)	(115, 0.00019864961286297672)	(120, 0.0002512333339149412)	(125, 0.000836028049856485)	(130, 7.701656113671558e-05)	(135, 6.480014109434e-05)	(140, 0.0009539430607002841)	(145, 0.0008211558863266364)	(150, 0.0)
CD19_S1.raw	(1, 7.482137940890265e-05)	(2, 0.010055342771866004)	(3, 0.056067238004888574)	(4, 0.03472687935608851)	(5, 4.22903448832928e-05)	(6, 9.759310357682954e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.139903455046355e-05)	(15, 0.0)	(20, 6.57126897417319e-05)	(25, 1.821737933434151e-05)	(30, 0.0020377440026842007)	(35, 1.4964275881780529e-05)	(40, 5.595337938404894e-05)	(45, 0.00012752165534039058)	(50, 6.11583449081465e-05)	(55, 0.0005543288283163918)	(60, 0.00013793158638858574)	(65, 0.00011646110360168324)	(70, 0.000251139586537708)	(75, 0.0009069652425740024)	(80, 0.000925182621908344)	(85, 0.0008015646907110266)	(90, 0.0023214146237475184)	(95, 0.0004476270350723915)	(100, 0.0004847124144315867)	(105, 0.0010481499324151492)	(110, 0.00042420469021395236)	(115, 0.00017176386229522)	(120, 0.00026935696587204955)	(125, 0.0008503612424994413)	(130, 7.547200009941485e-05)	(135, 5.855586214609772e-05)	(140, 0.0009804853806018806)	(145, 0.0007716361389474656)	(150, 0.0)
CD19_S2.raw	(1, 6.267519676094583e-05)	(2, 0.009798222426961198)	(3, 0.05473285654918375)	(4, 0.03520256884739791)	(5, 8.008497363898634e-05)	(6, 3.4819553756081013e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.551594483120264e-05)	(15, 0.0)	(20, 5.919324138533773e-05)	(25, 1.880255902828375e-05)	(30, 0.001953376965716145)	(35, 1.880255902828375e-05)	(40, 6.337158783606745e-05)	(45, 0.00013858182394920244)	(50, 5.640767708485124e-05)	(55, 0.0005529345136465666)	(60, 0.00014276017039993217)	(65, 0.00011072618094433765)	(70, 0.00024791522274329687)	(75, 0.0009275929120619984)	(80, 0.0009853933712970927)	(85, 0.0008287053793947282)	(90, 0.002380264694765698)	(95, 0.0004352444219510127)	(100, 0.0005313463903177963)	(105, 0.0010968159433165522)	(110, 0.00042758412012467486)	(115, 0.0001970786742594186)	(120, 0.00026811056392182385)	(125, 0.0008558646313244715)	(130, 7.242467181264852e-05)	(135, 5.431850385948639e-05)	(140, 0.0010007139749497683)	(145, 0.0008133847757420526)	(150, 0.0)
CD19_S3.raw	(1, 2.5824257855214684e-05)	(2, 0.009848726339532501)	(3, 0.05522194739114471)	(4, 0.034665838138393815)	(5, 6.456064463803671e-05)	(6, 1.2912128927607342e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.648366413938643e-05)	(15, 0.0)	(20, 7.424474133374221e-05)	(25, 2.0659406284171745e-05)	(30, 0.001971036480799261)	(35, 2.388743851607358e-05)	(40, 6.068700595975451e-05)	(45, 0.00016011039870233106)	(50, 5.8750186620613404e-05)	(55, 0.0005145483377651526)	(60, 0.00014784387622110407)	(65, 0.00012847568282969306)	(70, 0.0002646986430159505)	(75, 0.0008999753862542318)	(80, 0.0009780937662662562)	(85, 0.0008115273031001214)	(90, 0.0023519442841636773)	(95, 0.0004493420866807355)	(100, 0.0004938889314809808)	(105, 0.001127228855380121)	(110, 0.0004551525446981588)	(115, 0.00018335223077202425)	(120, 0.0002666354623550916)	(125, 0.0008541373285612256)	(130, 7.811838001202442e-05)	(135, 5.7458973727852667e-05)	(140, 0.0010045636305678512)	(145, 0.0007857030452449068)	(150, 0.0)
CD19_S4.raw	(1, 7.941742868682209e-05)	(2, 0.010157489129044546)	(3, 0.05471463749378608)	(4, 0.03474512505048467)	(5, 6.353394294945768e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.129706291714749e-05)	(15, 0.0)	(20, 6.829898867066701e-05)	(25, 1.2706788589891534e-05)	(30, 0.0019076066370574667)	(35, 2.3031054319178408e-05)	(40, 5.7974722941380125e-05)	(45, 0.00014533389449688443)	(50, 5.876889722824835e-05)	(55, 0.0005368618179229174)	(60, 0.000143745545923148)	(65, 0.0001175377944564967)	(70, 0.00026287168895338113)	(75, 0.0008616791012520197)	(80, 0.000970480978552966)	(85, 0.0007909975897207481)	(90, 0.0022395714889683832)	(95, 0.0004542676920886224)	(100, 0.0004701511778259868)	(105, 0.001077694507280176)	(110, 0.000402646363442188)	(115, 0.00016121738023424886)	(120, 0.00027081343182206336)	(125, 0.0007997335068762985)	(130, 6.115142008885301e-05)	(135, 5.0032980072697916e-05)	(140, 0.0009188596499065316)	(145, 0.0008362655240722367)	(150, 0.0)
CD4_S1.raw	(1, 6.673821471622596e-05)	(2, 0.01036198596909824)	(3, 0.054528633960773246)	(4, 0.03500946242508547)	(5, 4.9175526633008594e-05)	(6, 3.512537616643471e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.215045139972165e-05)	(15, 0.0)	(20, 5.479558681963815e-05)	(25, 2.0372718176532134e-05)	(30, 0.0019375157493405385)	(35, 1.9670210653203438e-05)	(40, 5.9713139482939016e-05)	(45, 0.0001559566701789701)	(50, 5.198555672632338e-05)	(55, 0.0005163430296465902)	(60, 0.00013909648961908146)	(65, 0.00011310371125591977)	(70, 0.00025079518582834387)	(75, 0.0008886720170107982)	(80, 0.0009736754273335701)	(85, 0.0007966435314547392)	(90, 0.002290174526051543)	(95, 0.00042571955913718866)	(100, 0.0005240706124032059)	(105, 0.0010902916762061334)	(110, 0.00043063711180048954)	(115, 0.00017703189587883094)	(120, 0.0002669528588649038)	(125, 0.0008352814452378173)	(130, 7.30607824261842e-05)	(135, 4.777051158635121e-05)	(140, 0.0010024782357900466)	(145, 0.0008254463399112158)	(150, 0.0)
CD4_S2.raw	(1, 5.6470775194594144e-05)	(2, 0.009241276270080053)	(3, 0.04990687803079896)	(4, 0.031068891787943472)	(5, 5.314896488902977e-05)	(6, 1.3287241222257443e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.9231930688966376e-05)	(15, 0.0)	(20, 4.384789603344957e-05)	(25, 1.5944689466708933e-05)	(30, 0.0018010855476769964)	(35, 1.7273413588934678e-05)	(40, 5.314896488902977e-05)	(45, 0.00013951603283370316)	(50, 5.5142051072368395e-05)	(55, 0.00048764175285684824)	(60, 0.00012490006748922)	(65, 0.00010961974008362391)	(70, 0.0002491357729173271)	(75, 0.0008610132312022825)	(80, 0.0008410823693688963)	(85, 0.0007719887150131576)	(90, 0.0021093495440333695)	(95, 0.0004351571500289313)	(100, 0.00044778002919007587)	(105, 0.000956681368002536)	(110, 0.00038400127132324016)	(115, 0.00014748837756705762)	(120, 0.00023850597993952115)	(125, 0.0008105217145577042)	(130, 5.3813326950142654e-05)	(135, 4.8498430461239674e-05)	(140, 0.0008576914208967181)	(145, 0.0007779679735631733)	(150, 0.0)
