Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CD14_S1.raw	(1, 39.29937708913448)	(2, 38.68144836400056)	(3, 39.02684336758484)	(4, 39.13594253199342)	(5, 39.23736842020843)	(6, 39.373275397521816)	(7, 39.274132137587166)	(8, 39.39772163115248)	(9, 39.44036309853126)	(10, 39.47509419910989)	(15, 39.480209350233324)	(20, 39.53942797183214)	(25, 39.57463033677381)	(30, 39.53238465209315)	(35, 39.560145764089086)	(40, 39.5987079542146)	(45, 39.55158689418256)	(50, 39.528738286485414)	(55, 39.09883187578947)	(60, 38.63274739893901)	(65, 35.28202431417339)	(70, 29.098424609850507)	(75, 27.145868549149846)	(80, 25.924909573191165)	(85, 23.34405745256094)	(90, 24.086834693074593)	(95, 26.69422441698196)	(100, 32.56251163249922)	(105, 35.26552696639806)	(110, 36.16228043499918)	(115, 36.21618946266215)	(120, 36.17061208762883)	(125, 36.46579076608425)	(130, 36.3666700389652)	(135, 36.53315171832471)	(140, 36.755980282330896)	(145, 37.42625589852736)	(150, 37.65538446668604)
CD14_S2.raw	(1, 39.29733113757726)	(2, 38.75205304779153)	(3, 39.07707567560743)	(4, 39.13823691473846)	(5, 39.19068897178275)	(6, 39.346335366524684)	(7, 39.33521807928041)	(8, 39.362466873804436)	(9, 39.42851259108303)	(10, 39.483371091972586)	(15, 39.47822080936108)	(20, 39.553776576767575)	(25, 39.55734204997849)	(30, 39.526351072526985)	(35, 39.49940687575895)	(40, 39.293423808106766)	(45, 39.46193102632984)	(50, 39.46199000841686)	(55, 39.32638093213976)	(60, 38.66032673776772)	(65, 34.92426443679685)	(70, 26.569315650186052)	(75, 23.443771040251864)	(80, 23.759148716082034)	(85, 21.926714195784164)	(90, 20.721371817063883)	(95, 23.081263128733465)	(100, 29.01764206922386)	(105, 33.02527568913448)	(110, 33.50991870269335)	(115, 33.15815861797082)	(120, 33.02304619705127)	(125, 33.471307390328434)	(130, 33.57514456786228)	(135, 34.0933015696293)	(140, 34.597708621283815)	(145, 35.42729263776535)	(150, 35.68225378244912)
CD14_S3.raw	(1, 39.31344534999084)	(2, 38.63640593271486)	(3, 39.01301255169225)	(4, 39.07637542200317)	(5, 39.15301763361398)	(6, 39.34348623215559)	(7, 39.292157045598174)	(8, 39.30584255136842)	(9, 39.37791061030563)	(10, 39.437771157589324)	(15, 39.44020316855112)	(20, 39.5376754710058)	(25, 39.53896832024321)	(30, 39.53048692121634)	(35, 39.54650447505858)	(40, 39.47635000675295)	(45, 39.49626764216095)	(50, 39.491338240140884)	(55, 39.23694089975514)	(60, 38.473104216968274)	(65, 34.63284675399583)	(70, 25.418835402715782)	(75, 22.244022333150433)	(80, 22.69474428422024)	(85, 21.16361706794554)	(90, 20.656979366201767)	(95, 22.745442777662877)	(100, 28.6910316549339)	(105, 33.272703073490746)	(110, 33.826881239077224)	(115, 33.51923369720299)	(120, 33.166589710078846)	(125, 33.49832038199263)	(130, 33.64442081945085)	(135, 34.14665556181017)	(140, 34.62805972815103)	(145, 35.408801078306155)	(150, 35.6317488208283)
CD14_S4.raw	(1, 39.28350521172397)	(2, 38.552530035197364)	(3, 38.968391606586444)	(4, 39.10556925609358)	(5, 39.18801742348318)	(6, 39.359854703211504)	(7, 39.34805037488608)	(8, 39.31853152044847)	(9, 39.433417549615065)	(10, 39.46136237144508)	(15, 39.38099521278334)	(20, 38.98345997644515)	(25, 39.44868181773637)	(30, 39.468905623082705)	(35, 39.47121444148692)	(40, 39.24817625447164)	(45, 38.923928676396834)	(50, 38.474168706476846)	(55, 38.4256382076929)	(60, 38.249667491620265)	(65, 36.00169001954866)	(70, 31.210002432926608)	(75, 29.455780991882477)	(80, 28.146961525367704)	(85, 26.66146360838683)	(90, 28.496526704470114)	(95, 29.658608641645902)	(100, 34.42370762558765)	(105, 35.78689471854683)	(110, 34.84076355918387)	(115, 33.52981743702216)	(120, 32.35017619131806)	(125, 32.20911322626917)	(130, 31.980649711178604)	(135, 32.35371115055598)	(140, 33.534820873687025)	(145, 35.29398970989694)	(150, 36.02919838587098)
CD19_S1.raw	(1, 39.3167410526724)	(2, 38.78482353719242)	(3, 39.09335310612987)	(4, 39.10872567902598)	(5, 39.16263321417974)	(6, 39.3709506059507)	(7, 39.29118763227322)	(8, 39.27570705634248)	(9, 39.43737962907269)	(10, 39.48202598208185)	(15, 39.47459089052308)	(20, 39.56223964721785)	(25, 39.52938697184767)	(30, 39.53251734871939)	(35, 39.50001810352071)	(40, 39.47679162151495)	(45, 39.41914445526246)	(50, 39.35744396765153)	(55, 39.143291191438415)	(60, 38.380831725514064)	(65, 35.684014532654125)	(70, 31.62997586490017)	(75, 30.097358060346174)	(80, 28.896967043817387)	(85, 27.92359942754488)	(90, 27.860311965464273)	(95, 29.71044478805169)	(100, 33.117016031001036)	(105, 34.15918317435037)	(110, 32.438407583738865)	(115, 30.66150465078308)	(120, 29.64549497709441)	(125, 29.625201942089745)	(130, 29.356352616505262)	(135, 30.032949917138573)	(140, 31.43492425164876)	(145, 33.617628008075634)	(150, 34.5511838580226)
CD19_S2.raw	(1, 39.301680374254495)	(2, 38.95661762158422)	(3, 39.11442635046333)	(4, 39.110300964553865)	(5, 39.113579121081344)	(6, 39.32009378995)	(7, 39.275053165106144)	(8, 39.223137419373145)	(9, 39.38299162293766)	(10, 39.425733913496735)	(15, 39.45063088330767)	(20, 39.53132805434079)	(25, 39.47639268030305)	(30, 39.45798643047171)	(35, 39.428801571893935)	(40, 39.3694199706506)	(45, 39.345048476653226)	(50, 39.24140049816335)	(55, 39.01036444408232)	(60, 38.480555323135036)	(65, 35.913157066306354)	(70, 31.666858452768754)	(75, 30.028430534729107)	(80, 29.816276344691993)	(85, 29.042488469940015)	(90, 28.432289209820716)	(95, 29.499149375711518)	(100, 32.10906625621377)	(105, 33.12882674991325)	(110, 29.895509625082195)	(115, 26.645335442005507)	(120, 25.615048725613043)	(125, 25.862884128011302)	(130, 25.7405533906498)	(135, 26.599919323093946)	(140, 28.29012453039303)	(145, 29.889140348742206)	(150, 30.51451527960363)
CD19_S3.raw	(1, 39.30366363904144)	(2, 38.71501265792139)	(3, 39.01104916696593)	(4, 39.07501988871359)	(5, 39.125435780316266)	(6, 39.312362927663834)	(7, 39.28401544613423)	(8, 39.27686880873505)	(9, 39.41909494046298)	(10, 39.47101184122924)	(15, 39.41681702141396)	(20, 39.50465015797183)	(25, 39.51093127600079)	(30, 39.52405083827962)	(35, 39.482003355539504)	(40, 39.42477008582531)	(45, 39.435622568787345)	(50, 39.409706822042615)	(55, 39.20442737532734)	(60, 38.548608216149034)	(65, 35.5608064399243)	(70, 30.7971680021305)	(75, 28.98951504787575)	(80, 28.261004973590662)	(85, 27.140154903582708)	(90, 26.60797620294639)	(95, 28.25931689995924)	(100, 32.08880425777451)	(105, 33.69204974074866)	(110, 32.07652195021567)	(115, 30.26678865830875)	(120, 29.035294678185362)	(125, 29.122639671709123)	(130, 28.980777674929083)	(135, 29.746870895657896)	(140, 30.82193592517421)	(145, 32.564977877488104)	(150, 33.39301641050886)
CD19_S4.raw	(1, 39.29023790245229)	(2, 38.97476169708533)	(3, 39.1575238741696)	(4, 39.15950458454976)	(5, 39.1617357775)	(6, 39.34479600819413)	(7, 39.31470871533613)	(8, 39.25348450917389)	(9, 39.42052521207531)	(10, 39.466738547381375)	(15, 39.45796295327845)	(20, 39.55718816081505)	(25, 39.47409084615259)	(30, 39.52965954661623)	(35, 39.47199047753263)	(40, 39.438598164845885)	(45, 39.38700699099712)	(50, 39.3448045614512)	(55, 39.17441411876693)	(60, 38.80232555673901)	(65, 37.252904174255505)	(70, 34.02860931068491)	(75, 32.76644798680591)	(80, 32.50187919505194)	(85, 31.956727365010323)	(90, 31.138272271456394)	(95, 31.764041416347897)	(100, 33.61785155286289)	(105, 34.08895257901945)	(110, 30.303030199787646)	(115, 26.58399116973494)	(120, 24.140393058297274)	(125, 23.81224257783573)	(130, 23.819180659124154)	(135, 24.37238660769605)	(140, 25.79990670040478)	(145, 27.801062335176574)	(150, 28.903990761529357)
CD4_S1.raw	(1, 39.31364547803283)	(2, 38.92391875135189)	(3, 39.145567602544844)	(4, 39.130115563190095)	(5, 39.146574155324274)	(6, 39.32696231602118)	(7, 39.32834474545096)	(8, 39.27748263875595)	(9, 39.4054724844312)	(10, 39.45609061728844)	(15, 39.41553401495765)	(20, 39.50215271487896)	(25, 39.48200406850207)	(30, 39.49458172807437)	(35, 39.45901118694055)	(40, 39.42782955453366)	(45, 39.40907321484233)	(50, 39.37647591737472)	(55, 39.136648300075805)	(60, 38.523962159291756)	(65, 36.11524888120408)	(70, 32.96975033514878)	(75, 31.66685273749268)	(80, 30.256214019759987)	(85, 29.006609563108462)	(90, 29.1746150943717)	(95, 31.612784203809234)	(100, 34.45067614592851)	(105, 35.1622424264947)	(110, 34.24844062648778)	(115, 32.839088143829706)	(120, 31.81749568291564)	(125, 31.69491645183401)	(130, 31.096854087009632)	(135, 31.790132192948185)	(140, 33.14235117184929)	(145, 35.316243385979476)	(150, 36.06275211677811)
CD4_S2.raw	(1, 39.35831627002425)	(2, 38.95910050957566)	(3, 39.16358500663714)	(4, 39.159991472248585)	(5, 39.1187327612578)	(6, 39.20435458106043)	(7, 39.37778251025019)	(8, 39.32213272047262)	(9, 39.44081582066636)	(10, 39.485375667015354)	(15, 39.255890388498)	(20, 38.92333159503)	(25, 39.4240130345179)	(30, 39.43504739741644)	(35, 39.245303333931595)	(40, 38.85432023520277)	(45, 36.121233632651695)	(50, 34.465968163039236)	(55, 34.95919740678228)	(60, 37.28870683153875)	(65, 34.67395267888555)	(70, 28.045008450187147)	(75, 26.85535708514069)	(80, 26.085711003765702)	(85, 25.436109812006464)	(90, 24.73458241373167)	(95, 24.255984409016897)	(100, 28.448730585139874)	(105, 31.874267167954418)	(110, 30.05213354062758)	(115, 27.805429047178244)	(120, 26.570769584056535)	(125, 27.041871485337843)	(130, 27.606963138900802)	(135, 28.078838098520038)	(140, 29.34137170236832)	(145, 30.668367174441915)	(150, 31.205549569099748)
