Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
CD14_S1.raw	(12.0, 6.0)	(13.0, 134.0)	(14.0, 889.0)	(15.0, 2956.0)	(16.0, 6930.0)	(17.0, 13535.0)	(18.0, 23951.0)	(19.0, 37805.0)	(20.0, 54550.0)	(21.0, 76669.0)	(22.0, 105207.0)	(23.0, 142095.0)	(24.0, 190546.0)	(25.0, 228096.0)	(26.0, 249616.0)	(27.0, 291066.0)	(28.0, 332077.0)	(29.0, 381594.0)	(30.0, 480927.0)	(31.0, 573124.0)	(32.0, 913808.0)	(33.0, 1602461.0)	(34.0, 3596411.0)	(35.0, 5682708.0)	(36.0, 8163938.0)	(37.0, 7355465.0)	(38.0, 3086772.0)	(39.0, 64459.0)	(40.0, 8659.0)	
CD14_S2.raw	(12.0, 4.0)	(13.0, 166.0)	(14.0, 1338.0)	(15.0, 5153.0)	(16.0, 12020.0)	(17.0, 20538.0)	(18.0, 32709.0)	(19.0, 48974.0)	(20.0, 68557.0)	(21.0, 95759.0)	(22.0, 131642.0)	(23.0, 180358.0)	(24.0, 250442.0)	(25.0, 311642.0)	(26.0, 341479.0)	(27.0, 398385.0)	(28.0, 454907.0)	(29.0, 538973.0)	(30.0, 710792.0)	(31.0, 977959.0)	(32.0, 2236868.0)	(33.0, 5710816.0)	(34.0, 10590963.0)	(35.0, 7955432.0)	(36.0, 4269918.0)	(37.0, 900964.0)	(38.0, 74933.0)	(39.0, 24478.0)	(40.0, 10632.0)	
CD14_S3.raw	(12.0, 4.0)	(13.0, 155.0)	(14.0, 1335.0)	(15.0, 5008.0)	(16.0, 12264.0)	(17.0, 20610.0)	(18.0, 32185.0)	(19.0, 47529.0)	(20.0, 67815.0)	(21.0, 97059.0)	(22.0, 134298.0)	(23.0, 189455.0)	(24.0, 265720.0)	(25.0, 326002.0)	(26.0, 357153.0)	(27.0, 414050.0)	(28.0, 467631.0)	(29.0, 551972.0)	(30.0, 723350.0)	(31.0, 1023657.0)	(32.0, 2271993.0)	(33.0, 5935495.0)	(34.0, 10963885.0)	(35.0, 7332133.0)	(36.0, 3577887.0)	(37.0, 571538.0)	(38.0, 28538.0)	(39.0, 22892.0)	(40.0, 9543.0)	
CD14_S4.raw	(11.0, 1.0)	(12.0, 8.0)	(13.0, 224.0)	(14.0, 1812.0)	(15.0, 6986.0)	(16.0, 17521.0)	(17.0, 27909.0)	(18.0, 40392.0)	(19.0, 57197.0)	(20.0, 78270.0)	(21.0, 103598.0)	(22.0, 132725.0)	(23.0, 166372.0)	(24.0, 208912.0)	(25.0, 241024.0)	(26.0, 259386.0)	(27.0, 305143.0)	(28.0, 355151.0)	(29.0, 423650.0)	(30.0, 548533.0)	(31.0, 708842.0)	(32.0, 1208440.0)	(33.0, 2248594.0)	(34.0, 5179070.0)	(35.0, 8079831.0)	(36.0, 8967247.0)	(37.0, 6142011.0)	(38.0, 2080368.0)	(39.0, 51600.0)	(40.0, 13422.0)
CD19_S1.raw	(12.0, 2.0)	(13.0, 103.0)	(14.0, 818.0)	(15.0, 3415.0)	(16.0, 8924.0)	(17.0, 15239.0)	(18.0, 23135.0)	(19.0, 34330.0)	(20.0, 48772.0)	(21.0, 67694.0)	(22.0, 92005.0)	(23.0, 122854.0)	(24.0, 164910.0)	(25.0, 198027.0)	(26.0, 219603.0)	(27.0, 262758.0)	(28.0, 306054.0)	(29.0, 378636.0)	(30.0, 501822.0)	(31.0, 689567.0)	(32.0, 1292816.0)	(33.0, 2981447.0)	(34.0, 7273243.0)	(35.0, 8263945.0)	(36.0, 5110973.0)	(37.0, 2198533.0)	(38.0, 398963.0)	(39.0, 51348.0)	(40.0, 29941.0)	
CD19_S2.raw	(12.0, 2.0)	(13.0, 59.0)	(14.0, 551.0)	(15.0, 3008.0)	(16.0, 8025.0)	(17.0, 13859.0)	(18.0, 21531.0)	(19.0, 31781.0)	(20.0, 45315.0)	(21.0, 63790.0)	(22.0, 87910.0)	(23.0, 119756.0)	(24.0, 165200.0)	(25.0, 202591.0)	(26.0, 228860.0)	(27.0, 280447.0)	(28.0, 330295.0)	(29.0, 423763.0)	(30.0, 587661.0)	(31.0, 969213.0)	(32.0, 2536018.0)	(33.0, 7532282.0)	(34.0, 9990024.0)	(35.0, 3414072.0)	(36.0, 1204405.0)	(37.0, 289673.0)	(38.0, 50792.0)	(39.0, 73621.0)	(40.0, 44991.0)	
CD19_S3.raw	(12.0, 7.0)	(13.0, 82.0)	(14.0, 764.0)	(15.0, 3438.0)	(16.0, 9896.0)	(17.0, 15702.0)	(18.0, 23779.0)	(19.0, 34792.0)	(20.0, 49931.0)	(21.0, 68533.0)	(22.0, 92305.0)	(23.0, 124817.0)	(24.0, 168133.0)	(25.0, 204847.0)	(26.0, 231070.0)	(27.0, 277248.0)	(28.0, 325563.0)	(29.0, 402205.0)	(30.0, 544346.0)	(31.0, 780692.0)	(32.0, 1710900.0)	(33.0, 4589094.0)	(34.0, 9611279.0)	(35.0, 7049413.0)	(36.0, 3372183.0)	(37.0, 1036198.0)	(38.0, 120656.0)	(39.0, 78542.0)	(40.0, 52210.0)	
CD19_S4.raw	(12.0, 1.0)	(13.0, 37.0)	(14.0, 447.0)	(15.0, 2385.0)	(16.0, 6450.0)	(17.0, 10624.0)	(18.0, 15503.0)	(19.0, 23583.0)	(20.0, 33515.0)	(21.0, 46880.0)	(22.0, 64862.0)	(23.0, 88325.0)	(24.0, 119475.0)	(25.0, 147729.0)	(26.0, 171652.0)	(27.0, 212357.0)	(28.0, 252179.0)	(29.0, 330044.0)	(30.0, 463590.0)	(31.0, 748738.0)	(32.0, 1864565.0)	(33.0, 5528519.0)	(34.0, 9201495.0)	(35.0, 3998062.0)	(36.0, 1104659.0)	(37.0, 383229.0)	(38.0, 119189.0)	(39.0, 144982.0)	(40.0, 100313.0)	
CD4_S1.raw	(12.0, 4.0)	(13.0, 83.0)	(14.0, 747.0)	(15.0, 2861.0)	(16.0, 7670.0)	(17.0, 13556.0)	(18.0, 21109.0)	(19.0, 31161.0)	(20.0, 43681.0)	(21.0, 60135.0)	(22.0, 80986.0)	(23.0, 104642.0)	(24.0, 135193.0)	(25.0, 160073.0)	(26.0, 178968.0)	(27.0, 216676.0)	(28.0, 253736.0)	(29.0, 304617.0)	(30.0, 394599.0)	(31.0, 501706.0)	(32.0, 820732.0)	(33.0, 1457217.0)	(34.0, 3236299.0)	(35.0, 5184781.0)	(36.0, 7088094.0)	(37.0, 5854555.0)	(38.0, 2162752.0)	(39.0, 121973.0)	(40.0, 30840.0)	
CD4_S2.raw	(12.0, 4.0)	(13.0, 153.0)	(14.0, 1226.0)	(15.0, 5545.0)	(16.0, 14307.0)	(17.0, 26677.0)	(18.0, 44282.0)	(19.0, 66147.0)	(20.0, 95612.0)	(21.0, 136916.0)	(22.0, 182312.0)	(23.0, 230381.0)	(24.0, 275833.0)	(25.0, 309840.0)	(26.0, 345452.0)	(27.0, 430753.0)	(28.0, 517536.0)	(29.0, 721817.0)	(30.0, 1155628.0)	(31.0, 2529541.0)	(32.0, 6783312.0)	(33.0, 10766936.0)	(34.0, 4595235.0)	(35.0, 517879.0)	(36.0, 140694.0)	(37.0, 59930.0)	(38.0, 31282.0)	(39.0, 86068.0)	(40.0, 32769.0)	
