Sample	Unique Reads	Duplicate Reads
CD14_S1.raw	1772726.0	31893728.0
CD14_S2.raw	1389571.0	34967230.0
CD14_S3.raw	1343423.0	34107733.0
CD14_S4.raw	1428847.0	36225392.0
CD19_S1.raw	1186484.0	29553393.0
CD19_S2.raw	1013349.0	27706146.0
CD19_S3.raw	1070838.0	29907787.0
CD19_S4.raw	756330.0	24427059.0
CD4_S1.raw	1107282.0	27362164.0
CD4_S2.raw	1159080.0	28944987.0
CD4_S3.raw	999052.0	30157930.0
CD4_S4.raw	894458.0	27941520.0
CD56_S1.raw	1448803.0	29522889.0
CD56_S2.raw	1347527.0	31201673.0
CD56_S3.raw	958749.0	27444147.0
CD56_S4.raw	879150.0	29185932.0
