Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CD14_S1.raw	(1.0, 4.29574731975451)	(2.0, 0.9835286336711849)	(3.0, 0.4401068942665426)	(4.0, 0.2914884257183032)	(5.0, 0.21543744845126095)	(6.0, 0.18095724866948779)	(7.0, 0.15126927166632315)	(8.0, 0.13188202003924782)	(9.0, 0.11757303049212701)	('>10', 1.9623874149101777)	('>50', 1.0294360438917183)	('>100', 3.549097516539703)	('>500', 2.1219357725876375)	('>1k', 5.642834034541387)	('>5k', 2.9921549652968773)	('>10k+', 75.89416395950352)
CD14_S2.raw	(1.0, 3.005613933233971)	(2.0, 0.7663988142522953)	(3.0, 0.36621543269191764)	(4.0, 0.25803921305861066)	(5.0, 0.19631502416031138)	(6.0, 0.16274990937655764)	(7.0, 0.13869301010129748)	(8.0, 0.12289353108808346)	(9.0, 0.10974953182965284)	('>10', 1.9167924301338513)	('>50', 1.0729200222265094)	('>100', 3.7047586403082247)	('>500', 2.0797483334293347)	('>1k', 5.824721034683634)	('>5k', 3.002914554566348)	('>10k+', 77.27147658485941)
CD14_S3.raw	(1.0, 2.8625642244926204)	(2.0, 0.8785160506472789)	(3.0, 0.44074520174495846)	(4.0, 0.2870050415986392)	(5.0, 0.21885402712272392)	(6.0, 0.18676281563370592)	(7.0, 0.15127591504430823)	(8.0, 0.1388748045921745)	(9.0, 0.11999100949397427)	('>10', 2.078526379134221)	('>50', 1.0914883402999291)	('>100', 3.602177414526576)	('>500', 2.160976879734418)	('>1k', 5.993338216674574)	('>5k', 3.305475421963825)	('>10k+', 76.48342825729608)
CD14_S4.raw	(1.0, 2.879912407686865)	(2.0, 0.8988165246071749)	(3.0, 0.4248035013939191)	(4.0, 0.268384713528177)	(5.0, 0.20782193271816693)	(6.0, 0.17017750611992155)	(7.0, 0.1393051790219645)	(8.0, 0.13374270556552453)	(9.0, 0.11514080496446595)	('>10', 1.9905972610815854)	('>50', 1.1068815606308533)	('>100', 3.7115682648974144)	('>500', 2.128243331331532)	('>1k', 6.16195950121219)	('>5k', 3.051500694590565)	('>10k+', 76.61114411064968)
CD19_S1.raw	(1.0, 2.875932830143214)	(2.0, 0.8772689890229619)	(3.0, 0.4478853720006559)	(4.0, 0.32512978279187477)	(5.0, 0.24208749114821124)	(6.0, 0.19781024508691591)	(7.0, 0.1749828943496071)	(8.0, 0.15602798129306503)	(9.0, 0.14264040445994408)	('>10', 2.5063761995452976)	('>50', 1.4256276618520367)	('>100', 4.547801160405186)	('>500', 2.6791160498322046)	('>1k', 7.958622859807717)	('>5k', 4.78020518549217)	('>10k+', 70.66248489276894)
CD19_S2.raw	(1.0, 2.6416794306744666)	(2.0, 0.736015586948263)	(3.0, 0.4002380260976484)	(4.0, 0.2902575209553069)	(5.0, 0.23009487719141863)	(6.0, 0.1848280933457075)	(7.0, 0.17367454855211742)	(8.0, 0.15855507951940304)	(9.0, 0.14164532435700966)	('>10', 2.5558684440333943)	('>50', 1.4689366708339626)	('>100', 4.8012353411017195)	('>500', 2.7169681127942877)	('>1k', 8.021398378230407)	('>5k', 4.8939037892067905)	('>10k+', 70.5847007761581)
CD19_S3.raw	(1.0, 2.619447005734268)	(2.0, 0.7113068220494378)	(3.0, 0.3873918631986252)	(4.0, 0.27240834139891)	(5.0, 0.21421525666963384)	(6.0, 0.17525890923276943)	(7.0, 0.1562293275131642)	(8.0, 0.1393025480625575)	(9.0, 0.12482965127253057)	('>10', 2.2859847445923243)	('>50', 1.306059588196657)	('>100', 4.32548767034633)	('>500', 2.51246248555728)	('>1k', 7.6444825542592385)	('>5k', 4.156832725651341)	('>10k+', 72.96830050626492)
CD19_S4.raw	(1.0, 2.2097343018831044)	(2.0, 0.6732999957512417)	(3.0, 0.36383901064195223)	(4.0, 0.24953674476208593)	(5.0, 0.19872442052264178)	(6.0, 0.16826002231462134)	(7.0, 0.14845022910069142)	(8.0, 0.13357182255655076)	(9.0, 0.11484360377620251)	('>10', 2.214454690146451)	('>50', 1.314109509170142)	('>100', 4.462379685523913)	('>500', 2.49749899401538)	('>1k', 7.216758036254241)	('>5k', 4.3652394053147425)	('>10k+', 73.66929952826604)
CD4_S1.raw	(1.0, 2.9949660134324474)	(2.0, 0.7885800311250503)	(3.0, 0.3984448759219589)	(4.0, 0.27324022539579973)	(5.0, 0.2203966409352838)	(6.0, 0.18548556935976981)	(7.0, 0.15712522236373433)	(8.0, 0.14208582526951122)	(9.0, 0.12785930572134296)	('>10', 2.441601620146644)	('>50', 1.4700302245684642)	('>100', 4.662748896742865)	('>500', 2.5543868196323163)	('>1k', 7.4641056896969)	('>5k', 4.343672357872042)	('>10k+', 71.77527068181587)
CD4_S2.raw	(1.0, 2.9505583057406306)	(2.0, 0.6941652098060697)	(3.0, 0.4115578046427921)	(4.0, 0.30105350504581735)	(5.0, 0.2494741046040973)	(6.0, 0.21148037886709)	(7.0, 0.1848526052134233)	(8.0, 0.16696016927738658)	(9.0, 0.15346403590166813)	('>10', 2.8254233843343255)	('>50', 1.6266373515348698)	('>100', 4.966296121262454)	('>500', 2.7952783329916344)	('>1k', 8.385388788052598)	('>5k', 4.673416734234062)	('>10k+', 69.40399316849108)
CD4_S3.raw	(1.0, 2.4562458631373296)	(2.0, 0.6214300350182776)	(3.0, 0.348931292844599)	(4.0, 0.2468016083351868)	(5.0, 0.19770759857057796)	(6.0, 0.15940291110195787)	(7.0, 0.14370790352438964)	(8.0, 0.1287822709327217)	(9.0, 0.11348191095809862)	('>10', 2.123375000793839)	('>50', 1.2209244706404827)	('>100', 4.034867810027885)	('>500', 2.3944823776768454)	('>1k', 6.655147416723479)	('>5k', 4.238761064546251)	('>10k+', 74.91595046516808)
CD4_S4.raw	(1.0, 2.3798600383368553)	(2.0, 0.6178505646725863)	(3.0, 0.3192304731792785)	(4.0, 0.23312494209522633)	(5.0, 0.18704935694442645)	(6.0, 0.1478252843910163)	(7.0, 0.13248118338921444)	(8.0, 0.12399592468781073)	(9.0, 0.10625152074859182)	('>10', 1.9905481681444508)	('>50', 1.2218282582050688)	('>100', 4.082734556251092)	('>500', 2.24970739774669)	('>1k', 6.7031838674071)	('>5k', 3.81934497239925)	('>10k+', 75.68498349140135)
CD56_S1.raw	(1.0, 3.662390519006657)	(2.0, 0.9383058249806321)	(3.0, 0.44733470181758095)	(4.0, 0.30451048044100915)	(5.0, 0.24164693977427004)	(6.0, 0.20946356878516229)	(7.0, 0.17546630858145995)	(8.0, 0.15838606730230192)	(9.0, 0.13841009102224577)	('>10', 2.580780257097787)	('>50', 1.4878399175672525)	('>100', 4.793040979004049)	('>500', 2.5763592875184758)	('>1k', 7.7334815588768295)	('>5k', 4.602508359138133)	('>10k+', 69.95007513908614)
CD56_S2.raw	(1.0, 3.0765992392091444)	(2.0, 0.9613908823651044)	(3.0, 0.47457756618750546)	(4.0, 0.3331733748269547)	(5.0, 0.26006955662027587)	(6.0, 0.21894591313658882)	(7.0, 0.19412210631031782)	(8.0, 0.16983170347930857)	(9.0, 0.15186749599046936)	('>10', 2.7445057266564934)	('>50', 1.533007327454107)	('>100', 5.00478136551466)	('>500', 2.6372680388141174)	('>1k', 8.463952577187333)	('>5k', 4.463920483189002)	('>10k+', 69.31198664305862)
CD56_S3.raw	(1.0, 2.519935492682722)	(2.0, 0.7578949226311926)	(3.0, 0.3987003605392379)	(4.0, 0.27431336956666846)	(5.0, 0.2131575814120436)	(6.0, 0.1759035455913505)	(7.0, 0.15254846331303307)	(8.0, 0.13144489696836092)	(9.0, 0.12409189424184408)	('>10', 2.184129425869404)	('>50', 1.265938429175747)	('>100', 4.096835240664762)	('>500', 2.31265816012373)	('>1k', 7.167079605521839)	('>5k', 3.9280944009816054)	('>10k+', 74.29727421071645)
CD56_S4.raw	(1.0, 2.1807377211722843)	(2.0, 0.6363314779468398)	(3.0, 0.33014501783014427)	(4.0, 0.2314396337067725)	(5.0, 0.19282101123732115)	(6.0, 0.16065668166350683)	(7.0, 0.13825960751399113)	(8.0, 0.12575651866295)	(9.0, 0.10854335890390816)	('>10', 2.0663137746602627)	('>50', 1.2470479673599852)	('>100', 4.107685571903746)	('>500', 2.413789575648783)	('>1k', 7.034437000931722)	('>5k', 4.321321792129933)	('>10k+', 74.70471328872786)
