Sample	0	1	2	3	4	5	6	7	8	9	10
CD14_S1	(10, 79472.0)	(11, 113222.0)	(12, 152853.0)	(13, 189626.0)	(14, 241322.0)	(15, 230137.0)	(16, 308245.0)	(17, 327497.0)	(18, 903445.0)	(19, 406731.0)	(20, 30554057.0)
CD14_S2	(10, 62130.0)	(11, 94436.0)	(12, 108392.0)	(13, 157391.0)	(14, 202663.0)	(15, 192098.0)	(16, 257348.0)	(17, 321578.0)	(18, 534809.0)	(19, 502830.0)	(20, 33780624.0)
CD14_S3	(10, 57415.0)	(11, 92156.0)	(12, 118949.0)	(13, 171678.0)	(14, 223100.0)	(15, 226481.0)	(16, 322803.0)	(17, 400858.0)	(18, 488347.0)	(19, 644640.0)	(20, 32568013.0)
CD14_S4	(10, 54132.0)	(11, 82772.0)	(12, 115260.0)	(13, 145955.0)	(14, 188642.0)	(15, 204087.0)	(16, 287235.0)	(17, 390406.0)	(18, 425577.0)	(19, 491137.0)	(20, 34466082.0)
CD19_S1	(10, 72214.0)	(11, 108651.0)	(12, 131620.0)	(13, 176413.0)	(14, 193050.0)	(15, 205654.0)	(16, 244270.0)	(17, 273811.0)	(18, 460240.0)	(19, 646216.0)	(20, 28017897.0)
CD19_S2	(10, 72713.0)	(11, 89668.0)	(12, 104958.0)	(13, 131090.0)	(14, 136543.0)	(15, 146099.0)	(16, 172961.0)	(17, 202397.0)	(18, 322208.0)	(19, 472012.0)	(20, 26587960.0)
CD19_S3	(10, 62362.0)	(11, 96883.0)	(12, 112317.0)	(13, 147588.0)	(14, 168422.0)	(15, 174584.0)	(16, 217531.0)	(17, 245980.0)	(18, 455322.0)	(19, 676110.0)	(20, 28469836.0)
CD19_S4	(10, 45776.0)	(11, 54152.0)	(12, 57980.0)	(13, 74111.0)	(14, 86150.0)	(15, 98965.0)	(16, 125733.0)	(17, 148254.0)	(18, 220079.0)	(19, 274192.0)	(20, 23876243.0)
CD4_S1	(10, 61335.0)	(11, 111536.0)	(12, 112680.0)	(13, 151456.0)	(14, 189320.0)	(15, 175607.0)	(16, 216494.0)	(17, 257620.0)	(18, 518791.0)	(19, 738027.0)	(20, 25774673.0)
CD4_S2	(10, 58474.0)	(11, 91913.0)	(12, 94505.0)	(13, 132988.0)	(14, 154306.0)	(15, 141921.0)	(16, 161645.0)	(17, 190558.0)	(18, 456732.0)	(19, 780904.0)	(20, 27635727.0)
CD4_S3	(10, 56933.0)	(11, 82599.0)	(12, 88663.0)	(13, 122580.0)	(14, 138459.0)	(15, 140317.0)	(16, 174962.0)	(17, 213458.0)	(18, 448185.0)	(19, 707784.0)	(20, 28827192.0)
CD4_S4	(10, 39757.0)	(11, 55885.0)	(12, 61027.0)	(13, 80567.0)	(14, 101244.0)	(15, 108211.0)	(16, 148039.0)	(17, 187667.0)	(18, 295660.0)	(19, 419081.0)	(20, 27224752.0)
CD56_S1	(10, 72172.0)	(11, 106830.0)	(12, 128352.0)	(13, 163835.0)	(14, 197819.0)	(15, 201970.0)	(16, 244645.0)	(17, 280283.0)	(18, 451199.0)	(19, 498036.0)	(20, 28392270.0)
CD56_S2	(10, 88244.0)	(11, 153397.0)	(12, 165284.0)	(13, 223719.0)	(14, 254954.0)	(15, 248755.0)	(16, 301505.0)	(17, 382322.0)	(18, 664292.0)	(19, 989477.0)	(20, 28802231.0)
CD56_S3	(10, 46841.0)	(11, 68277.0)	(12, 87774.0)	(13, 128133.0)	(14, 158248.0)	(15, 160216.0)	(16, 214071.0)	(17, 259583.0)	(18, 402812.0)	(19, 501831.0)	(20, 26253038.0)
CD56_S4	(10, 42629.0)	(11, 61025.0)	(12, 76491.0)	(13, 107650.0)	(14, 125544.0)	(15, 125883.0)	(16, 164391.0)	(17, 209929.0)	(18, 362949.0)	(19, 508528.0)	(20, 28158358.0)
