Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
CD14_S1	2972.0	22119305.0	4954866.0	117682.0	259982.0	445772.0	130144.0	528633.0
CD14_S2	3291.0	22521330.0	5960108.0	159386.0	281756.0	441805.0	134523.0	517975.0
CD14_S3	3501.0	22643110.0	6568530.0	195534.0	317789.0	257383.0	168220.0	353212.0
CD14_S4	3498.0	18812281.0	5193815.0	160937.0	261041.0	429618.0	137862.0	515971.0
CD19_S1	1470.0	10866969.0	3035858.0	250539.0	160981.0	163331.0	71136.0	208596.0
CD19_S2	858.0	8213010.0	2299492.0	181809.0	133127.0	152964.0	56927.0	178854.0
CD19_S3	988.0	11546321.0	3037922.0	249661.0	166307.0	107763.0	75637.0	163298.0
CD19_S4	735.0	5058018.0	1468620.0	109686.0	80046.0	86601.0	34459.0	104344.0
CD4_S1	1045.0	10434701.0	3429213.0	238506.0	150071.0	257369.0	70323.0	295849.0
CD4_S2	622.0	11390671.0	3702411.0	597480.0	222414.0	101276.0	61100.0	174860.0
CD4_S3	539.0	10916851.0	3353565.0	241293.0	141322.0	45784.0	68123.0	93510.0
CD4_S4	1173.0	9298611.0	2591880.0	136335.0	127316.0	157729.0	56511.0	194524.0
CD56_S1	1980.0	12873333.0	3117694.0	189566.0	186765.0	301696.0	89341.0	337916.0
CD56_S2	2154.0	16941061.0	4950330.0	312890.0	250998.0	211509.0	116702.0	260555.0
CD56_S3	1519.0	13307824.0	3438424.0	162737.0	182884.0	120595.0	89869.0	172063.0
CD56_S4	1165.0	11689784.0	2895144.0	163153.0	162442.0	121079.0	77788.0	169579.0
