Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
CD14_S1	59.0	26337.0	18627.0	6604.0	10089.0	1730.0	5908.0	5873.0
CD14_S2	61.0	28590.0	20737.0	7547.0	10845.0	1706.0	6158.0	6287.0
CD14_S3	57.0	32329.0	24639.0	8654.0	12506.0	2063.0	7352.0	7301.0
CD14_S4	63.0	29554.0	22218.0	7611.0	11161.0	1838.0	6404.0	6816.0
CD19_S1	56.0	29089.0	23842.0	10299.0	9714.0	1591.0	5587.0	5718.0
CD19_S2	47.0	26744.0	21723.0	9529.0	8526.0	1377.0	4777.0	4963.0
CD19_S3	51.0	28310.0	22602.0	9997.0	9359.0	1526.0	5182.0	5682.0
CD19_S4	46.0	18752.0	15165.0	6075.0	6072.0	993.0	3351.0	3372.0
CD4_S1	52.0	26747.0	21918.0	9560.0	8929.0	1402.0	5009.0	5333.0
CD4_S2	41.0	27427.0	22385.0	11043.0	8336.0	1336.0	4723.0	5887.0
CD4_S3	40.0	26839.0	21909.0	9828.0	8748.0	1415.0	4965.0	5349.0
CD4_S4	44.0	23042.0	17574.0	7066.0	7786.0	1323.0	4400.0	4523.0
CD56_S1	54.0	31103.0	23623.0	10078.0	10620.0	1818.0	6113.0	6290.0
CD56_S2	60.0	37257.0	29829.0	13170.0	12683.0	2110.0	7084.0	7604.0
CD56_S3	48.0	27716.0	20867.0	8440.0	9675.0	1574.0	5512.0	5647.0
CD56_S4	45.0	26588.0	20262.0	8502.0	9035.0	1479.0	5067.0	5249.0
