Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
CD14_S1	(0, 22)	(1, 174)	(2, 35)	(3, 27)	(4, 31)	(5, 68)	(6, 141)	(7, 1405)	(8, 5365)	(9, 20214)	(10, 89679)	(11, 125698)	(12, 172137)	(13, 212944)	(14, 252117)	(15, 256535)	(16, 389892)	(17, 454837)	(18, 5926763)	(19, 7615214)	(20, 17983309)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD14_S2	(0, 22)	(1, 193)	(2, 45)	(3, 19)	(4, 32)	(5, 40)	(6, 88)	(7, 2392)	(8, 4879)	(9, 17565)	(10, 70106)	(11, 106292)	(12, 128357)	(13, 177487)	(14, 208688)	(15, 216767)	(16, 361817)	(17, 392149)	(18, 5736253)	(19, 8418605)	(20, 20372503)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD14_S3	(0, 26)	(1, 161)	(2, 51)	(3, 31)	(4, 40)	(5, 39)	(6, 80)	(7, 2235)	(8, 5282)	(9, 19373)	(10, 66420)	(11, 105865)	(12, 146170)	(13, 196169)	(14, 232087)	(15, 273744)	(16, 438886)	(17, 415764)	(18, 5391163)	(19, 7712470)	(20, 20308384)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD14_S4	(0, 46)	(1, 180)	(2, 64)	(3, 48)	(4, 107)	(5, 39)	(6, 74)	(7, 3135)	(8, 7232)	(9, 20641)	(10, 60355)	(11, 93922)	(12, 138989)	(13, 171829)	(14, 201139)	(15, 253631)	(16, 404369)	(17, 456201)	(18, 4593449)	(19, 9169207)	(20, 21276628)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD19_S1	(0, 183)	(1, 568)	(2, 215)	(3, 127)	(4, 133)	(5, 162)	(6, 205)	(7, 9055)	(8, 10065)	(9, 29716)	(10, 84182)	(11, 125362)	(12, 167788)	(13, 187361)	(14, 198314)	(15, 224263)	(16, 285149)	(17, 378837)	(18, 4387632)	(19, 6741468)	(20, 17699251)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD19_S2	(0, 232)	(1, 789)	(2, 217)	(3, 165)	(4, 136)	(5, 147)	(6, 152)	(7, 11950)	(8, 17729)	(9, 28876)	(10, 69527)	(11, 101772)	(12, 128945)	(13, 136183)	(14, 136974)	(15, 158687)	(16, 209377)	(17, 298271)	(18, 3524161)	(19, 6257602)	(20, 17356717)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD19_S3	(0, 75)	(1, 151)	(2, 96)	(3, 77)	(4, 59)	(5, 66)	(6, 109)	(7, 8543)	(8, 13368)	(9, 22938)	(10, 67052)	(11, 118708)	(12, 146202)	(13, 155889)	(14, 167585)	(15, 196122)	(16, 264226)	(17, 364319)	(18, 4494905)	(19, 7126289)	(20, 17680156)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD19_S4	(0, 31)	(1, 83)	(2, 42)	(3, 35)	(4, 26)	(5, 30)	(6, 39)	(7, 5261)	(8, 16477)	(9, 16225)	(10, 39390)	(11, 64209)	(12, 72488)	(13, 79987)	(14, 87285)	(15, 110011)	(16, 159934)	(17, 271769)	(18, 2269764)	(19, 6642287)	(20, 15226262)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD4_S1	(0, 110)	(1, 262)	(2, 101)	(3, 78)	(4, 63)	(5, 90)	(6, 96)	(7, 6687)	(8, 6925)	(9, 20059)	(10, 69828)	(11, 128434)	(12, 137247)	(13, 160407)	(14, 191916)	(15, 193776)	(16, 263997)	(17, 395439)	(18, 3521395)	(19, 7271507)	(20, 15939122)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
CD4_S2	(0, 113)	(1, 577)	(2, 235)	(3, 139)	(4, 149)	(5, 146)	(6, 136)	(7, 10952)	(8, 13899)	(9, 23995)	(10, 59073)	(11, 108306)	(12, 124700)	(13, 140339)	(14, 154704)	(15, 158973)	(16, 193967)	(17, 312828)	(18, 4293350)	(19, 6708531)	(20, 17594561)	(21, 0)	(22, 0)	(23, 0)	(24, 0)	(25, 0)	(26, 0)	(27, 0)	(28, 0)	(29, 0)	(30, 0)	(31, 0)	(32, 0)	(33, 0)	(34, 0)	(35, 0)	(36, 0)	(37, 0)	(38, 0)	(39, 0)	(40, 0)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)
