Sample	Reads without adapter	Reads < 18 nt after adapter removal	Reads with low complexity	Reads with low PHRED score
CD14_S1	31489979.0	1977402.0	5228.0	33998.0
CD14_S2	34485142.0	1683253.0	9188.0	36716.0
CD14_S3	33373394.0	1898907.0	6828.0	35311.0
CD14_S4	34998427.0	1808549.0	7806.0	36503.0
CD19_S1	28794104.0	1698322.0	6609.0	31001.0
CD19_S2	27106458.0	1296819.0	6785.0	28547.0
CD19_S3	29269218.0	1523216.0	3565.0	30936.0
CD19_S4	24112272.0	920899.0	3325.0	25139.0
CD4_S1	26702985.0	1572868.0	3265.0	28421.0
CD4_S2	28567959.0	1300817.0	3762.0	27135.0
CD4_S3	29673231.0	1293636.0	2944.0	31321.0
CD4_S4	27638558.0	1051509.0	2870.0	28953.0
CD56_S1	29005201.0	1692948.0	8172.0	31090.0
CD56_S2	30076829.0	2156713.0	8192.0	32446.0
CD56_S3	26855357.0	1394222.0	2968.0	28277.0
CD56_S4	28714942.0	1195657.0	2774.0	30004.0
