Sample	miRNA	rRNA	tRNA	Artifact	Unknown
CD14_S1	22258931.0	299563.0	2856063.0	483.0	6074939.0
CD14_S2	23034270.0	383512.0	1813409.0	705.0	9253246.0
CD14_S3	23727890.0	298959.0	285190.0	675.0	9060680.0
CD14_S4	19202938.0	337544.0	263219.0	1346.0	15193380.0
CD19_S1	10998690.0	283651.0	216974.0	653.0	17294136.0
CD19_S2	8269991.0	345597.0	221047.0	1153.0	18268670.0
CD19_S3	11857065.0	252551.0	135636.0	601.0	17023365.0
CD19_S4	5148360.0	208653.0	129683.0	626.0	18624950.0
CD4_S1	10769966.0	298183.0	670130.0	777.0	14963929.0
CD4_S2	11870615.0	253516.0	185085.0	801.0	16257942.0
CD4_S3	11413537.0	210198.0	67369.0	923.0	17981204.0
CD4_S4	9531674.0	223291.0	131484.0	551.0	17751558.0
CD56_S1	12876862.0	412472.0	1007881.0	644.0	14707342.0
CD56_S2	17415982.0	405557.0	703054.0	1046.0	11551190.0
CD56_S3	13504540.0	227424.0	203563.0	651.0	12919179.0
CD56_S4	11918946.0	246685.0	186151.0	623.0	16362537.0
