Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	mirtop-ref_miRNA_sum	mirtop-isomiR_perc	mirtop-isomiR_sum	mirtop-read_count	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences
CD14_S1	69.2513	96.518	635.8030679999999	33.506606999999995	42.473	99.52520393148622	97.10889064823994	150.0	0.002972	0.0	0.0	0.002972	96.09179856975385	42.0	19.660018306240318	20	36.36363636363637	33.506606999999995														
CD14_S1.raw																											94.73444622226384	62.0	150.0	150	45.45454545454545	33.666454
CD14_S1_mature																			0.7524936999999999	0.0	24.671245	69.35691476878578	0.0	0.0	35.571428	0.0						
CD14_S1_mature_hairpin																			7.125293000000001	0.0	1.361495	12.141196886527323	0.0	0.0	11.213845	0.0						
CD14_S1_mature_hairpin_genome																			0.4936706	0.0	71.449502	99.97898257823651	0.0	0.0	71.464522	0.0						
CD14_S2	59.1718	96.5736	690.600567	36.214299	41.6427	99.60804582339354	97.44216494735056	150.0	0.0032909999999999997	0.0	0.0	0.0032909999999999997	97.44036598929415	41.0	19.74642229026717	20	36.36363636363637	36.214299														
CD14_S2.raw																											96.17796194045698	60.0	150.0	150	36.36363636363637	36.356801
CD14_S2_mature																			0.6187917000000001	0.0	25.146252999999998	65.82160164390584	0.0	0.0	38.203648	0.0						
CD14_S2_mature_hairpin																			6.066223	0.0	1.421314	10.663390180429568	0.0	0.0	13.328913	0.0						
CD14_S2_mature_hairpin_genome																			0.5461918	0.0	56.51233	99.97815644306999	0.0	0.0	56.524677	0.0						
CD14_S3	57.814699999999995	96.3392	670.661026	35.31444	41.3159	99.61435390146374	97.68175119592715	150.0	0.0035009999999999998	0.0	0.0	0.0035009999999999998	97.3558293985811	41.0	19.712779899667105	20	36.36363636363637	35.31444														
CD14_S3.raw																											96.21049736039254	60.0	150.0	150	54.54545454545454	35.451156
CD14_S3_mature																			0.651519	0.0	25.770326999999998	68.81443393943563	0.0	0.0	37.449014	0.0						
CD14_S3_mature_hairpin																			4.800044	0.0	1.647424	13.699121319859595	0.0	0.0	12.025763999999999	0.0						
CD14_S3_mature_hairpin_genome																			0.8144892000000001	0.0	31.059874999999998	99.96397613368167	0.0	0.0	31.071068	0.0						
CD14_S4	68.3681	96.2773	700.880227	36.851285	40.711999999999996	97.86756014375965	95.91187860681502	150.0	0.003498	0.0	0.0	0.003498	97.41705122476237	40.0	19.75456028195489	20	36.36363636363637	36.851285														
CD14_S4.raw																											96.20535064322053	58.0	150.0	150	45.45454545454545	37.654239
CD14_S4_mature																			0.7405598999999999	0.0	21.268798	54.6386942530512	0.0	0.0	38.926255999999995	0.0						
CD14_S4_mature_hairpin																			5.763533	0.0	1.574382	8.769471551974696	0.0	0.0	17.952986	0.0						
CD14_S4_mature_hairpin_genome																			0.793228	0.0	37.349371	99.9573374363902	0.0	0.0	37.365311999999996	0.0						
CD19_S1	58.0925	96.5333	580.224075	30.530036	38.4896	99.31736551841115	97.10735342239659	150.0	0.00147	0.0	0.0	0.00147	97.64823721890892	38.0	19.687532992099978	20	36.36363636363637	30.530036														
CD19_S1.raw																											96.14024538673804	56.0	150.0	150	36.36363636363637	30.739877
CD19_S1_mature																			1.3184390000000001	0.0	11.596378999999999	36.56096816686062	0.0	0.0	31.717920999999997	0.0						
CD19_S1_mature_hairpin																			3.260438	0.0	1.992089	9.76619010736005	0.0	0.0	20.397811	0.0						
CD19_S1_mature_hairpin_genome																			0.5555366	0.0	35.803337	99.943933329429	0.0	0.0	35.823422	0.0						
CD19_S2	46.419	96.4214	541.42101	28.438609	37.6824	99.02196748236695	97.67935682713083	150.0	0.0008579999999999999	0.0	0.0	0.0008579999999999999	98.08864445765329	37.0	19.744830979602412	20	36.36363636363637	28.438609														
CD19_S2.raw																											96.47156577435263	54.0	150.0	150	45.45454545454545	28.719495
CD19_S2_mature																			1.5296189999999998	0.0	9.038639	30.59635175639687	0.0	0.0	29.541558	0.0						
CD19_S2_mature_hairpin																			3.4100239999999995	0.0	1.3998	6.767968950310643	0.0	0.0	20.682719	0.0						
CD19_S2_mature_hairpin_genome																			0.5454645	0.0	37.289652	99.91791863325803	0.0	0.0	37.320285	0.0						
CD19_S3	55.4383	96.3495	585.837004	30.826935	38.361000000000004	99.5103397907428	97.60557158363227	150.0	0.000988	0.0	0.0	0.000988	97.96682112530553	38.0	19.72408904745152	20	36.36363636363637	30.826935														
CD19_S3.raw																											96.54330310725469	56.0	150.0	150	36.36363636363637	30.978624999999997
CD19_S3_mature																			1.1276359999999999	0.0	12.463341999999999	39.00043101756883	0.0	0.0	31.956933999999997	0.0						
CD19_S3_mature_hairpin																			3.092915	0.0	1.726322	8.739938920943418	0.0	0.0	19.752105999999998	0.0						
CD19_S3_mature_hairpin_genome																			0.5898450000000001	0.0	32.16192	99.94906817508652	0.0	0.0	32.178309	0.0						
CD19_S4	48.2412	96.5521	479.508071	25.061635	38.0037	99.51653051938322	98.38101615314761	150.0	0.000735	0.0	0.0	0.000735	98.2667093141336	38.0	19.81639210689965	20	36.36363636363637	25.061635														
CD19_S4.raw																											96.99671375132687	51.0	150.0	150	36.36363636363637	25.183389
CD19_S4_mature																			1.657089	0.0	5.600982999999999	21.681965899479145	0.0	0.0	25.832449999999998	0.0						
CD19_S4_mature_hairpin																			3.3588050000000003	0.0	0.9789019999999999	4.804818925597759	0.0	0.0	20.373338	0.0						
CD19_S4_mature_hairpin_genome																			0.4707941	0.0	31.146995999999998	99.95488920095222	0.0	0.0	31.161053	0.0						
CD4_S1	67.5278	96.4619	537.431017	28.307539	39.4228	99.4312955721021	97.5091296121463	150.0	0.001045	0.0	0.0	0.001045	97.59314104669878	39.0	19.681808934361975	20	36.36363636363637	28.307539														
CD4_S1.raw																											96.11063114111026	57.0	150.0	150	36.36363636363637	28.469445999999998
CD4_S1_mature																			1.185603	0.0	11.629498	39.546693041334876	0.0	0.0	29.407004999999998	0.0						
CD4_S1_mature_hairpin																			4.148261000000001	0.0	1.63991	9.091917119300815	0.0	0.0	18.03701	0.0						
CD4_S1_mature_hairpin_genome																			0.4682261	0.0	43.939116	99.9537641982299	0.0	0.0	43.959441	0.0						
CD4_S2	34.412	96.3437	568.761819	29.899673	37.8698	99.32104190440448	97.06529685839457	150.0	0.0006219999999999999	0.0	0.0	0.0006219999999999999	98.42066605045876	37.0	19.74424549726681	20	36.36363636363637	29.899673														
CD4_S2.raw																											96.14975680383756	55.0	150.0	150	36.36363636363637	30.104066999999997
CD4_S2_mature																			1.061933	0.0	12.550858999999999	40.62081247910235	0.0	0.0	30.897606999999997	0.0						
CD4_S2_mature_hairpin																			3.990426	0.0	1.426212	7.690247088762887	0.0	0.0	18.545724	0.0						
CD4_S2_mature_hairpin_genome																			0.529824	0.0	32.487622	99.9290079925066	0.0	0.0	32.510702	0.0						
CD4_S3	54.1918	96.5679	591.638724	31.001132	37.6889	99.499791090164	97.42738561777261	150.0	0.000539	0.0	0.0	0.000539	98.1697714397989	37.0	19.762692536517697	20	36.36363636363637	31.001132														
CD4_S3.raw																											96.7934905244499	54.0	150.0	150	45.45454545454545	31.156982
