Sample	iso_3p_sum	iso_5p_sum	iso_add3p_sum	iso_snv_sum	iso_snv_central_sum	iso_snv_central_offset_sum	iso_snv_central_supp_sum	iso_snv_seed_sum	isomiR_sum	ref_miRNA_sum	ref_miRNA_mean	iso_3p_count	iso_5p_count	iso_add3p_count	iso_snv_count	iso_snv_central_count	iso_snv_central_offset_count	iso_snv_central_supp_count	iso_snv_seed_count	isomiR_count	ref_miRNA_count	iso_3p_mean	iso_5p_mean	iso_add3p_mean	iso_snv_mean	iso_snv_central_mean	iso_snv_central_offset_mean	iso_snv_central_supp_mean	iso_snv_seed_mean	isomiR_mean	read_count	isomiR_perc
CD14_S1	22119305.0	4954866.0	117682.0	123060.0	130144.0	445772.0	528633.0	259982.0	0.0	2972.0	50.3728813559322	26337.0	18627.0	6604.0	5811.0	5908.0	1730.0	5873.0	10089.0	31828.0	59.0	839.8566655275848	266.0045095828636	17.819806178073893	21.177077955601444	22.028436018957347	257.67167630057804	90.01072705601906	25.768857171176528	731.3890599472163	2972.0	0.0
CD14_S2	22521330.0	5960108.0	159386.0	136337.0	134523.0	441805.0	517975.0	281756.0	0.0	3291.0	53.950819672131146	28590.0	20737.0	7547.0	6363.0	6158.0	1706.0	6287.0	10845.0	34981.0	61.0	787.7345225603358	287.4141872016203	21.119120180204053	21.426528367122426	21.845241961675868	258.9712778429074	82.38826149196755	25.980267404333794	690.4706269117521	3291.0	0.0
CD14_S3	22643110.0	6568530.0	195534.0	132265.0	168220.0	257383.0	353212.0	317789.0	0.0	3501.0	61.421052631578945	32329.0	24639.0	8654.0	7084.0	7352.0	2063.0	7301.0	12506.0	39852.0	57.0	700.3962386711621	266.59077072933155	22.594638317541023	18.67094861660079	22.880848748639824	124.76151236063984	48.37857827694836	25.4109227570766	621.1762521328917	3501.0	0.0
CD14_S4	18812281.0	5193815.0	160937.0	121498.0	137862.0	429618.0	515971.0	261041.0	0.0	3498.0	55.523809523809526	29554.0	22218.0	7611.0	6541.0	6404.0	1838.0	6816.0	11161.0	36352.0	63.0	636.5392501861	233.76609055720587	21.145315990014453	18.57483565204097	21.527482823235477	233.74211099020675	75.69997065727699	23.38867484992384	560.3456756161971	3498.0	0.0
CD19_S1	10866969.0	3035858.0	250539.0	66242.0	71136.0	163331.0	208596.0	160981.0	0.0	1470.0	26.25	29089.0	23842.0	10299.0	5796.0	5587.0	1591.0	5718.0	9714.0	35680.0	56.0	373.57657533775654	127.33235466823253	24.326536556947275	11.428916494133885	12.732414533739037	102.65933375235701	36.48058761804827	16.57206094296891	321.9604820627803	1470.0	0.0
CD19_S2	8213010.0	2299492.0	181809.0	54228.0	56927.0	152964.0	178854.0	133127.0	0.0	858.0	18.25531914893617	26744.0	21723.0	9529.0	5527.0	4777.0	1377.0	4963.0	8526.0	32969.0	47.0	307.09729285073286	105.85517654099341	19.079546647077343	9.811470960738195	11.916893447770567	111.08496732026144	36.03747733225872	15.614238798967863	263.6115745093876	858.0	0.0
CD19_S3	11546321.0	3037922.0	249661.0	71134.0	75637.0	107763.0	163298.0	166307.0	0.0	988.0	19.372549019607842	28310.0	22602.0	9997.0	5735.0	5182.0	1526.0	5682.0	9359.0	34654.0	51.0	407.8530907806429	134.4094327935581	24.973592077623287	12.403487358326068	14.596101891161714	70.61795543905636	28.739528335093276	17.769740356875733	354.0397356726496	988.0	0.0
CD19_S4	5058018.0	1468620.0	109686.0	29932.0	34459.0	86601.0	104344.0	80046.0	0.0	735.0	15.978260869565217	18752.0	15165.0	6075.0	3464.0	3351.0	993.0	3372.0	6072.0	23187.0	46.0	269.7321885665529	96.8427299703264	18.05530864197531	8.640877598152425	10.283199045061176	87.21148036253777	30.944246737841045	13.182806324110672	232.08142493638678	735.0	0.0
CD4_S1	10434701.0	3429213.0	238506.0	60466.0	70323.0	257369.0	295849.0	150071.0	0.0	1045.0	20.096153846153847	26747.0	21918.0	9560.0	5279.0	5009.0	1402.0	5333.0	8929.0	33088.0	52.0	390.1260328261113	156.45647413085135	24.948326359832635	11.45406326955863	14.039329207426633	183.57275320970044	55.47515469716857	16.807145257027663	342.51677345261123	1045.0	0.0
CD4_S2	11390671.0	3702411.0	597480.0	75593.0	61100.0	101276.0	174860.0	222414.0	0.0	622.0	15.170731707317072	27427.0	22385.0	11043.0	5661.0	4723.0	1336.0	5887.0	8336.0	33770.0	41.0	415.3086739344442	165.39696225150772	54.10486280901929	13.35329447094153	12.936692780012704	75.80538922155688	29.702734839476815	26.681142034548945	364.510719573586	622.0	0.0
CD4_S3	10916851.0	3353565.0	241293.0	60080.0	68123.0	45784.0	93510.0	141322.0	0.0	539.0	13.475	26839.0	21909.0	9828.0	5430.0	4965.0	1415.0	5349.0	8748.0	32954.0	40.0	406.7532694958829	153.06791729426263	24.5515873015873	11.064456721915285	13.720644511581067	32.35618374558304	17.481772293886706	16.154778235025148	356.1887176063604	539.0	0.0
CD4_S4	9298611.0	2591880.0	136335.0	50883.0	56511.0	157729.0	194524.0	127316.0	0.0	1173.0	26.65909090909091	23042.0	17574.0	7066.0	4474.0	4400.0	1323.0	4523.0	7786.0	28072.0	44.0	403.550516448225	147.48378286104472	19.294508915935467	11.373044255699599	12.843409090909091	119.2207105064248	43.007738226840594	16.35191369124069	354.71932886862356	1173.0	0.0
CD56_S1	12873333.0	3117694.0	189566.0	82534.0	89341.0	301696.0	337916.0	186765.0	0.0	1980.0	36.666666666666664	31103.0	23623.0	10078.0	6416.0	6113.0	1818.0	6290.0	10620.0	37752.0	54.0	413.8936115487252	131.9770562587309	18.809882913276443	12.863778054862843	14.614919025028627	165.94939493949394	53.72273449920509	17.586158192090394	357.2692572578936	1980.0	0.0
CD56_S2	16941061.0	4950330.0	312890.0	106407.0	116702.0	211509.0	260555.0	250998.0	0.0	2154.0	35.9	37257.0	29829.0	13170.0	7672.0	7084.0	2110.0	7604.0	12683.0	45729.0	60.0	454.7081353839547	165.9569546414563	23.757782839787396	13.869525547445255	16.474025974025974	100.24123222748815	34.26551814834298	19.79011274934952	395.789170985589	2154.0	0.0
CD56_S3	13307824.0	3438424.0	162737.0	77187.0	89869.0	120595.0	172063.0	182884.0	0.0	1519.0	31.645833333333332	27716.0	20867.0	8440.0	5517.0	5512.0	1574.0	5647.0	9675.0	33531.0	48.0	480.14951652475105	164.77807063784923	19.281635071090047	13.990755845568243	16.30424528301887	76.61689961880559	30.46980697715601	18.902739018087857	414.7498732516179	1519.0	0.0
CD56_S4	11689784.0	2895144.0	163153.0	65748.0	77788.0	121079.0	169579.0	162442.0	0.0	1165.0	25.88888888888889	26588.0	20262.0	8502.0	5187.0	5067.0	1479.0	5249.0	9035.0	32455.0	45.0	439.663908530164	142.88540124370743	19.189955304634204	12.675534991324465	15.351884744424709	81.86544962812711	32.306915602972	17.979192030990593	378.962317054383	1165.0	0.0
