Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
CD14_S1	22	174	35	27	31	68	141	1405	5365	20214	89679	125698	172137	212944	252117	256535	389892	454837	5926763	7615214	17983309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD14_S2	22	193	45	19	32	40	88	2392	4879	17565	70106	106292	128357	177487	208688	216767	361817	392149	5736253	8418605	20372503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD14_S3	26	161	51	31	40	39	80	2235	5282	19373	66420	105865	146170	196169	232087	273744	438886	415764	5391163	7712470	20308384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD14_S4	46	180	64	48	107	39	74	3135	7232	20641	60355	93922	138989	171829	201139	253631	404369	456201	4593449	9169207	21276628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD19_S1	183	568	215	127	133	162	205	9055	10065	29716	84182	125362	167788	187361	198314	224263	285149	378837	4387632	6741468	17699251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD19_S2	232	789	217	165	136	147	152	11950	17729	28876	69527	101772	128945	136183	136974	158687	209377	298271	3524161	6257602	17356717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD19_S3	75	151	96	77	59	66	109	8543	13368	22938	67052	118708	146202	155889	167585	196122	264226	364319	4494905	7126289	17680156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD19_S4	31	83	42	35	26	30	39	5261	16477	16225	39390	64209	72488	79987	87285	110011	159934	271769	2269764	6642287	15226262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4_S1	110	262	101	78	63	90	96	6687	6925	20059	69828	128434	137247	160407	191916	193776	263997	395439	3521395	7271507	15939122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4_S2	113	577	235	139	149	146	136	10952	13899	23995	59073	108306	124700	140339	154704	158973	193967	312828	4293350	6708531	17594561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4_S3	79	184	120	77	79	94	105	9689	15647	20961	54724	98409	118112	128448	139523	159416	219606	330542	4034460	6964058	18706799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4_S4	9	83	53	41	42	37	43	4485	12832	13093	35534	65635	74218	90162	106511	125725	201025	324011	3201403	7094109	17372839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD56_S1	256	821	197	148	134	168	179	9605	7259	24201	77255	120705	155679	180772	202009	213716	292501	410976	4165900	6696255	18178675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD56_S2	272	700	190	132	156	163	208	7052	11778	32668	96752	168935	198360	240121	252360	270665	373489	507057	5291289	6416882	18404951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD56_S3	62	187	51	51	35	55	81	6280	7710	15324	50159	82644	114365	142177	155416	177972	279375	364549	3670851	5792749	17420731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD56_S4	29	138	52	50	24	41	69	6376	10177	15058	42033	75296	96644	114978	122933	141516	216984	355039	3993866	6581688	18170386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
