Sample	filename	reads_total	adapter_removed_length_ok	adapter_not_detected	length_shorter_than_18	low_complexity	low_phred	reads_mirna	reads_rrna	reads_trna	reads_artifact	reads_unknown
CD14_S1	CD14_S1.fastp.fastq.gz	33506607	0	31489979	1977402	5228	33998	22258931	299563	2856063	483	6074939
CD14_S2	CD14_S2.fastp.fastq.gz	36214299	0	34485142	1683253	9188	36716	23034270	383512	1813409	705	9253246
CD14_S3	CD14_S3.fastp.fastq.gz	35314440	0	33373394	1898907	6828	35311	23727890	298959	285190	675	9060680
CD14_S4	CD14_S4.fastp.fastq.gz	36851285	0	34998427	1808549	7806	36503	19202938	337544	263219	1346	15193380
CD19_S1	CD19_S1.fastp.fastq.gz	30530036	0	28794104	1698322	6609	31001	10998690	283651	216974	653	17294136
CD19_S2	CD19_S2.fastp.fastq.gz	28438609	0	27106458	1296819	6785	28547	8269991	345597	221047	1153	18268670
CD19_S3	CD19_S3.fastp.fastq.gz	30826935	0	29269218	1523216	3565	30936	11857065	252551	135636	601	17023365
CD19_S4	CD19_S4.fastp.fastq.gz	25061635	0	24112272	920899	3325	25139	5148360	208653	129683	626	18624950
CD4_S1	CD4_S1.fastp.fastq.gz	28307539	0	26702985	1572868	3265	28421	10769966	298183	670130	777	14963929
CD4_S2	CD4_S2.fastp.fastq.gz	29899673	0	28567959	1300817	3762	27135	11870615	253516	185085	801	16257942
CD4_S3	CD4_S3.fastp.fastq.gz	31001132	0	29673231	1293636	2944	31321	11413537	210198	67369	923	17981204
CD4_S4	CD4_S4.fastp.fastq.gz	28721890	0	27638558	1051509	2870	28953	9531674	223291	131484	551	17751558
CD56_S1	CD56_S1.fastp.fastq.gz	30737411	0	29005201	1692948	8172	31090	12876862	412472	1007881	644	14707342
CD56_S2	CD56_S2.fastp.fastq.gz	32274180	0	30076829	2156713	8192	32446	17415982	405557	703054	1046	11551190
CD56_S3	CD56_S3.fastp.fastq.gz	28280824	0	26855357	1394222	2968	28277	13504540	227424	203563	651	12919179
CD56_S4	CD56_S4.fastp.fastq.gz	29943377	0	28714942	1195657	2774	30004	11918946	246685	186151	623	16362537
