Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
CD14_S1_mature	35571428.0	0.0	35571428.0	1.0	35571428.0	0.0	24671245.0	0.0	10900183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	690068379.0	690068379.0	0.0	478320675.0	478320675.0	0.0	0.0	3599333.0	0.007524937	19.0	19.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.35691476878578	0.0	30.643085231214222	0.0	0.0	0.0	0.0	0.0	24671245.0
CD14_S1_mature_hairpin	11213845.0	0.0	11213845.0	1.0	11213845.0	0.0	1361495.0	0.0	9852350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216682577.0	216682577.0	0.0	24572994.0	24572994.0	0.0	0.0	1750898.0	0.07125293	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.141196886527323	0.0	87.85880311347267	0.0	0.0	0.0	0.0	0.0	1361495.0
CD14_S1_mature_hairpin_genome	71464522.0	0.0	71464522.0	1.0	71464522.0	0.0	71449502.0	0.0	15020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1374823465.0	1374823465.0	0.0	1374523293.0	1374523293.0	0.0	0.0	6785617.0	0.004936706	19.0	19.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.97898257823651	0.0	0.021017421763487063	0.0	0.0	0.0	0.0	0.0	71449502.0
CD14_S2_mature	38203648.0	0.0	38203648.0	1.0	38203648.0	0.0	25146253.0	0.0	13057395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	747115519.0	747115519.0	0.0	490530499.0	490530499.0	0.0	0.0	3035362.0	0.006187917	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.82160164390584	0.0	34.17839835609416	0.0	0.0	0.0	0.0	0.0	25146253.0
CD14_S2_mature_hairpin	13328913.0	0.0	13328913.0	1.0	13328913.0	0.0	1421314.0	0.0	11907599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260999281.0	260999281.0	0.0	26371254.0	26371254.0	0.0	0.0	1599739.0	0.06066223	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.663390180429568	0.0	89.33660981957044	0.0	0.0	0.0	0.0	0.0	1421314.0
CD14_S2_mature_hairpin_genome	56524677.0	0.0	56524677.0	1.0	56524677.0	0.0	56512330.0	0.0	12347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1096014947.0	1096014947.0	0.0	1095768345.0	1095768345.0	0.0	0.0	5984997.0	0.005461918	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.97815644306999	0.0	0.021843556930011294	0.0	0.0	0.0	0.0	0.0	56512330.0
CD14_S3_mature	37449014.0	0.0	37449014.0	1.0	37449014.0	0.0	25770327.0	0.0	11678687.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	730554539.0	730554539.0	0.0	502087548.0	502087548.0	0.0	0.0	3271196.0	0.00651519	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.81443393943563	0.0	31.185566060564373	0.0	0.0	0.0	0.0	0.0	25770327.0
CD14_S3_mature_hairpin	12025764.0	0.0	12025764.0	1.0	12025764.0	0.0	1647424.0	0.0	10378340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234157397.0	234157397.0	0.0	30367259.0	30367259.0	0.0	0.0	1457642.0	0.04800044	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.699121319859595	0.0	86.3008786801404	0.0	0.0	0.0	0.0	0.0	1647424.0
CD14_S3_mature_hairpin_genome	31071068.0	0.0	31071068.0	1.0	31071068.0	0.0	31059875.0	0.0	11193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	588630408.0	588630408.0	0.0	588406853.0	588406853.0	0.0	0.0	4792510.0	0.008144892	19.0	19.0	0.0	20.0	20.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.96397613368167	0.0	0.036023866318338336	0.0	0.0	0.0	0.0	0.0	31059875.0
CD14_S4_mature	38926256.0	0.0	38926256.0	1.0	38926256.0	0.0	21268798.0	0.0	17657458.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	761370028.0	761370028.0	0.0	412925561.0	412925561.0	0.0	0.0	3057961.0	0.007405599	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.6386942530512	0.0	45.361305746948794	0.0	0.0	0.0	0.0	0.0	21268798.0
CD14_S4_mature_hairpin	17952986.0	0.0	17952986.0	1.0	17952986.0	0.0	1574382.0	0.0	16378604.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353254198.0	353254198.0	0.0	29215796.0	29215796.0	0.0	0.0	1683862.0	0.05763533	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.769471551974696	0.0	91.23052844802531	0.0	0.0	0.0	0.0	0.0	1574382.0
CD14_S4_mature_hairpin_genome	37365312.0	0.0	37365312.0	1.0	37365312.0	0.0	37349371.0	0.0	15941.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	715901584.0	715901584.0	0.0	715583093.0	715583093.0	0.0	0.0	5676206.0	0.00793228	19.0	19.0	0.0	20.0	20.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.9573374363902	0.0	0.04266256360979938	0.0	0.0	0.0	0.0	0.0	37349371.0
CD19_S1_mature	31717921.0	0.0	31717921.0	1.0	31717921.0	0.0	11596379.0	0.0	20121542.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	616511032.0	616511032.0	0.0	217987848.0	217987848.0	0.0	0.0	2874037.0	0.01318439	19.0	19.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.56096816686062	0.0	63.43903183313938	0.0	0.0	0.0	0.0	0.0	11596379.0
CD19_S1_mature_hairpin	20397811.0	0.0	20397811.0	1.0	20397811.0	0.0	1992089.0	0.0	18405722.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402877751.0	402877751.0	0.0	37415928.0	37415928.0	0.0	0.0	1219923.0	0.03260438	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.76619010736005	0.0	90.23380989263995	0.0	0.0	0.0	0.0	0.0	1992089.0
CD19_S1_mature_hairpin_genome	35823422.0	0.0	35823422.0	1.0	35823422.0	0.0	35803337.0	0.0	20085.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	693334186.0	693334186.0	0.0	692932558.0	692932558.0	0.0	0.0	3849494.0	0.005555366	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.943933329429	0.0	0.0560666705710024	0.0	0.0	0.0	0.0	0.0	35803337.0
CD19_S2_mature	29541558.0	0.0	29541558.0	1.0	29541558.0	0.0	9038639.0	0.0	20502919.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	575608737.0	575608737.0	0.0	168335999.0	168335999.0	0.0	0.0	2574899.0	0.01529619	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.59635175639687	0.0	69.40364824360313	0.0	0.0	0.0	0.0	0.0	9038639.0
CD19_S2_mature_hairpin	20682719.0	0.0	20682719.0	1.0	20682719.0	0.0	1399800.0	0.0	19282919.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410045543.0	410045543.0	0.0	26294654.0	26294654.0	0.0	0.0	896654.0	0.03410024	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.767968950310643	0.0	93.23203104968935	0.0	0.0	0.0	0.0	0.0	1399800.0
CD19_S2_mature_hairpin_genome	37320285.0	0.0	37320285.0	1.0	37320285.0	0.0	37289652.0	0.0	30633.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	728135728.0	728135728.0	0.0	727523143.0	727523143.0	0.0	0.0	3968380.0	0.005454645	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.91791863325803	0.0	0.08208136674197423	0.0	0.0	0.0	0.0	0.0	37289652.0
CD19_S3_mature	31956934.0	0.0	31956934.0	1.0	31956934.0	0.0	12463342.0	0.0	19493592.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622808803.0	622808803.0	0.0	236419029.0	236419029.0	0.0	0.0	2665947.0	0.01127636	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.00043101756883	0.0	60.999568982431164	0.0	0.0	0.0	0.0	0.0	12463342.0
CD19_S3_mature_hairpin	19752106.0	0.0	19752106.0	1.0	19752106.0	0.0	1726322.0	0.0	18025784.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390610934.0	390610934.0	0.0	32479202.0	32479202.0	0.0	0.0	1004554.0	0.03092915	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.739938920943418	0.0	91.26006107905658	0.0	0.0	0.0	0.0	0.0	1726322.0
CD19_S3_mature_hairpin_genome	32178309.0	0.0	32178309.0	1.0	32178309.0	0.0	32161920.0	0.0	16389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622725636.0	622725636.0	0.0	622397937.0	622397937.0	0.0	0.0	3671183.0	0.00589845	19.0	19.0	0.0	20.0	20.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.94906817508652	0.0	0.05093182491348442	0.0	0.0	0.0	0.0	0.0	32161920.0
CD19_S4_mature	25832450.0	0.0	25832450.0	1.0	25832450.0	0.0	5600983.0	0.0	20231467.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	506292536.0	506292536.0	0.0	103692941.0	103692941.0	0.0	0.0	1718284.0	0.01657089	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.681965899479145	0.0	78.31803410052086	0.0	0.0	0.0	0.0	0.0	5600983.0
CD19_S4_mature_hairpin	20373338.0	0.0	20373338.0	1.0	20373338.0	0.0	978902.0	0.0	19394436.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	404910255.0	404910255.0	0.0	18468625.0	18468625.0	0.0	0.0	620325.0	0.03358805	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.804818925597759	0.0	95.19518107440223	0.0	0.0	0.0	0.0	0.0	978902.0
CD19_S4_mature_hairpin_genome	31161053.0	0.0	31161053.0	1.0	31161053.0	0.0	31146996.0	0.0	14057.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	609956444.0	609956444.0	0.0	609675370.0	609675370.0	0.0	0.0	2870316.0	0.004707941	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.95488920095222	0.0	0.04511079904777287	0.0	0.0	0.0	0.0	0.0	31146996.0
CD4_S1_mature	29407005.0	0.0	29407005.0	1.0	29407005.0	0.0	11629498.0	0.0	17777507.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	571674400.0	571674400.0	0.0	219518159.0	219518159.0	0.0	0.0	2602613.0	0.01185603	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.546693041334876	0.0	60.453306958665124	0.0	0.0	0.0	0.0	0.0	11629498.0
CD4_S1_mature_hairpin	18037010.0	0.0	18037010.0	1.0	18037010.0	0.0	1639910.0	0.0	16397100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356359630.0	356359630.0	0.0	30840970.0	30840970.0	0.0	0.0	1279364.0	0.04148261	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.091917119300815	0.0	90.90808288069918	0.0	0.0	0.0	0.0	0.0	1639910.0
CD4_S1_mature_hairpin_genome	43959441.0	0.0	43959441.0	1.0	43959441.0	0.0	43939116.0	0.0	20325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	856101826.0	856101826.0	0.0	855695411.0	855695411.0	0.0	0.0	4006589.0	0.004682261	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.9537641982299	0.0	0.046235801770090755	0.0	0.0	0.0	0.0	0.0	43939116.0
CD4_S2_mature	30897607.0	0.0	30897607.0	1.0	30897607.0	0.0	12550859.0	0.0	18346748.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	603656718.0	603656718.0	0.0	239238900.0	239238900.0	0.0	0.0	2540557.0	0.01061933	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.62081247910235	0.0	59.37918752089766	0.0	0.0	0.0	0.0	0.0	12550859.0
CD4_S2_mature_hairpin	18545724.0	0.0	18545724.0	1.0	18545724.0	0.0	1426212.0	0.0	17119512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367631175.0	367631175.0	0.0	26920858.0	26920858.0	0.0	0.0	1074257.0	0.03990426	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.690247088762887	0.0	92.30975291123711	0.0	0.0	0.0	0.0	0.0	1426212.0
CD4_S2_mature_hairpin_genome	32510702.0	0.0	32510702.0	1.0	32510702.0	0.0	32487622.0	0.0	23080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	634710797.0	634710797.0	0.0	634249263.0	634249263.0	0.0	0.0	3360405.0	0.00529824	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.9290079925066	0.0	0.0709920074934094	0.0	0.0	0.0	0.0	0.0	32487622.0
CD4_S3_mature	31959377.0	0.0	31959377.0	1.0	31959377.0	0.0	11987497.0	0.0	19971880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	625099595.0	625099595.0	0.0	228379207.0	228379207.0	0.0	0.0	2280488.0	0.009985533	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.50854404952887	0.0	62.49145595047112	0.0	0.0	0.0	0.0	0.0	11987497.0
CD4_S3_mature_hairpin	20188815.0	0.0	20188815.0	1.0	20188815.0	0.0	1382635.0	0.0	18806180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400319210.0	400319210.0	0.0	26061711.0	26061711.0	0.0	0.0	735793.0	0.02823272	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.848519836354932	0.0	93.15148016364508	0.0	0.0	0.0	0.0	0.0	1382635.0
CD4_S3_mature_hairpin_genome	30042248.0	0.0	30042248.0	1.0	30042248.0	0.0	30017792.0	0.0	24456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	585088386.0	585088386.0	0.0	584599327.0	584599327.0	0.0	0.0	3349717.0	0.005729937	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.91859464045434	0.0	0.08140535954566382	0.0	0.0	0.0	0.0	0.0	30017792.0
