Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
CD14_S1_mature	35.571428	0.0	0.0	0.0	0.0	0.0	478.320675	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S1_mature_hairpin	11.213845	0.0	0.0	0.0	0.0	0.0	24.572993999999998	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S1_mature_hairpin_genome	71.464522	0.0	0.0	0.0	0.0	0.0	1374.523293	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S2_mature	38.203648	0.0	0.0	0.0	0.0	0.0	490.53049899999996	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S2_mature_hairpin	13.328913	0.0	0.0	0.0	0.0	0.0	26.371254	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S2_mature_hairpin_genome	56.524677	0.0	0.0	0.0	0.0	0.0	1095.768345	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S3_mature	37.449014	0.0	0.0	0.0	0.0	0.0	502.08754799999997	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S3_mature_hairpin	12.025763999999999	0.0	0.0	0.0	0.0	0.0	30.367258999999997	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S3_mature_hairpin_genome	31.071068	0.0	0.0	0.0	0.0	0.0	588.406853	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S4_mature	38.926255999999995	0.0	0.0	0.0	0.0	0.0	412.92556099999996	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S4_mature_hairpin	17.952986	0.0	0.0	0.0	0.0	0.0	29.215795999999997	0.0	0.0	0.0	0.0	0.0	0.0
CD14_S4_mature_hairpin_genome	37.365311999999996	0.0	0.0	0.0	0.0	0.0	715.583093	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S1_mature	31.717920999999997	0.0	0.0	0.0	0.0	0.0	217.98784799999999	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S1_mature_hairpin	20.397811	0.0	0.0	0.0	0.0	0.0	37.415928	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S1_mature_hairpin_genome	35.823422	0.0	0.0	0.0	0.0	0.0	692.932558	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S2_mature	29.541558	0.0	0.0	0.0	0.0	0.0	168.335999	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S2_mature_hairpin	20.682719	0.0	0.0	0.0	0.0	0.0	26.294653999999998	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S2_mature_hairpin_genome	37.320285	0.0	0.0	0.0	0.0	0.0	727.523143	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S3_mature	31.956933999999997	0.0	0.0	0.0	0.0	0.0	236.419029	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S3_mature_hairpin	19.752105999999998	0.0	0.0	0.0	0.0	0.0	32.479202	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S3_mature_hairpin_genome	32.178309	0.0	0.0	0.0	0.0	0.0	622.397937	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S4_mature	25.832449999999998	0.0	0.0	0.0	0.0	0.0	103.69294099999999	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S4_mature_hairpin	20.373338	0.0	0.0	0.0	0.0	0.0	18.468625	0.0	0.0	0.0	0.0	0.0	0.0
CD19_S4_mature_hairpin_genome	31.161053	0.0	0.0	0.0	0.0	0.0	609.6753699999999	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S1_mature	29.407004999999998	0.0	0.0	0.0	0.0	0.0	219.518159	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S1_mature_hairpin	18.03701	0.0	0.0	0.0	0.0	0.0	30.84097	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S1_mature_hairpin_genome	43.959441	0.0	0.0	0.0	0.0	0.0	855.6954109999999	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S2_mature	30.897606999999997	0.0	0.0	0.0	0.0	0.0	239.2389	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S2_mature_hairpin	18.545724	0.0	0.0	0.0	0.0	0.0	26.920858	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S2_mature_hairpin_genome	32.510702	0.0	0.0	0.0	0.0	0.0	634.2492629999999	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S3_mature	31.959377	0.0	0.0	0.0	0.0	0.0	228.37920699999998	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S3_mature_hairpin	20.188814999999998	0.0	0.0	0.0	0.0	0.0	26.061711	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S3_mature_hairpin_genome	30.042247999999997	0.0	0.0	0.0	0.0	0.0	584.599327	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S4_mature	29.672855	0.0	0.0	0.0	0.0	0.0	194.596711	0.0	0.0	0.0	0.0	0.0	0.0
CD4_S4_mature_hairpin	19.680497	0.0	0.0	0.0	0.0	0.0	21.383097	0.0	0.0	0.0	0.0	0.0	0.0
