Sample	Mapped (with MQ>0)	Unmapped
CD14_S1_mature	24671245.0	10900183.0
CD14_S1_mature_hairpin	1361495.0	9852350.0
CD14_S1_mature_hairpin_genome	71449502.0	15020.0
CD14_S2_mature	25146253.0	13057395.0
CD14_S2_mature_hairpin	1421314.0	11907599.0
CD14_S2_mature_hairpin_genome	56512330.0	12347.0
CD14_S3_mature	25770327.0	11678687.0
CD14_S3_mature_hairpin	1647424.0	10378340.0
CD14_S3_mature_hairpin_genome	31059875.0	11193.0
CD14_S4_mature	21268798.0	17657458.0
CD14_S4_mature_hairpin	1574382.0	16378604.0
CD14_S4_mature_hairpin_genome	37349371.0	15941.0
CD19_S1_mature	11596379.0	20121542.0
CD19_S1_mature_hairpin	1992089.0	18405722.0
CD19_S1_mature_hairpin_genome	35803337.0	20085.0
CD19_S2_mature	9038639.0	20502919.0
CD19_S2_mature_hairpin	1399800.0	19282919.0
CD19_S2_mature_hairpin_genome	37289652.0	30633.0
CD19_S3_mature	12463342.0	19493592.0
CD19_S3_mature_hairpin	1726322.0	18025784.0
CD19_S3_mature_hairpin_genome	32161920.0	16389.0
CD19_S4_mature	5600983.0	20231467.0
CD19_S4_mature_hairpin	978902.0	19394436.0
CD19_S4_mature_hairpin_genome	31146996.0	14057.0
CD4_S1_mature	11629498.0	17777507.0
CD4_S1_mature_hairpin	1639910.0	16397100.0
CD4_S1_mature_hairpin_genome	43939116.0	20325.0
CD4_S2_mature	12550859.0	18346748.0
CD4_S2_mature_hairpin	1426212.0	17119512.0
CD4_S2_mature_hairpin_genome	32487622.0	23080.0
CD4_S3_mature	11987497.0	19971880.0
CD4_S3_mature_hairpin	1382635.0	18806180.0
CD4_S3_mature_hairpin_genome	30017792.0	24456.0
CD4_S4_mature	10147766.0	19525089.0
CD4_S4_mature_hairpin	1131895.0	18548602.0
CD4_S4_mature_hairpin_genome	31474785.0	8854.0
CD56_S1_mature	13728334.0	18327886.0
CD56_S1_mature_hairpin	1884236.0	16674979.0
CD56_S1_mature_hairpin_genome	46989293.0	18814.0
CD56_S2_mature	18665015.0	15303516.0
CD56_S2_mature_hairpin	2211889.0	13401667.0
CD56_S2_mature_hairpin_genome	41134551.0	27633.0
CD56_S3_mature	13555631.0	15725531.0
CD56_S3_mature_hairpin	1979657.0	13945878.0
CD56_S3_mature_hairpin_genome	26755664.0	11612.0
CD56_S4_mature	12151597.0	18691026.0
CD56_S4_mature_hairpin	1571274.0	17297693.0
CD56_S4_mature_hairpin_genome	29737158.0	11323.0
