sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
CD14_S1	33666454.0	33506607.0	159847.0			16404.0	11188428.0	11276318.0	11204832.0	71486.0	CD14	1
CD14_S2	36356801.0	36214299.0	142502.0			10453.0	13150124.0	13203188.0	13160577.0	42611.0	CD14	2
CD14_S3	35451156.0	35314440.0	136716.0			9585.0	11503049.0	11535091.0	11512634.0	22457.0	CD14	3
CD14_S4	37654239.0	36851285.0	802954.0			11170.0	17532591.0	17559159.0	17543761.0	15398.0	CD14	4
CD19_S1	30739877.0	30530036.0	209841.0			10108.0	19169765.0	19191518.0	19179873.0	11645.0	CD19	1
CD19_S2	28719495.0	28438609.0	280886.0			10764.0	19855453.0	19877333.0	19866217.0	11116.0	CD19	2
CD19_S3	30978625.0	30826935.0	151690.0			8417.0	18687768.0	18703418.0	18696185.0	7233.0	CD19	3
CD19_S4	25183389.0	25061635.0	121754.0			8399.0	19715041.0	19730678.0	19723440.0	7238.0	CD19	4
CD4_S1	28469446.0	28307539.0	161907.0			8166.0	17164572.0	17193253.0	17172738.0	20515.0	CD4	1
CD4_S2	30104067.0	29899673.0	204394.0			5981.0	17839867.0	17855934.0	17845848.0	10086.0	CD4	2
CD4_S3	31156982.0	31001132.0	155850.0			4119.0	19412133.0	19421246.0	19416252.0	4994.0	CD4	3
CD4_S4	28835978.0	28721890.0	114088.0			5517.0	19065318.0	19077579.0	19070835.0	6744.0	CD4	4
CD56_S1	30971692.0	30737411.0	234281.0			11798.0	17582005.0	17623326.0	17593803.0	29523.0	CD56	1
CD56_S2	32549200.0	32274180.0	275020.0			17895.0	14364327.0	14407695.0	14382222.0	25473.0	CD56	2
CD56_S3	28402896.0	28280824.0	122072.0			6129.0	14572077.0	14589098.0	14578206.0	10892.0	CD56	3
CD56_S4	30065082.0	29943377.0	121705.0			9216.0	17860581.0	17877836.0	17869797.0	8039.0	CD56	4
hsa-let-7a-1					86132.0						hsa-let-7a-1	
hsa-let-7a-2					82646.0						hsa-let-7a-2	
hsa-let-7a-2-3p				2464.0							hsa-let-7a-2-3p	
hsa-let-7a-3					86694.0						hsa-let-7a-3	
hsa-let-7a-3p				14464.0							hsa-let-7a-3p	
hsa-let-7a-5p				9735596.0							hsa-let-7a-5p	
hsa-let-7b					97146.0						hsa-let-7b	
hsa-let-7b-3p				3189.0							hsa-let-7b-3p	
hsa-let-7b-5p				1925111.0							hsa-let-7b-5p	
hsa-let-7c					3886.0						hsa-let-7c	
hsa-let-7c-3p				520.0							hsa-let-7c-3p	
hsa-let-7c-5p				140294.0							hsa-let-7c-5p	
hsa-let-7d					9854.0						hsa-let-7d	
hsa-let-7d-3p				10336.0							hsa-let-7d-3p	
hsa-let-7d-5p				1117600.0							hsa-let-7d-5p	
hsa-let-7e					12692.0						hsa-let-7e	
hsa-let-7e-3p				1715.0							hsa-let-7e-3p	
hsa-let-7e-5p				31213.0							hsa-let-7e-5p	
hsa-let-7f-1					135572.0						hsa-let-7f-1	
hsa-let-7f-1-3p				1549.0							hsa-let-7f-1-3p	
hsa-let-7f-2					175865.0						hsa-let-7f-2	
