sample	length	read_count
CD14_S1	11	2
CD14_S1	12	209
CD14_S1	13	11607
CD14_S1	14	57326
CD14_S1	15	139540
CD14_S1	16	177271
CD14_S1	17	244398
CD14_S1	18	288922
CD14_S1	19	234442
CD14_S1	20	145063
CD14_S1	21	121511
CD14_S1	22	114066
CD14_S1	23	152046
CD14_S1	24	178296
CD14_S1	25	152399
CD14_S1	26	152167
CD14_S1	27	131617
CD14_S1	28	176450
CD14_S1	29	1061518
CD14_S1	30	295048
CD14_S1	31	141396
CD14_S1	32	944901
CD14_S1	33	250378
CD14_S1	34	971796
CD14_S1	35	102925
CD14_S1	36	80782
CD14_S1	37	419154
CD14_S1	38	54729
CD14_S1	39	52777
CD14_S1	40	69979
CD14_S1	41	34806
CD14_S1	42	30378
CD14_S1	43	32705
CD14_S1	44	81863
CD14_S1	45	42310
CD14_S1	46	69137
CD14_S1	47	29488
CD14_S1	48	16343
CD14_S1	49	11582
CD14_S1	50	9690
CD14_S1	51	16131
CD14_S1	52	8297
CD14_S1	53	8223
CD14_S1	54	7897
CD14_S1	55	6703
CD14_S1	56	5599
CD14_S1	57	6442
CD14_S1	58	8609
CD14_S1	59	7558
CD14_S1	60	48513
CD14_S1	61	40547
CD14_S1	62	228595
CD14_S1	63	409581
CD14_S1	64	218522
CD14_S1	65	49002
CD14_S1	66	53649
CD14_S1	67	57957
CD14_S1	68	126852
CD14_S1	69	248258
CD14_S1	70	111880
CD14_S1	71	23133
CD14_S1	72	1397856
CD14_S1	73	15508
CD14_S1	74	7298
CD14_S1	75	5235
CD14_S1	76	24526
CD14_S1	77	22398
CD14_S1	78	5067
CD14_S1	79	14584
CD14_S1	80	2855
CD14_S1	81	960
CD14_S1	82	1249
CD14_S1	83	1325
CD14_S1	84	2528
CD14_S1	85	5180
CD14_S1	86	1930
CD14_S1	87	1255
CD14_S1	88	1048
CD14_S1	89	3223
CD14_S1	90	1621
CD14_S1	91	3463
CD14_S1	92	1974
CD14_S1	93	1499
CD14_S1	94	3638
CD14_S1	95	3444
CD14_S1	96	1103
CD14_S1	97	1073
CD14_S1	98	863
CD14_S1	99	775
CD14_S1	100	769875
CD14_S2	11	2
CD14_S2	12	159
CD14_S2	13	7842
CD14_S2	14	42039
CD14_S2	15	102265
CD14_S2	16	136032
CD14_S2	17	204537
CD14_S2	18	281376
CD14_S2	19	208061
CD14_S2	20	111930
CD14_S2	21	93858
CD14_S2	22	88420
CD14_S2	23	138082
CD14_S2	24	166116
CD14_S2	25	150899
CD14_S2	26	150317
CD14_S2	27	111874
CD14_S2	28	179036
CD14_S2	29	740340
CD14_S2	30	237403
CD14_S2	31	125189
CD14_S2	32	494685
CD14_S2	33	266479
CD14_S2	34	903695
CD14_S2	35	91251
CD14_S2	36	72542
CD14_S2	37	369741
CD14_S2	38	58157
CD14_S2	39	71125
CD14_S2	40	99227
CD14_S2	41	47078
CD14_S2	42	39627
CD14_S2	43	45179
CD14_S2	44	138183
CD14_S2	45	66564
CD14_S2	46	111151
CD14_S2	47	41831
CD14_S2	48	21440
CD14_S2	49	15178
CD14_S2	50	12425
CD14_S2	51	36554
CD14_S2	52	10350
CD14_S2	53	11580
CD14_S2	54	13100
CD14_S2	55	10416
CD14_S2	56	7848
CD14_S2	57	11850
CD14_S2	58	21643
CD14_S2	59	18153
CD14_S2	60	117789
CD14_S2	61	77419
CD14_S2	62	616460
CD14_S2	63	1238126
CD14_S2	64	513417
CD14_S2	65	120111
CD14_S2	66	180053
CD14_S2	67	136393
CD14_S2	68	287924
CD14_S2	69	581199
CD14_S2	70	251348
CD14_S2	71	47213
CD14_S2	72	1665749
CD14_S2	73	29120
CD14_S2	74	29457
CD14_S2	75	17206
CD14_S2	76	70586
CD14_S2	77	46701
CD14_S2	78	16258
CD14_S2	79	32447
CD14_S2	80	6403
CD14_S2	81	1905
CD14_S2	82	2420
CD14_S2	83	2700
CD14_S2	84	5301
CD14_S2	85	11120
CD14_S2	86	3245
CD14_S2	87	2256
CD14_S2	88	2092
CD14_S2	89	10638
CD14_S2	90	3479
CD14_S2	91	6174
CD14_S2	92	3183
CD14_S2	93	1980
CD14_S2	94	3517
CD14_S2	95	3113
CD14_S2	96	1497
CD14_S2	97	1521
CD14_S2	98	1237
CD14_S2	99	1104
CD14_S2	100	670498
CD14_S3	12	167
CD14_S3	13	7893
CD14_S3	14	45601
CD14_S3	15	114172
CD14_S3	16	161294
CD14_S3	17	269122
CD14_S3	18	356855
CD14_S3	19	285707
CD14_S3	20	124765
CD14_S3	21	90304
CD14_S3	22	75395
CD14_S3	23	128885
CD14_S3	24	158549
CD14_S3	25	146260
CD14_S3	26	127539
CD14_S3	27	92375
CD14_S3	28	173332
CD14_S3	29	780983
CD14_S3	30	241058
CD14_S3	31	99568
CD14_S3	32	143758
CD14_S3	33	168321
CD14_S3	34	120282
CD14_S3	35	44892
CD14_S3	36	49397
CD14_S3	37	192982
CD14_S3	38	68111
CD14_S3	39	78319
CD14_S3	40	110211
CD14_S3	41	49563
CD14_S3	42	37233
CD14_S3	43	51852
CD14_S3	44	103493
CD14_S3	45	54744
CD14_S3	46	112833
CD14_S3	47	36656
CD14_S3	48	19268
CD14_S3	49	13045
CD14_S3	50	10501
CD14_S3	51	31671
CD14_S3	52	8765
CD14_S3	53	10680
CD14_S3	54	12802
CD14_S3	55	10145
CD14_S3	56	7392
CD14_S3	57	11108
CD14_S3	58	24216
CD14_S3	59	17753
CD14_S3	60	118694
CD14_S3	61	72495
CD14_S3	62	608768
CD14_S3	63	1137748
CD14_S3	64	435710
CD14_S3	65	133023
CD14_S3	66	158001
CD14_S3	67	118141
CD14_S3	68	289534
CD14_S3	69	443664
CD14_S3	70	205880
CD14_S3	71	51402
CD14_S3	72	1775611
CD14_S3	73	32615
CD14_S3	74	33146
CD14_S3	75	16196
CD14_S3	76	60481
CD14_S3	77	28457
CD14_S3	78	11683
CD14_S3	79	22791
CD14_S3	80	5141
CD14_S3	81	1612
CD14_S3	82	2059
CD14_S3	83	2182
CD14_S3	84	3658
CD14_S3	85	5782
CD14_S3	86	2142
CD14_S3	87	2031
CD14_S3	88	1805
CD14_S3	89	9126
CD14_S3	90	2581
