sample	stage	total_reads	reads_10_20nt
CD14_S1	mature_miRNA_mapped	35571428	35571428
CD14_S2	mature_miRNA_mapped	38203648	38203648
CD14_S3	mature_miRNA_mapped	37449014	37449014
CD14_S4	mature_miRNA_mapped	38926256	38926256
CD19_S1	mature_miRNA_mapped	31717921	31717921
CD19_S2	mature_miRNA_mapped	29541558	29541558
CD19_S3	mature_miRNA_mapped	31956934	31956934
CD19_S4	mature_miRNA_mapped	25832450	25832450
CD4_S1	mature_miRNA_mapped	29407005	29407005
CD4_S2	mature_miRNA_mapped	30897607	30897607
CD4_S3	mature_miRNA_mapped	31959377	31959377
CD4_S4	mature_miRNA_mapped	29672855	29672855
CD56_S1	mature_miRNA_mapped	32056220	32056220
CD56_S2	mature_miRNA_mapped	33968531	33968531
CD56_S3	mature_miRNA_mapped	29281162	29281162
CD56_S4	mature_miRNA_mapped	30842623	30842623
CD14_S1	hairpin_miRNA_mapped	11213845	11213845
CD14_S2	hairpin_miRNA_mapped	13328913	13328913
CD14_S3	hairpin_miRNA_mapped	12025764	12025764
CD14_S4	hairpin_miRNA_mapped	17952986	17952986
CD19_S1	hairpin_miRNA_mapped	20397811	20397811
CD19_S2	hairpin_miRNA_mapped	20682719	20682719
CD19_S3	hairpin_miRNA_mapped	19752106	19752106
CD19_S4	hairpin_miRNA_mapped	20373338	20373338
CD4_S1	hairpin_miRNA_mapped	18037010	18037010
CD4_S2	hairpin_miRNA_mapped	18545724	18545724
CD4_S3	hairpin_miRNA_mapped	20188815	20188815
CD4_S4	hairpin_miRNA_mapped	19680497	19680497
CD56_S1	hairpin_miRNA_mapped	18559215	18559215
CD56_S2	hairpin_miRNA_mapped	15613556	15613556
CD56_S3	hairpin_miRNA_mapped	15925535	15925535
CD56_S4	hairpin_miRNA_mapped	18868967	18868967
