sample	stage	total_reads	reads_10_20nt
CD14_S1	mature_miRNA_mapped	34827037	3180847
CD14_S2	mature_miRNA_mapped	37301839	2893440
CD14_S3	mature_miRNA_mapped	36370492	3397893
CD14_S4	mature_miRNA_mapped	37833846	3033841
CD19_S1	mature_miRNA_mapped	31680812	3278066
CD19_S2	mature_miRNA_mapped	29608066	2639499
CD19_S3	mature_miRNA_mapped	31721615	2967964
CD19_S4	mature_miRNA_mapped	25672791	1596341
CD4_S1	mature_miRNA_mapped	29257856	3107086
CD4_S2	mature_miRNA_mapped	30810803	2871375
CD4_S3	mature_miRNA_mapped	31836030	2734313
CD4_S4	mature_miRNA_mapped	29314140	1879225
CD56_S1	mature_miRNA_mapped	31898808	3034391
CD56_S2	mature_miRNA_mapped	33741498	4389126
CD56_S3	mature_miRNA_mapped	29046359	2514590
CD56_S4	mature_miRNA_mapped	30626064	2210280
CD14_S1	hairpin_miRNA_mapped	40892548	2238532
CD14_S2	hairpin_miRNA_mapped	44494118	2154476
CD14_S3	hairpin_miRNA_mapped	43143544	2581872
CD14_S4	hairpin_miRNA_mapped	42681286	2233257
CD19_S1	hairpin_miRNA_mapped	32664373	1980831
CD19_S2	hairpin_miRNA_mapped	29810148	1441783
CD19_S3	hairpin_miRNA_mapped	33564955	1855128
CD19_S4	hairpin_miRNA_mapped	26312475	977739
CD4_S1	hairpin_miRNA_mapped	29951707	1762147
CD4_S2	hairpin_miRNA_mapped	31039742	1472762
CD4_S3	hairpin_miRNA_mapped	33185027	1550236
CD4_S4	hairpin_miRNA_mapped	30896937	1156579
CD56_S1	hairpin_miRNA_mapped	33771062	1942899
CD56_S2	hairpin_miRNA_mapped	34741357	2522057
CD56_S3	hairpin_miRNA_mapped	32044621	1614971
CD56_S4	hairpin_miRNA_mapped	32907448	1412312
