sample	cell_type	mature miRNA removed	hairpin miRNA removed	tRNA removed	RNAcentral removed	candidate USRF retained	pct_candidate_USRF
CD14_S1	CD14	35571428	11213845	14284	11414	1273082	2.6476179119093812
CD14_S2	CD14	38203648	13328913	10009	5951	1078283	2.0489235865434656
CD14_S3	CD14	37449014	12025764	11935	6365	1347276	2.650013019185508
CD14_S4	CD14	38926256	17952986	7894	6182	1292042	2.220562010787593
CD19_S1	CD19	31717921	20397811	4162	6466	940162	1.7716668900969241
CD19_S2	CD19	29541558	20682719	4234	6891	673989	1.323899160372985
CD19_S3	CD19	31956934	19752106	3716	5595	846967	1.6112658159891662
CD19_S4	CD19	25832450	20373338	2078	4807	514545	1.1011676321068375
CD4_S1	CD4	29407005	18037010	8278	4834	787843	1.6330054718657716
CD4_S2	CD4	30897607	18545724	6963	3872	581618	1.1624040906404105
CD4_S3	CD4	31959377	20188815	3018	2855	676457	1.280428385697192
CD4_S4	CD4	29672855	19680497	3243	3202	633033	1.2662475799029582
CD56_S1	CD56	32056220	18559215	9622	7081	971762	1.8831173612847092
CD56_S2	CD56	33968531	15613556	12565	11633	1172145	2.308352188123973
CD56_S3	CD56	29281162	15925535	5168	4050	857852	1.8619098368926508
CD56_S4	CD56	30842623	18868967	3514	6454	670322	1.3302182811992727
