sample	stage	reads_10_20nt
CD14_S1	mature_miRNA_mapped	35571428
CD14_S2	mature_miRNA_mapped	38203648
CD14_S3	mature_miRNA_mapped	37449014
CD14_S4	mature_miRNA_mapped	38926256
CD19_S1	mature_miRNA_mapped	31717921
CD19_S2	mature_miRNA_mapped	29541558
CD19_S3	mature_miRNA_mapped	31956934
CD19_S4	mature_miRNA_mapped	25832450
CD4_S1	mature_miRNA_mapped	29407005
CD4_S2	mature_miRNA_mapped	30897607
CD4_S3	mature_miRNA_mapped	31959377
CD4_S4	mature_miRNA_mapped	29672855
CD56_S1	mature_miRNA_mapped	32056220
CD56_S2	mature_miRNA_mapped	33968531
CD56_S3	mature_miRNA_mapped	29281162
CD56_S4	mature_miRNA_mapped	30842623
CD14_S1	hairpin_miRNA_mapped	11213845
CD14_S2	hairpin_miRNA_mapped	13328913
CD14_S3	hairpin_miRNA_mapped	12025764
CD14_S4	hairpin_miRNA_mapped	17952986
CD19_S1	hairpin_miRNA_mapped	20397811
CD19_S2	hairpin_miRNA_mapped	20682719
CD19_S3	hairpin_miRNA_mapped	19752106
CD19_S4	hairpin_miRNA_mapped	20373338
CD4_S1	hairpin_miRNA_mapped	18037010
CD4_S2	hairpin_miRNA_mapped	18545724
CD4_S3	hairpin_miRNA_mapped	20188815
CD4_S4	hairpin_miRNA_mapped	19680497
CD56_S1	hairpin_miRNA_mapped	18559215
CD56_S2	hairpin_miRNA_mapped	15613556
CD56_S3	hairpin_miRNA_mapped	15925535
CD56_S4	hairpin_miRNA_mapped	18868967
CD14_S1	not_tRNA	1284496
CD14_S1	candidate_USRF	1273082
CD14_S1	tRNA_matched	14284
CD14_S1	RNAcentral_matched	11414
CD14_S2	not_tRNA	1084234
CD14_S2	candidate_USRF	1078283
CD14_S2	tRNA_matched	10009
CD14_S2	RNAcentral_matched	5951
CD14_S3	not_tRNA	1353641
CD14_S3	candidate_USRF	1347276
CD14_S3	tRNA_matched	11935
CD14_S3	RNAcentral_matched	6365
CD14_S4	not_tRNA	1298224
CD14_S4	candidate_USRF	1292042
CD14_S4	tRNA_matched	7894
CD14_S4	RNAcentral_matched	6182
CD19_S1	not_tRNA	946628
CD19_S1	candidate_USRF	940162
CD19_S1	tRNA_matched	4162
CD19_S1	RNAcentral_matched	6466
CD19_S2	not_tRNA	680880
CD19_S2	candidate_USRF	673989
CD19_S2	tRNA_matched	4234
CD19_S2	RNAcentral_matched	6891
CD19_S3	not_tRNA	852562
CD19_S3	candidate_USRF	846967
CD19_S3	tRNA_matched	3716
CD19_S3	RNAcentral_matched	5595
CD19_S4	not_tRNA	519352
CD19_S4	candidate_USRF	514545
CD19_S4	tRNA_matched	2078
CD19_S4	RNAcentral_matched	4807
CD4_S1	not_tRNA	792677
CD4_S1	candidate_USRF	787843
CD4_S1	tRNA_matched	8278
CD4_S1	RNAcentral_matched	4834
CD4_S2	not_tRNA	585490
CD4_S2	candidate_USRF	581618
CD4_S2	tRNA_matched	6963
CD4_S2	RNAcentral_matched	3872
CD4_S3	not_tRNA	679312
CD4_S3	candidate_USRF	676457
CD4_S3	tRNA_matched	3018
CD4_S3	RNAcentral_matched	2855
CD4_S4	not_tRNA	636235
CD4_S4	candidate_USRF	633033
CD4_S4	tRNA_matched	3243
CD4_S4	RNAcentral_matched	3202
CD56_S1	not_tRNA	978843
CD56_S1	candidate_USRF	971762
CD56_S1	tRNA_matched	9622
CD56_S1	RNAcentral_matched	7081
CD56_S2	not_tRNA	1183778
CD56_S2	candidate_USRF	1172145
CD56_S2	tRNA_matched	12565
CD56_S2	RNAcentral_matched	11633
CD56_S3	not_tRNA	861902
CD56_S3	candidate_USRF	857852
CD56_S3	tRNA_matched	5168
CD56_S3	RNAcentral_matched	4050
CD56_S4	not_tRNA	676776
CD56_S4	candidate_USRF	670322
CD56_S4	tRNA_matched	3514
CD56_S4	RNAcentral_matched	6454
