sample	RNAcentral_matched	candidate_USRF	hairpin_miRNA_mapped	mature_miRNA_mapped	not_tRNA	tRNA_matched
CD14_S1	11414	1273082	11213845	35571428	1284496	14284
CD14_S2	5951	1078283	13328913	38203648	1084234	10009
CD14_S3	6365	1347276	12025764	37449014	1353641	11935
CD14_S4	6182	1292042	17952986	38926256	1298224	7894
CD19_S1	6466	940162	20397811	31717921	946628	4162
CD19_S2	6891	673989	20682719	29541558	680880	4234
CD19_S3	5595	846967	19752106	31956934	852562	3716
CD19_S4	4807	514545	20373338	25832450	519352	2078
CD4_S1	4834	787843	18037010	29407005	792677	8278
CD4_S2	3872	581618	18545724	30897607	585490	6963
CD4_S3	2855	676457	20188815	31959377	679312	3018
CD4_S4	3202	633033	19680497	29672855	636235	3243
CD56_S1	7081	971762	18559215	32056220	978843	9622
CD56_S2	11633	1172145	15613556	33968531	1183778	12565
CD56_S3	4050	857852	15925535	29281162	861902	5168
CD56_S4	6454	670322	18868967	30842623	676776	3514
