sample	fastq_1	fastq_2	r1_exists	r2_exists	r2_matches_r1_name
CD4_S1	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S1/CD4+S1_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S1/CD4+S1_R2.fastq.gz	True	True	True
CD4_S2	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S2/CD4+S2_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S2/CD4+S2_R2.fastq.gz	True	True	True
CD4_S3	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S3/CD4+S3_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S3/CD4+S3_R2.fastq.gz	True	True	True
CD4_S4	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S4/CD4+S4_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD4+S4/CD4+S4_R2.fastq.gz	True	True	True
CD14_S1	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S1/CD14+S1_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S1/CD14+S1_R2.fastq.gz	True	True	True
CD14_S2	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S2/CD14+S2_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S2/CD14+S2_R2.fastq.gz	True	True	True
CD14_S3	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S3/CD14+S3_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S3/CD14+S3_R2.fastq.gz	True	True	True
CD14_S4	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S4/CD14+S4_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD14+S4/CD14+S4_R2.fastq.gz	True	True	True
CD19_S1	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S1/CD19+S1_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S1/CD19+S1_R2.fastq.gz	True	True	True
CD19_S2	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S2/CD19+S2_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S2/CD19+S2_R2.fastq.gz	True	True	True
CD19_S3	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S3/CD19+S3_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S3/CD19+S3_R2.fastq.gz	True	True	True
CD19_S4	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S4/CD19+S4_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD19+S4/CD19+S4_R2.fastq.gz	True	True	True
CD56_S1	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S1/CD56+S1_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S1/CD56+S1_R2.fastq.gz	True	True	True
CD56_S2	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S2/CD56+S2_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S2/CD56+S2_R2.fastq.gz	True	True	True
CD56_S3	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S3/CD56+S3_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S3/CD56+S3_R2.fastq.gz	True	True	True
CD56_S4	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S4/CD56+S4_R1.fastq.gz	/samurlab1/Joshua/smallRNA_USRF/00.rawdata/CD56+S4/CD56+S4_R2.fastq.gz	True	True	True
